both_active,only_scaf,only_fp,generator,split
6.8,1218.8,30.2,Molpher_250k,dis
29.6,3126.6,57.4,Molpher_250k,sim
1.4,22.4,3.6,addcarbon_250k,dis
5.2,150.4,41.0,addcarbon_250k,sim
3.8,1078.0,1.8,REINVENT_250k,dis
2.0,2155.4,10.0,REINVENT_250k,sim
1.2,769.4,0.2,GB_GA_mut_r_0.01_250k,dis
7.2,1616.6,8.4,GB_GA_mut_r_0.01_250k,sim
0.8,1078.0,0.0,GB_GA_mut_r_0.5_250k,dis
9.8,2450.8,9.2,GB_GA_mut_r_0.5_250k,sim
2.8,1228.6,1.2,DrugEx_GT_epsilon_0.1_250k,dis
5.8,3418.6,4.0,DrugEx_GT_epsilon_0.1_250k,sim
14.6,1956.4,11.2,DrugEx_GT_epsilon_0.6_250k,dis
46.4,4214.4,67.8,DrugEx_GT_epsilon_0.6_250k,sim
1.6,1262.6,1.4,DrugEx_RNN_epsilon_0.1_250k,dis
6.8,5018.2,10.8,DrugEx_RNN_epsilon_0.1_250k,sim
12.0,4360.4,11.0,DrugEx_RNN_epsilon_0.6_250k,dis
35.6,6296.0,38.0,DrugEx_RNN_epsilon_0.6_250k,sim
