both_active,only_scaf,only_fp,generator,split
6.0,417.6,31.0,Molpher_250k,dis
28.2,1157.2,58.8,Molpher_250k,sim
1.4,7.6,3.6,addcarbon_250k,dis
3.8,23.0,42.4,addcarbon_250k,sim
3.4,131.2,2.2,REINVENT_250k,dis
1.6,518.0,10.4,REINVENT_250k,sim
1.0,91.8,0.4,GB_GA_mut_r_0.01_250k,dis
7.2,488.4,8.4,GB_GA_mut_r_0.01_250k,sim
0.8,78.8,0.0,GB_GA_mut_r_0.5_250k,dis
9.8,813.6,9.2,GB_GA_mut_r_0.5_250k,sim
2.8,269.8,1.2,DrugEx_GT_epsilon_0.1_250k,dis
5.6,2045.2,4.2,DrugEx_GT_epsilon_0.1_250k,sim
14.2,455.2,11.6,DrugEx_GT_epsilon_0.6_250k,dis
40.2,1123.4,74.0,DrugEx_GT_epsilon_0.6_250k,sim
1.4,156.8,1.6,DrugEx_RNN_epsilon_0.1_250k,dis
6.8,568.6,10.8,DrugEx_RNN_epsilon_0.1_250k,sim
10.8,358.8,12.2,DrugEx_RNN_epsilon_0.6_250k,dis
32.8,868.2,40.8,DrugEx_RNN_epsilon_0.6_250k,sim
