name,type_cluster,phfp,UFo,SSo,TUPOR_,TUPOR,SESY,ASER,CwAFo,ACR,DIV,receptor,generator,split,threshold
REINVENT_250k_0,sim,rdkit,145691,247051,284/349,0.8137535816618912,0.5897203411441362,29.4326637010172,7271369,0.001953138432125,0,Leukocyte_elastase,REINVENT_250k,sim,0.5
REINVENT_250k_1,sim,rdkit,156671,247295,68/118,0.576271186440678,0.6335388907984391,2.9745567035322185,735593,0.0004342190124071,0,Leukocyte_elastase,REINVENT_250k,sim,0.5
REINVENT_250k_2,sim,rdkit,178010,247791,52/98,0.5306122448979592,0.7183876734828949,3.927572026425496,973217,0.0002922037784196,0,Leukocyte_elastase,REINVENT_250k,sim,0.5
REINVENT_250k_3,sim,rdkit,165785,247376,40/60,0.6666666666666666,0.6701741478558955,5.048917437423194,1248981,0.0002413345802286,0,Leukocyte_elastase,REINVENT_250k,sim,0.5
REINVENT_250k_4,sim,rdkit,149445,247318,36/48,0.75,0.6042625284047259,0.7798947104537478,192882,0.0002409493404011,0,Leukocyte_elastase,REINVENT_250k,sim,0.5
REINVENT_250k_0,dis,rdkit,139264,248019,159/202,0.7871287128712872,0.5615053685403134,2.95334228426048,732485,0.0011430214586104,0,Leukocyte_elastase,REINVENT_250k,dis,0.5
REINVENT_250k_1,dis,rdkit,157294,247855,90/128,0.703125,0.6346210485969619,1.9399285872788523,480821,0.0005725045164245,0,Leukocyte_elastase,REINVENT_250k,dis,0.5
REINVENT_250k_2,dis,rdkit,159973,248072,69/97,0.711340206185567,0.6448652004256828,3.4616804798606857,858746,0.0004315089053432,0,Leukocyte_elastase,REINVENT_250k,dis,0.5
REINVENT_250k_3,dis,rdkit,153437,242844,51/83,0.6144578313253012,0.6318336051127473,0.1518382171270445,36873,0.0003324944910226,0,Leukocyte_elastase,REINVENT_250k,dis,0.5
REINVENT_250k_4,dis,rdkit,159154,247636,67/118,0.5677966101694916,0.6426933079196886,2.6125240272012147,646955,0.0004211532054787,0,Leukocyte_elastase,REINVENT_250k,dis,0.5
REINVENT_250k_0,dis,rdkit,139264,248019,111/202,0.5495049504950495,0.5615053685403134,0.0793527915200045,19681,0.000797683125768,0,Leukocyte_elastase,REINVENT_250k,dis,0.75
REINVENT_250k_1,dis,rdkit,157294,247855,18/128,0.140625,0.6346210485969619,0.0635452179701841,15750,0.000114448485465,0,Leukocyte_elastase,REINVENT_250k,dis,0.75
REINVENT_250k_2,dis,rdkit,159973,248072,61/97,0.6288659793814433,0.6448652004256828,0.0608815182688896,15103,0.0003814598028915,0,Leukocyte_elastase,REINVENT_250k,dis,0.75
REINVENT_250k_3,dis,rdkit,153437,242844,2/83,0.0240963855421686,0.6318336051127473,0.0053573487506382,1301,1.303483559813602e-05,0,Leukocyte_elastase,REINVENT_250k,dis,0.75
