smiles,active_scaf,active_fp,activity_category
Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CCNc2cc(C)cc3c2cnn3-c2ccc(F)cc2)c(C)c1,0,0,non_active
COc1ccc(F)cc1C(C)(C)CC(O)(CCc1cc2cccc(F)c2[nH]1)C(F)(F)F,0,0,non_active
COc1ccc(NC(=O)O[C@@H]2C[C@@H](C)c3c(cc(F)c(-c4cccc5cc[nH]c45)c3F)NC2(C)C)cc1Cl,0,0,non_active
C[C@]12CCc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COc1ccc2ccccc2c1,0,0,non_active
CCOc1ccc(F)cc1C(C)(C)CC(O)(Cc1ccc(C#N)c2ccccc12)C(F)(F)F,0,0,non_active
Cc1cc(C)c(S(=O)(=O)N[C@@H](C)COCc2cccc3cnccc23)c(C)c1,0,0,non_active
CC(C)C(CC(O)(Cc1cc2ccncc2[nH]1)C(F)(F)F)c1cccc2c1OCC2,0,0,non_active
Cc1noc(C)c1-c1cc2c(c3c1CCC3)NCC(C)(C)C(=O)C2(C)C,0,0,non_active
CCC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(CC)[C@H]3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0,0,non_active
CCc1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CCC(C)(C)C)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,0,0,non_active
C[C@H](NS(=O)(=O)C1CC1)[C@H](COc1ccc2c(cnn2-c2ccc(F)cc2)c1)c1ccc(S(C)(=O)=O)cc1,0,0,non_active
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCCC[C@@H]2[C@@H](O)c1csc2ccccc12,0,0,non_active
C[C@]12Cc3cnn(C4CCOCC4)c3C=C1CC[C@@H]1[C@@H]2C[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1nc2ccccc2s1,0,0,non_active
COc1ccc(F)cc1C(C)(C)CC(O)(CCc1cc(C)cc(C)c1C#N)C(F)(F)F,0,0,non_active
COc1ccc(-c2ccncc2)cc1C(C)(C)CC(O)(Cc1cc2ccncc2[nH]1)C(F)(F)CF,0,0,non_active
C=CC[C@@]12CC[C@](O)(CC#CC)C[C@H]1CCc1cc(O)ccc12,0,0,non_active
CO/N=C(\C)c1ccsc1/C=C1\OCc2ccc(O)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,0,0,non_active
Cc1nn(C2CCCC2)c(C)c1S(=O)(=O)CN[C@@H](C)COc1cccc2cnccc12,0,0,non_active
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](c3ccc(N4CCCC4)cc3)CC[C@@]21C,0,0,non_active
COc1ccc(F)cc1CC(C)(C)CC(O)(Cc1ccc(C=O)cc1)C(F)(F)F,0,0,non_active
CCC(C)NC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0,0,non_active
Cc1ccc([C@@H](Oc2ccc(CC(=O)O[C@H]3CCCN(C(=O)[C@H]4COC(=O)C4)C3)cc2)[C@H](C)NC(=O)C(F)(F)F)cc1,0,0,non_active
CC(=O)COCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0,0,non_active
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(C=O)CSc1nc2ncccc2[nH]1,0,0,non_active
CN(C)c1ccc([C@H]2OC[C@@]3(C)[C@@H](CC[C@@]3(O)C(F)(F)C(F)(F)F)[C@@H]3CCC4=CCC(=O)CCC4=C32)cc1,0,0,non_active
Cc1ncccc1NC(=CO)c1ccc2c(c1)CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@@]2(O)C#CC(C)C,0,0,non_active
COc1cccc2c1-c1ccc3c(c1C(c1cc(F)cc(CF)c1)O2)C(C)=CC(C)(C)N3,0,0,non_active
COc1ccc(F)cc1C(C)(C)CC(O)(CCc1cc(Cl)cc(Cl)c1)C(F)(F)F,0,0,non_active
CCN(CC(O)(CNc1cccc2c1cnn2-c1ccc(F)cc1)C(F)(F)F)C(=O)Cc1ccccc1C,0,0,non_active
CCC(C)(C)NC(=O)O[C@]1(C(=O)CO)C[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0,0,non_active
COc1ccc(F)cc1C(C)(C)CC(O)(Cc1ccccc1)C(=O)Nc1ccc2c(c1)CCOC2=O,0,0,non_active
COc1ccc(F)cc1C(C)(C)CC(O)(Cc1ccc(Cl)cc1Cl)CC(F)(F)F,0,0,non_active
C[C@H]1c2c(cc(F)c(-c3cccc4cc[nH]c34)c2F)NC(C)(C)[C@@H]1OC(=O)Nc1cccc(C#CN)c1,0,0,non_active
CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCCC4=CC(=O)CCC4=C32)cc1,0,0,non_active
CCC(Cc1ccc(O)c2ccccc12)NS(=O)(=CO)c1c(C)cc(C)cc1C,0,0,non_active
COc1cccc2c1-c1ccc3c(c1C(C1C=C(C)CCCC1)O2)C(C)=CC(C)(C)N3,0,0,non_active
CCN(CC(O)C(CNc1cccc2c1cnn2-c1ccc(F)cc1)C(F)(F)F)C(=O)c1ccccc1C,0,0,non_active
Cc1c[nH]c2c(-c3c(F)cc4c(c3CF)/C(=N/Oc3ccccc3)CC(C)(C)N4)cccc12,0,0,non_active
C[C@]12Cc3cnn(C4CCCCCC4)c3C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1nc2ccccc2o1,0,0,non_active
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(SCC)cc3)C[C@@]21C,0,0,non_active
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](OCc3ccc(Cl)cc3C)C[C@@]21C,0,0,non_active
Cc1ccc(F)cc1C(C)(C)CC(O)(Cc1cc2cnncc2[nH]1)CC(F)(F)F,0,0,non_active
C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)CC[C@H](O)[C@@]12F,0,0,non_active
CCOc1ccc(F)cc1C(C)(C)CC(O)(CN1CCOc2ccccc21)C(F)(F)F,0,0,non_active
C=CCO[C@H]1C[C@@]2(C)[C@@H](CC[C@@]2(O)C#CC)[C@@H]2CCc3cc(C(C=O)Nc4cccnc4C)ccc3[C@H]21,0,0,non_active
COc1ccc(-c2ccccc2)cc1CC(C)(C)CC(O)(Cc1cc2ccncc2[nH]1)C(F)(F)F,0,0,non_active
CC(=O)c1cccc(NC(=O)O[C@@H]2[C@@H](C)c3c(cc(F)c(-c4cccc5cc[nH]c45)c3F)NCC2(C)C)c1,0,0,non_active
C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2cccc(C(=O)CN[C@@H]3CCOC3=O)c2)c1)c1ccccc1,0,0,non_active
COc1ccc([C@@H](Oc2ccc3c(cnn3Cc3ccc(F)cc3)c2)[C@H](C)NC(=O)C2CC2)cn1,0,0,non_active
CCC(C)(CC(O)(Cc1cc2ccncc2[nH]1)C(F)(F)F)c1cc(-c2ccccc2)ccc1O,0,0,non_active
CC(C)C(CC(O)(CCc1ccccc1)C(=O)Nc1ccc2c(c1)COC2=O)c1ccccc1,0,0,non_active
C=C1CCO[C@]12CC[C@H]1[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)OCC[C@@]12C,0,0,non_active
COc1c(O)ccc2c1-c1ccc3c(c1/C(=C/c1cccc(C)c1)O2)CC(C)=CC(C)(C)N3,0,0,non_active
Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cc(C)cc3c2cnn3-c2ccc(CNC3CC3)cc2)c(C)c1,0,0,non_active
CC1=CC(C)(C)CNc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,0,0,non_active
Cc1noc(=O)c2ccc(NC(C=O)C(O)(CC(C)(C)c3cc(F)ccc3O)C(F)(F)F)cc12,0,0,non_active
