generator,split,cluster,both_active,only_fp,only_scaf
DrugEx_GT_epsilon_0.1_250k,dis,0,2,0,1698
DrugEx_GT_epsilon_0.1_250k,dis,1,0,3,150
DrugEx_GT_epsilon_0.1_250k,dis,2,0,1,47
DrugEx_GT_epsilon_0.1_250k,dis,3,6,0,1429
DrugEx_GT_epsilon_0.1_250k,dis,4,6,2,2819
DrugEx_GT_epsilon_0.1_250k,sim,0,25,12,2027
DrugEx_GT_epsilon_0.1_250k,sim,1,3,3,10526
DrugEx_GT_epsilon_0.1_250k,sim,2,0,1,600
DrugEx_GT_epsilon_0.1_250k,sim,3,1,3,3900
DrugEx_GT_epsilon_0.1_250k,sim,4,0,1,40
DrugEx_GT_epsilon_0.6_250k,dis,0,5,3,1855
DrugEx_GT_epsilon_0.6_250k,dis,1,11,26,1096
DrugEx_GT_epsilon_0.6_250k,dis,2,2,0,224
DrugEx_GT_epsilon_0.6_250k,dis,3,25,15,1981
DrugEx_GT_epsilon_0.6_250k,dis,4,30,12,4626
DrugEx_GT_epsilon_0.6_250k,sim,0,108,101,4186
DrugEx_GT_epsilon_0.6_250k,sim,1,68,122,7215
DrugEx_GT_epsilon_0.6_250k,sim,2,10,19,2779
DrugEx_GT_epsilon_0.6_250k,sim,3,28,36,4850
DrugEx_GT_epsilon_0.6_250k,sim,4,18,61,2042
DrugEx_RNN_epsilon_0.1_250k,dis,0,0,2,495
DrugEx_RNN_epsilon_0.1_250k,dis,1,4,0,697
DrugEx_RNN_epsilon_0.1_250k,dis,2,0,0,5
DrugEx_RNN_epsilon_0.1_250k,dis,3,0,0,382
DrugEx_RNN_epsilon_0.1_250k,dis,4,4,5,4734
DrugEx_RNN_epsilon_0.1_250k,sim,0,31,39,5434
DrugEx_RNN_epsilon_0.1_250k,sim,1,1,0,5853
DrugEx_RNN_epsilon_0.1_250k,sim,2,1,2,7822
DrugEx_RNN_epsilon_0.1_250k,sim,3,1,1,5385
DrugEx_RNN_epsilon_0.1_250k,sim,4,0,12,597
DrugEx_RNN_epsilon_0.6_250k,dis,0,1,0,1866
DrugEx_RNN_epsilon_0.6_250k,dis,1,0,16,586
DrugEx_RNN_epsilon_0.6_250k,dis,2,0,0,109
DrugEx_RNN_epsilon_0.6_250k,dis,3,53,32,4087
DrugEx_RNN_epsilon_0.6_250k,dis,4,6,7,15154
DrugEx_RNN_epsilon_0.6_250k,sim,0,70,49,4406
DrugEx_RNN_epsilon_0.6_250k,sim,1,60,63,10406
DrugEx_RNN_epsilon_0.6_250k,sim,2,26,16,9288
DrugEx_RNN_epsilon_0.6_250k,sim,3,14,38,6301
DrugEx_RNN_epsilon_0.6_250k,sim,4,8,24,1079
GB_GA_mut_r_0.01_250k,dis,0,1,0,400
GB_GA_mut_r_0.01_250k,dis,1,0,0,380
GB_GA_mut_r_0.01_250k,dis,2,0,0,209
GB_GA_mut_r_0.01_250k,dis,3,0,0,560
GB_GA_mut_r_0.01_250k,dis,4,5,1,2298
GB_GA_mut_r_0.01_250k,sim,0,0,0,1717
GB_GA_mut_r_0.01_250k,sim,1,8,4,2021
GB_GA_mut_r_0.01_250k,sim,2,10,6,1572
GB_GA_mut_r_0.01_250k,sim,3,7,23,2149
GB_GA_mut_r_0.01_250k,sim,4,11,9,624
GB_GA_mut_r_0.5_250k,dis,0,0,0,2734
GB_GA_mut_r_0.5_250k,dis,1,0,0,416
GB_GA_mut_r_0.5_250k,dis,2,0,0,204
GB_GA_mut_r_0.5_250k,dis,3,0,0,600
GB_GA_mut_r_0.5_250k,dis,4,4,0,1436
GB_GA_mut_r_0.5_250k,sim,0,0,1,2488
GB_GA_mut_r_0.5_250k,sim,1,13,13,3689
GB_GA_mut_r_0.5_250k,sim,2,11,3,2095
GB_GA_mut_r_0.5_250k,sim,3,2,17,3218
GB_GA_mut_r_0.5_250k,sim,4,23,12,764
Molpher_250k,dis,0,7,9,1263
Molpher_250k,dis,1,2,5,264
Molpher_250k,dis,2,1,4,34
Molpher_250k,dis,3,5,37,1498
Molpher_250k,dis,4,19,96,3035
Molpher_250k,sim,0,62,140,3269
Molpher_250k,sim,1,31,51,5456
Molpher_250k,sim,2,29,31,2971
Molpher_250k,sim,3,17,45,3247
Molpher_250k,sim,4,9,20,690
REINVENT_250k,dis,0,0,1,189
REINVENT_250k,dis,1,1,1,50
REINVENT_250k,dis,2,0,0,5
REINVENT_250k,dis,3,13,5,3296
REINVENT_250k,dis,4,5,2,1850
REINVENT_250k,sim,0,4,41,3538
REINVENT_250k,sim,1,0,0,2977
REINVENT_250k,sim,2,5,2,1592
REINVENT_250k,sim,3,1,5,290
REINVENT_250k,sim,4,0,2,2380
addcarbon_250k,dis,0,0,5,23
addcarbon_250k,dis,1,1,4,51
addcarbon_250k,dis,2,0,0,0
addcarbon_250k,dis,3,0,5,6
addcarbon_250k,dis,4,6,4,32
addcarbon_250k,sim,0,0,39,19
addcarbon_250k,sim,1,8,40,267
addcarbon_250k,sim,2,7,23,140
addcarbon_250k,sim,3,9,69,252
addcarbon_250k,sim,4,2,34,74
