generator,split,cluster,both_active,only_fp,only_scaf
DrugEx_GT_epsilon_0.1_250k,dis,0,2,0,95
DrugEx_GT_epsilon_0.1_250k,dis,1,0,3,35
DrugEx_GT_epsilon_0.1_250k,dis,2,0,1,11
DrugEx_GT_epsilon_0.1_250k,dis,3,6,0,1083
DrugEx_GT_epsilon_0.1_250k,dis,4,6,2,125
DrugEx_GT_epsilon_0.1_250k,sim,0,24,13,636
DrugEx_GT_epsilon_0.1_250k,sim,1,3,3,8570
DrugEx_GT_epsilon_0.1_250k,sim,2,0,1,4
DrugEx_GT_epsilon_0.1_250k,sim,3,1,3,1015
DrugEx_GT_epsilon_0.1_250k,sim,4,0,1,1
DrugEx_GT_epsilon_0.6_250k,dis,0,5,3,302
DrugEx_GT_epsilon_0.6_250k,dis,1,10,27,114
DrugEx_GT_epsilon_0.6_250k,dis,2,2,0,133
DrugEx_GT_epsilon_0.6_250k,dis,3,24,16,1171
DrugEx_GT_epsilon_0.6_250k,dis,4,30,12,556
DrugEx_GT_epsilon_0.6_250k,sim,0,101,108,2138
DrugEx_GT_epsilon_0.6_250k,sim,1,55,135,2595
DrugEx_GT_epsilon_0.6_250k,sim,2,7,22,140
DrugEx_GT_epsilon_0.6_250k,sim,3,24,40,522
DrugEx_GT_epsilon_0.6_250k,sim,4,14,65,222
DrugEx_RNN_epsilon_0.1_250k,dis,0,0,2,5
DrugEx_RNN_epsilon_0.1_250k,dis,1,4,0,60
DrugEx_RNN_epsilon_0.1_250k,dis,2,0,0,0
DrugEx_RNN_epsilon_0.1_250k,dis,3,0,0,289
DrugEx_RNN_epsilon_0.1_250k,dis,4,3,6,430
DrugEx_RNN_epsilon_0.1_250k,sim,0,31,39,2039
DrugEx_RNN_epsilon_0.1_250k,sim,1,1,0,725
DrugEx_RNN_epsilon_0.1_250k,sim,2,1,2,56
DrugEx_RNN_epsilon_0.1_250k,sim,3,1,1,23
DrugEx_RNN_epsilon_0.1_250k,sim,4,0,12,0
DrugEx_RNN_epsilon_0.6_250k,dis,0,1,0,144
DrugEx_RNN_epsilon_0.6_250k,dis,1,0,16,94
DrugEx_RNN_epsilon_0.6_250k,dis,2,0,0,5
DrugEx_RNN_epsilon_0.6_250k,dis,3,47,38,1061
DrugEx_RNN_epsilon_0.6_250k,dis,4,6,7,490
DrugEx_RNN_epsilon_0.6_250k,sim,0,69,50,1152
DrugEx_RNN_epsilon_0.6_250k,sim,1,52,71,1815
DrugEx_RNN_epsilon_0.6_250k,sim,2,25,17,204
DrugEx_RNN_epsilon_0.6_250k,sim,3,12,40,1131
DrugEx_RNN_epsilon_0.6_250k,sim,4,6,26,39
GB_GA_mut_r_0.01_250k,dis,0,0,1,2
GB_GA_mut_r_0.01_250k,dis,1,0,0,16
GB_GA_mut_r_0.01_250k,dis,2,0,0,82
GB_GA_mut_r_0.01_250k,dis,3,0,0,210
GB_GA_mut_r_0.01_250k,dis,4,5,1,149
GB_GA_mut_r_0.01_250k,sim,0,0,0,546
GB_GA_mut_r_0.01_250k,sim,1,8,4,651
GB_GA_mut_r_0.01_250k,sim,2,10,6,387
GB_GA_mut_r_0.01_250k,sim,3,7,23,709
GB_GA_mut_r_0.01_250k,sim,4,11,9,149
GB_GA_mut_r_0.5_250k,dis,0,0,0,24
GB_GA_mut_r_0.5_250k,dis,1,0,0,7
GB_GA_mut_r_0.5_250k,dis,2,0,0,57
GB_GA_mut_r_0.5_250k,dis,3,0,0,254
GB_GA_mut_r_0.5_250k,dis,4,4,0,52
GB_GA_mut_r_0.5_250k,sim,0,0,1,732
GB_GA_mut_r_0.5_250k,sim,1,13,13,782
GB_GA_mut_r_0.5_250k,sim,2,11,3,830
GB_GA_mut_r_0.5_250k,sim,3,2,17,1410
GB_GA_mut_r_0.5_250k,sim,4,23,12,314
Molpher_250k,dis,0,7,9,606
Molpher_250k,dis,1,2,5,3
Molpher_250k,dis,2,1,4,12
Molpher_250k,dis,3,5,37,1173
Molpher_250k,dis,4,15,100,294
Molpher_250k,sim,0,61,141,1710
Molpher_250k,sim,1,27,55,2938
Molpher_250k,sim,2,29,31,343
Molpher_250k,sim,3,15,47,643
Molpher_250k,sim,4,9,20,152
REINVENT_250k,dis,0,0,1,9
REINVENT_250k,dis,1,1,1,2
REINVENT_250k,dis,2,0,0,1
REINVENT_250k,dis,3,11,7,620
REINVENT_250k,dis,4,5,2,24
REINVENT_250k,sim,0,4,41,2449
REINVENT_250k,sim,1,0,0,17
REINVENT_250k,sim,2,3,4,30
REINVENT_250k,sim,3,1,5,40
REINVENT_250k,sim,4,0,2,54
addcarbon_250k,dis,0,0,5,0
addcarbon_250k,dis,1,1,4,11
addcarbon_250k,dis,2,0,0,0
addcarbon_250k,dis,3,0,5,2
addcarbon_250k,dis,4,6,4,25
addcarbon_250k,sim,0,0,39,1
addcarbon_250k,sim,1,1,47,47
addcarbon_250k,sim,2,7,23,17
addcarbon_250k,sim,3,9,69,20
addcarbon_250k,sim,4,2,34,30
