tid+assay,name,class
11_pic50,CHEMBL204,Thrombin
12_pic50,CHEMBL1801,Plasminogen
23_pic50,CHEMBL2000,Plasma kallikrein
194_pic50,CHEMBL244,Coagulation factor X
235_pic50,CHEMBL248,Leukocyte elastase
237_pic50,CHEMBL4618,Leukotriene A4 hydrolase
10003_pic50,CHEMBL2581,Cathepsin D
10074_pic50,CHEMBL4068,Chymase
10131_pic50,CHEMBL2334,Caspase-3
10378_pic50,CHEMBL4072,Cathepsin B
10495_pic50,CHEMBL268,Cathepsin K
10498_pic50,CHEMBL3837,Cathepsin L
10674_pic50,CHEMBL2525,Beta secretase 2
10702_pic50,CHEMBL3922,Methionine aminopeptidase 2
11024_pic50,CHEMBL280,Matrix metalloproteinase 13
11109_pic50,CHEMBL283,Matrix metalloproteinase 3
11140_pic50,CHEMBL284,Dipeptidyl peptidase IV
11154_pic50,CHEMBL3869,Matrix metalloproteinase 14
11225_pic50,CHEMBL286,Renin
11473_pic50,CHEMBL3706,ADAM17
11534_pic50,CHEMBL2954,Cathepsin S
11727_pic50,CHEMBL2409,Epoxide hydratase
12252_pic50,CHEMBL4822,Beta-secretase 1
12268_pic50,CHEMBL3976,Dipeptidyl peptidase II
12592_pic50,CHEMBL321,Matrix metalloproteinase 9
12738_pic50,CHEMBL4073,Matrix metalloproteinase 7
12862_pic50,CHEMBL2285,ADAMTS5
12955_pic50,CHEMBL3891,Calpain 1
13000_pic50,CHEMBL332,Matrix metalloproteinase-1
13001_pic50,CHEMBL333,Matrix metalloproteinase-2
20151_pic50,CHEMBL4657,Dipeptidyl peptidase VIII
20154_pic50,CHEMBL4793,Dipeptidyl peptidase IX
100624_pic50,CHEMBL4662,Proteasome Macropain subunit MB1
102753_pic50,CHEMBL6115,Lysosomal protective protein
105346_pic50,CHEMBL2176771,Complement factor D
