molregno,stand_type,pchembl_value,stand_value,canonical_smiles,stand_inchi,chembl_id,tid,pref_name,scaffolds_csk,mfp
0,557956,IC50,7.85,14.0,C[C@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@H](O)C[C@@]2(C)[C@]1(O)C(=O)CSCCNC(=S)NCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3nccn3C)cn2C)cn1C,PENABDXTRKXMIW-PZVMULSCSA-N,CHEMBL540936,25,Glucocorticoid receptor ,C(CCCCCCC1CCC2C1CCC1C3CCCCC3CCC21)CCCCCC1CCC(CCC2CCC(CCC3CCCC3)C2)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab4319e0>
1,1607842,IC50,8.7,2.0,CC[C@@H](Cn1ccc2ccccc21)NS(=O)(=O)c1c(N)cc(Cl)cc1Cl,RXEIQMFFHIVGLD-AWEZNQCLSA-N,CHEMBL3093461,25,Glucocorticoid receptor ,C1CCC(CCCCC2CCC3CCCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab431b30>
2,1841315,IC50,7.38,22.0,CC[C@@]12C[C@@](C)(O)[C@](O)(c3cccnc3)C[C@H]1CCc1cc(O)ccc12,KDUBEHWLJHNXHQ-XUFNMVPLSA-N,CHEMBL3421877,25,Glucocorticoid receptor ,C1CCC(C2CCC3C(CCC4CCCCC43)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab4310b0>
3,2172692,IC50,7.01,98.0,Cc1cc(C)c(S(=O)(=O)N[C@@H](C)COc2ccc3c(cnn3-c3ccc(F)cc3)c2)c(C)c1,LREULHCSPAWXMB-IBGZPJMESA-N,CHEMBL3963321,25,Glucocorticoid receptor ,C1CCC(CCCCCC2CCC3C(CCC3C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7bc5f0>
4,325089,IC50,8.29,5.1,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1csc2ccccc12,GSBXDPQKEHNRQR-NPAAKHOSSA-N,CHEMBL363179,25,Glucocorticoid receptor ,C1CCC(C2CCC3CC4C(CC5CCC6CCCCC65)CCCC4CC32)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7bc200>
5,1066658,IC50,8.133333333333333,15.85,Cc1cc(NC[C@H](C)NS(=O)(=O)C2CC2)c2cnn(-c3cccc(C(=O)NC(C)C)c3)c2c1,FNYSDOWPXRIBND-KRWDZBQOSA-N,CHEMBL1668086,25,Glucocorticoid receptor ,C1CCC(C2CCC3C(CCCCCC4CC4)CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7bc740>
6,553296,IC50,7.4,40.0,C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21,YKAWXLKLBCDEQW-UHFFFAOYSA-N,CHEMBL541908,25,Glucocorticoid receptor ,C1CCC(C2CCC3CCCCC3C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7bcc10>
7,1948183,IC50,7.08,84.0,CC1(C)Nc2c(cc(-c3cccn4nccc34)c3c2CCC3)C(C)(C)C1=O,OXEAJAPLCUXMPI-UHFFFAOYSA-N,CHEMBL3582120,25,Glucocorticoid receptor ,C1CCC2C(C1)CC(C1CCCC3CCCC31)C1CCCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7bc190>
8,1275553,IC50,7.44,36.0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSc1nc2ccccc2[nH]1,SFHMKJAKPOQIRZ-ZLTCDQTRSA-N,CHEMBL1940696,25,Glucocorticoid receptor ,C1CCC2CC(CCCC3CCC4C3CCC3C5CCCCC5CCC43)CC2C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7bc820>
9,1746386,IC50,7.805,5.7,Cc1nn(C2CCCC2)c(C)c1S(=O)(=O)N[C@@H](C)CNc1cccc2c1cnn2-c1cncnc1,OFWZQRCONYLMBB-INIZCTEOSA-N,CHEMBL3261428,25,Glucocorticoid receptor ,C1CCC(C2CCC3C(CCCCCC4CCC(C5CCCC5)C4)CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7bca50>
10,628023,IC50,7.85,14.0,OC(c1ccnc(Cl)c1)(c1ccc2c(cnn2-c2ccc(F)cc2)c1)C(F)(F)F,HOMRLSWXGFQYGM-UHFFFAOYSA-N,CHEMBL1094209,25,Glucocorticoid receptor ,C1CCC(CC2CCC3C(CCC3C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7bccf0>
11,368876,IC50,9.48,0.1,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(OC)c(C)c3)C[C@@]21C,CXHCCXWTWCTAPK-DQFOBABISA-N,CHEMBL222900,25,Glucocorticoid receptor ,C1CCC(C2CC3CCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7bc3c0>
12,431456,IC50,7.07,85.0,COC[C@]1(OC)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(/C=N/O)cc3)C[C@@]21C,GJMNAFGEUJBOCE-MEQIQULJSA-N,CHEMBL267431,25,Glucocorticoid receptor ,C1CCC(C2CC3CCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab780740>
13,632216,IC50,7.45,15.85,COc1cccc(S(=O)(=O)Nc2ccc(-c3ccc4c(cnn4-c4ccc(F)cc4)c3)c(C(F)(F)F)c2)c1,ZAMZOCCQUCFOFO-UHFFFAOYSA-N,CHEMBL1084013,25,Glucocorticoid receptor ,C1CCC(CCC2CCC(C3CCC4C(CCC4C4CCCCC4)C3)CC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab780970>
14,2355057,IC50,7.28,52.2,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](c3ccc(-n4cccc4)cc3)C[C@@]21C,PDQVCFOQIMKRGZ-XVFXGUTESA-N,CHEMBL4448048,25,Glucocorticoid receptor ,C1CCC(C2CCC(C3CC4CCCC4C4CCC5CCCCC5C34)CC2)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7809e0>
15,401077,IC50,7.89125,17.38,CCC1(CC(O)(CNc2cccc3nc(C)ccc23)C(F)(F)F)CCCc2ccccc21,XJFFZMILSHZEQK-UHFFFAOYSA-N,CHEMBL238147,25,Glucocorticoid receptor ,C(CCC1CCCC2CCCCC12)CC1CCCC2CCCCC12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab780c10>
16,306768,IC50,7.275,37.0,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C[C@@H](O)CC(=O)O)cc3)C[C@@]21C,GCPNKCRRGYTIOQ-AOJVJNHBSA-N,CHEMBL361406,25,Glucocorticoid receptor ,C1CCC(C2CC3CCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab780f90>
17,1251270,IC50,8.125,2.0,CC(C)(C[C@@](O)(Cc1cc2ccc(C#N)cc2[nH]1)C(F)(F)F)c1cc(S(C)(=O)=O)cc2c1OCC2,QTOKABCAHAKYAS-DEOSSOPVSA-N,CHEMBL1911664,25,Glucocorticoid receptor ,C(CCC1CCCC2CCCC12)CC1CC2CCCCC2C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab780ac0>
18,2270936,IC50,8.02,9.6,CC(C)(C)C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(C4(C)COC4)cc3)C[C@@]21C,WQNUAPOSCOLKRZ-WMQBTLKUSA-N,CHEMBL4167905,25,Glucocorticoid receptor ,C1CC(C2CCC(C3CC4CCCC4C4CCC5CCCCC5C34)CC2)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab780b30>
19,313314,IC50,8.7175,4.475,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,VOVIALXJUBGFJZ-KWVAZRHASA-N,CHEMBL1370,25,Glucocorticoid receptor ,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab780e40>
20,2113477,IC50,8.85,1.4,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(C(=O)Nc5cccnc5C)ccc4[C@H]3[C@@H](OCc3ccccc3Cl)C[C@@]21C,RGCSQRNHYKNRID-VKIGOHPVSA-N,CHEMBL3904106,25,Glucocorticoid receptor ,C1CCC(CCC2CCC3C(CCC4C5CCCC5CC(CCC5CCCCC5)C34)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab780f20>
21,1059769,IC50,7.62,24.0,Cc1cc(-c2cccc3cc[nH]c23)c(Cl)c2c1NC(C)(C)[C@@H](O)[C@H]2C,YFJZCMOHVUUOJJ-YUNKPMOVSA-N,CHEMBL1644765,25,Glucocorticoid receptor ,C1CCC2CC(C3CCCC4CCCC43)CCC2C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab780c80>
