molregno,stand_type,pchembl_value,stand_value,canonical_smiles,stand_inchi,chembl_id,tid,pref_name,scaffolds_csk,mfp
0,226650,IC50,6.13,737.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccccc1-3,ZEZOALAOUQCQQW-HAHDFKILSA-N,CHEMBL134421,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c51587c430>
1,49963,IC50,6.34,458.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cccc(F)c1)Oc1ccccc1-3,OVIZCQBEPZRBDB-UCQKPKSFSA-N,CHEMBL32812,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c51587cdd0>
2,71774,IC50,6.82,150.0,C/C=C/CC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,BSJYFMFPTGYKFE-VOTSOKGWSA-N,CHEMBL47742,25,Glucocorticoid receptor ,C1CCC2C(C1)CCC1C3CCCCC3CCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c51587cba0>
3,226190,IC50,6.43,371.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cc(F)ccc1F)Oc1ccccc1-3,ZVALABNDJZPNNC-QRVIBDJDSA-N,CHEMBL137103,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c51587c970>
4,227145,IC50,5.78,1650.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccc(F)c(F)c1)Oc1ccccc1-3,XGBWGDGYTTWUIM-QRVIBDJDSA-N,CHEMBL342426,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c51587cb30>
5,100045,IC50,5.98,1050.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1ccccc1-3,YXKBVHXOKVRRKO-IWIPYMOSSA-N,CHEMBL302362,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c51587ceb0>
6,72259,IC50,6.62,240.0,C=C(Br)CC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,YKTSKBOTCVIZNZ-UHFFFAOYSA-N,CHEMBL296624,25,Glucocorticoid receptor ,C1CCC2C(C1)CCC1C3CCCCC3CCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c51587c040>
7,72705,IC50,7.4,40.0,COc1cccc2c1-c1ccc3c(c1[C@H]([C@H]1C=C(C)CCC1)O2)C(C)=CC(C)(C)N3,ZOUVODOOOFQPOC-DWXRJYCRSA-N,CHEMBL46325,25,Glucocorticoid receptor ,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c51587a430>
8,72755,IC50,7.92,12.0,COc1cccc2c1-c1ccc3c(c1C(C1C=CCC1)O2)C(C)=CC(C)(C)N3,BDZQBRNZPXXVRN-UHFFFAOYSA-N,CHEMBL47463,25,Glucocorticoid receptor ,C1CCC2C(C1)CC(C1CCCC1)C1C3CCCCC3CCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c5158794a0>
9,71772,IC50,6.51,310.0,C=C(CO)CC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,NBUPNJQWXVQRCK-UHFFFAOYSA-N,CHEMBL416465,25,Glucocorticoid receptor ,C1CCC2C(C1)CCC1C3CCCCC3CCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c5158e9820>
10,72017,IC50,7.12,76.0,COc1cccc2c1-c1ccc3c(c1C(CC=C(F)F)O2)C(C)=CC(C)(C)N3,MACROYAVMFWALR-UHFFFAOYSA-N,CHEMBL50118,25,Glucocorticoid receptor ,C1CCC2C(C1)CCC1C3CCCCC3CCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c5158e9eb0>
11,159550,IC50,6.84,146.0,COc1cccc2c1-c1ccc3c(c1C(c1cc(C)cc(C)c1)O2)C(C)=CC(C)(C)N3,BFFNEJBHCHAMGY-UHFFFAOYSA-N,CHEMBL330638,25,Glucocorticoid receptor ,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c5158e9f90>
12,72739,IC50,7.82,15.0,COc1cccc2c1-c1ccc3c(c1C(C1C=C(C)CCC1)O2)C(C)=CC(C)(C)N3,ZOUVODOOOFQPOC-UHFFFAOYSA-N,CHEMBL48588,25,Glucocorticoid receptor ,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c5158e9ba0>
13,71997,IC50,7.89,13.0,COc1cccc2c1-c1ccc3c(c1C(C1C=CCCC1)O2)C(C)=CC(C)(C)N3,OSLBGHLVIZGEEN-UHFFFAOYSA-N,CHEMBL46199,25,Glucocorticoid receptor ,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c5158e9c10>
14,159368,IC50,6.5,314.0,COc1cccc2c1-c1ccc3c(c1C(c1cc(C)cc(Br)c1)O2)C(C)=CC(C)(C)N3,JLRMPPDXUOKHKL-UHFFFAOYSA-N,CHEMBL100219,25,Glucocorticoid receptor ,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78c5158e9dd0>
