canonical_smiles,scaffolds_csk,pchembl_value
0,C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21,C1CCC(C2CCC3CCCCC3C2)CC1,7.4
1,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(CCC(=O)NCCO[C@@H]3CC[C@]4(C)[C@H](C3)C[C@H](O)[C@@H]3[C@@H]4C[C@@H](O)[C@]4(C)[C@H]3CC[C@H]4[C@@H](C)CCC(=O)O)cc2)cc1,C(CCCC1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1)CCCC1CCC2C(CCC3C4CCCC4CCC23)C1,7.77
2,COc1cc(C(=O)c2cccc(C)c2)c(Oc2c(Br)cc(CC(=O)O)cc2Br)cc1C(C)C,C1CCC(CC2CCCCC2CC2CCCCC2)CC1,7.71
3,Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3(C4CCC4)CCCc4ccccc43)C(F)(F)F)cc12,C(CCC1(C2CCC2)CCCC2CCCCC21)CC1CCC2CCCCC2C1,8.165
4,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(=O)n(C3CC3)c2)c1)c1ccccc1,C1CCC(CCC2CCC3C(CCC3C3CCCC(C4CC4)C3)C2)CC1,8.41
5,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccc(Oc2cccc(OC[C@@H]3C[C@@H](O)CC(=O)O3)c2)cc1)Cc1ccc(F)cc1F,C1CCC(CCC2CCCC(CC3CCC(CC(CC4CCCCC4)C4CCCCC4)CC3)C2)CC1,7.6
6,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2cccc(OCC(=O)NCCO[C@H]3CC[C@@]4(C)[C@@H](C3)C[C@@H](O)[C@@H]3[C@@H]4C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]34)c2)cc1,C(CCCC1CCCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)C1)CCCC1CCC2C(CCC3C4CCCC4CCC23)C1,7.24
7,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(Oc3ccccc3)c1)O2,C1CCC(CC2CCCC(C3CC4CCCCC4C4CCCCC34)C2)CC1,7.32
8,N#Cc1ccc(O[C@H](c2cnc(C3CC3)nc2)[C@@H](NC(=O)C(F)(F)F)C2CC2)c(Br)c1,C1CCC(CC(CC2CC2)C2CCC(C3CC3)CC2)CC1,7.765
9,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(=O)n(CC3CC3)c2)c1)c1ccccc1,C1CCC(CCC2CCC3C(CCC3C3CCCC(CC4CC4)C3)C2)CC1,8.36
10,COc1ccc(F)cc1C(C)(C)CC(O)(Cc1cc2ccncc2[nH]1)C1CCC1,C1CCC(CCC(CC2CC3CCCCC3C2)C2CCC2)CC1,7.77
11,Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3(C4CCCCC4)CCCc4ccccc43)C(F)(F)F)cc12,C1CCC(C2(CCCCC3CCC4CCCCC4C3)CCCC3CCCCC32)CC1,8.275
12,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(CCC(=O)NCCCN3CCCC3=O)cc2)cc1,C(CCCC1CCCC1)CCCC1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1,8.66
13,Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3(C4CC4)CCCc4ccccc43)C(F)(F)F)cc12,C(CCC1(C2CC2)CCCC2CCCCC21)CC1CCC2CCCCC2C1,8.175
14,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2cccc(OCCCN3CCOCC3)c2)cc1,C1CCC(CCCCC2CCCC(CC3CCC(CC(CC4CCCCC4)C4CCCCC4)CC3)C2)CC1,7.72
