molregno,stand_type,pchembl_value,stand_value,canonical_smiles,stand_inchi,chembl_id,tid,pref_name,scaffolds_csk,mfp
0,2135949,IC50,7.18,66.0,CC1CC2=C(C1=O)C(c1ccc(C#N)cc1)NC(=O)N2c1cccc(C(F)(F)F)c1,XVAKYHYZPKKXPJ-UHFFFAOYSA-N,CHEMBL3926578,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7e4f90>
1,2108566,IC50,7.7,20.0,Cc1c(-c2cccc(C(F)(F)F)c2)c(=O)c(C(=O)NCc2ccc(CN3CCCC3=O)cc2)cn1C(C)C,GVZLHJFVWYZJOL-UHFFFAOYSA-N,CHEMBL3899195,235,Leukocyte elastase ,C1CCC(C2CCCC(CCCC3CCC(CC4CCCC4)CC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e660>
2,2111817,IC50,7.46,34.9,CS(=O)(=O)N1C(=O)N(c2ccnc(C(F)(F)F)c2)C2=C(C(=O)CC2)C1c1ccc(C#N)cc1,HQZCZQYKCKWGPD-UHFFFAOYSA-N,CHEMBL3902446,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79ef20>
3,2116233,IC50,7.38,42.0,COCCn1cc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1C,MBIXKVGDRHLSCV-UHFFFAOYSA-N,CHEMBL3906862,235,Leukocyte elastase ,C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e430>
4,2526639,IC50,7.05,89.0,Cc1cccc(C(=O)n2cc(C#N)c3ncccc32)c1,YYSDWURRUMMAIG-UHFFFAOYSA-N,CHEMBL4790048,235,Leukocyte elastase ,C1CCC(CC2CCC3CCCCC32)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e040>
5,2192565,IC50,8.42,3.8,N#Cc1ccc(C2C3=C(CCC3=O)N(c3cccc(C(F)(F)F)c3)C(=O)N2CC(=O)N2CCCCC2)cc1,FFGCQYSSTYWKTM-UHFFFAOYSA-N,CHEMBL3983194,235,Leukocyte elastase ,C1CCC(CCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79ef90>
6,2159628,IC50,8.96,1.1,CN(Cc1ccon1)C(=O)c1cc(C#N)ccc1C1C2=C(CCC2=O)N(c2cccc(C(F)(F)F)c2)C(=O)N1C,MZFGGIIYEPMXGV-UHFFFAOYSA-N,CHEMBL3950257,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e350>
7,2129430,IC50,8.52,3.0,CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(C)C1c1ccc(C#N)cc1C1=CCNCC1,WAZHOJFFATYPAC-UHFFFAOYSA-N,CHEMBL3920059,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3C3CCCCC3)CC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e4a0>
8,136052,IC50,6.36,440.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(CS(=O)(=O)c3ccccc3)CS(=O)(=O)C12,CPRSGZFVRKAHPN-MYJWUSKBSA-N,CHEMBL313480,235,Leukocyte elastase ,C1CCC(CCC2CCC3CCC3C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e200>
9,2101219,IC50,9.0,1.0,CN1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)CC2)C1c1ccc(C#N)cc1C(=O)NCc1cnco1,BKEGZHZQNXAFHB-UHFFFAOYSA-N,CHEMBL3891848,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79ecf0>
10,2253641,IC50,8.59,2.6,CC(=O)N(C)[C@@H]1CCN(C(=O)c2cc(C#N)ccc2C2C3=C(CCC3=O)N(c3cccc(C(F)(F)F)c3)C(=O)N2C)C1,MASSBCAOWGEISW-XJQHNOHDSA-N,CHEMBL4114290,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3CC3CCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e580>
11,1542088,IC50,7.54,29.0,C=CC[C@H]1C(=O)N(CCCCCC)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,WQIKUCFGGDPBEB-QHAWAJNXSA-N,CHEMBL2367637,235,Leukocyte elastase ,C1CCC(CCCC2CCC3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e5f0>
12,2125508,IC50,8.15,7.0,Cc1cc(CNC(=O)c2cn(C(C)C)c(C)c(-c3cccc(C(F)(F)F)c3)c2=O)ccc1S(C)(=O)=O,ACQVLWOFYLRUQS-UHFFFAOYSA-N,CHEMBL3916137,235,Leukocyte elastase ,C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e120>
13,2494361,IC50,7.85,14.0,Cc1cccc(C(=O)n2cc(C#N)c3cnccc32)c1,TZVOWHPCVPGQMO-UHFFFAOYSA-N,CHEMBL4747003,235,Leukocyte elastase ,C1CCC(CC2CCC3CCCCC32)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79ed60>
14,1992796,IC50,7.07,85.0,[C-]#[N+]C1=C(C)N(c2cccc(C(F)(F)F)c2)c2nc(C(C)C)nn2C1c1ccc(C#N)cc1,GDNYAKVIGULRDS-UHFFFAOYSA-N,CHEMBL3659902,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e6d0>
15,2112978,IC50,8.89,1.3,CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(C)C1c1ccc(C#N)cc1C(=O)NCC(C)(C)O,FELHSRRPEWGRTQ-UHFFFAOYSA-N,CHEMBL3903607,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)CC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79eeb0>
16,6734,IC50,7.08,83.0,CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)c2ccc(OC(=O)C(C)(C)C)cc2)cc1,DYVPPEBHFAGTDY-UHFFFAOYSA-N,CHEMBL9923,235,Leukocyte elastase ,C1CCC(CC2CCCCC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79e3c0>
17,2135467,IC50,8.92,1.2,Cn1ccc(CNC(=O)N2C(=O)N(c3cccc(C(F)(F)F)c3)C3=C(C(=O)CC3)C2c2ccc(C#N)cc2)n1,YSGAZWCXFYPIPM-UHFFFAOYSA-N,CHEMBL3926096,235,Leukocyte elastase ,C1CCC(C2CC(CCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab79ec80>
18,2174592,IC50,7.8,16.0,Cc1c(-c2cccc(C(F)F)c2)c(=O)c(C(=O)NCc2ccc(S(C)(=O)=O)c(F)c2)cn1C(C)C,QGGHIGPIIQVZHB-UHFFFAOYSA-N,CHEMBL3965221,235,Leukocyte elastase ,C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9040>
19,2247014,IC50,8.74,1.8,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(C)C1c1ccc(C#N)cc1C(=O)N1CC[C@@H](N(C)C)C1,XFGVHAKDXHIXGQ-FPSALIRRSA-N,CHEMBL4107663,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3CC3CCCC3)CC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d90b0>
20,2125084,IC50,8.3,5.0,CN1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)CC2)C1c1ccc(C#N)cc1C(=O)NCCCO,HDJAKNNBAZUQCU-UHFFFAOYSA-N,CHEMBL3915713,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9120>
21,2110991,IC50,8.02,9.5,Cc1nnc(CNC(=O)CN2C(=O)N(c3cccc(C(F)(F)F)c3)C3=C(C(=O)CC3)C2c2ccc(C#N)cc2)o1,CCPZSHNHMYIFEU-UHFFFAOYSA-N,CHEMBL3901620,235,Leukocyte elastase ,C1CCC(C2CC(CCCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9190>
