chembl_id,pchembl_value,stand_value,canonical_smiles,scaffolds_csk
0,CHEMBL126546,4.55,28000.0,Cc1ccc(S(=O)(=O)N2CCN(Cc3ccccc3)C(=O)[C@@H]2CC(C)C)cc1,C1CCC(CC2CCC(CC3CCCCC3)CC2)CC1
1,CHEMBL142689,5.31,4900.0,CCOC(=O)C(F)(F)C(=O)[C@H](CC(C)C)NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1Cc2ccccc2C1,C1CCC(CCCC2CCC(CCCCCC3CC4CCCCC4C3)CC2)CC1
2,CHEMBL331243,4.92,12000.0,CCCC[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)(C)C)C(=O)C(N)=O,C1CCCCC1
3,CHEMBL445912,4.96,11100.0,CCOC(=O)C(F)(F)C(=O)[C@H](CC(C)C)NC(=O)CN(C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C1Cc2ccccc2C1,C(CCCC1CCCCC1)CCCC1CC2CCCCC2C1
4,CHEMBL355117,5.1899999999999995,6800.0,CC(C)C(NC(=O)CN1C(=O)[C@@H](NC(=O)c2ccc(C(=O)NS(=O)(=O)c3ccc(Cl)cc3)cc2)C[S+]([O-])c2ccccc21)C(=O)C(F)(F)F,C1CCC(CCCC2CCC(CCC3CCC4CCCCC4CC3)CC2)CC1
5,CHEMBL417289,5.16,7000.0,O=c1oc(/C2=C/CCCCCC2)nc2ccccc12,C1CCCC(C2CCC3CCCCC3C2)CCC1
6,CHEMBL24450,5.26,5500.0,O=c1oc(-c2ccco2)nc2ccccc12,C1CCC2CC(C3CCCC3)CCC2C1
7,CHEMBL24449,4.77,17000.0,O=c1oc(-c2ccccc2)nc2ccccc12,C1CCC(C2CCC3CCCCC3C2)CC1
8,CHEMBL314928,5.63,2330.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(CSc3nccn3C)CS(=O)(=O)C12,C1CCC(CCC2CCC3CCC3C2)C1
9,CHEMBL7839,4.57,26800.0,CCCCCCCCCCCC(=O)c1c(O)cc(C)oc1=O,C1CCCCC1
10,CHEMBL12738,4.45,35800.0,CCCCCCCCCCCCCCCC(=O)c1c(O)cc(C)oc1=O,C1CCCCC1
11,CHEMBL84205,5.88,1330.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)C12,C1CCC2CCC2C1
12,CHEMBL85546,5.62,2400.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(CSc3nc[nH]n3)CS(=O)(=O)C12,C1CCC(CCC2CCC3CCC3C2)C1
13,CHEMBL309897,5.625,3150.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(C)CS(=O)(=O)C12,C1CCC2CCC2C1
14,CHEMBL309710,4.24,57800.0,CO[C@H]1C(=O)N2C3=C(COC3=O)CS(=O)(=O)C12,C1CC2CCC3CCC3C2C1
15,CHEMBL86253,5.74,1820.0,CCOC(=S)SCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC)C2S(=O)(=O)C1,C1CCC2CCC2C1
16,CHEMBL84713,5.65,2230.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(CSc3nnc(C)s3)CS(=O)(=O)C12,C1CCC(CCC2CCC3CCC3C2)C1
17,CHEMBL63952,4.4,40000.0,Cc1c(NC(=O)OC(C)(C)C)ccc2nc(N[C@H](C)c3ccccc3)oc(=O)c12,C1CCC(CCC2CCC3CCCCC3C2)CC1
18,CHEMBL81892,5.79,1620.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(CSc3nnnn3C)CS(=O)(=O)C12,C1CCC(CCC2CCC3CCC3C2)C1
19,CHEMBL294771,5.5,3200.0,Cc1c(N(C)C)ccc2nc(N[C@H](C)c3ccccc3)oc(=O)c12,C1CCC(CCC2CCC3CCCCC3C2)CC1
20,CHEMBL160206,5.81,1562.0,CC(C)C(NC(=O)CN(C(=O)[C@H](C(C)C)N(C)C(=O)OCc1ccccc1)C1Cc2ccccc2C1)C(=O)C(F)(F)F,C(CCCC1CCCCC1)CCCC1CC2CCCCC2C1
21,CHEMBL330647,4.6,25000.0,C[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,C1CCC(CCCC2CCC2CC2CCCCC2)CC1
22,CHEMBL318052,4.44,36000.0,C[C@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,C1CCC(CCCC2CCC2CC2CCCCC2)CC1
23,CHEMBL319173,5.92,1200.0,CC[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,C1CCC(CCCC2CCC2CC2CCCCC2)CC1
24,CHEMBL158824,5.3,5000.0,CC(C)C(NCCN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1Cc2ccccc2C1)C(=O)C(F)(F)F,C1CCC(CCCC2CCC(CCCCCC3CC4CCCCC4C3)CC2)CC1
25,CHEMBL99558,5.52,3000.0,CC1(C)C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,C1CCC(CCCC2CCC2CC2CCCCC2)CC1
26,CHEMBL41504,5.19,6400.0,CCCCc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
27,CHEMBL21745,4.41,39000.0,Cc1ccc2c(c1)C(=O)c1ccccc1C2=O,C1CCC2CC3CCCCC3CC2C1
28,CHEMBL160154,5.29,5100.0,CC(C)[C@H](NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1Cc2ccccc2C1)C(=O)c1ccc(C(F)(F)F)cc1,C1CCC(CCCCCC(CCCCC2CCC(CCCC3CCCCC3)CC2)C2CC3CCCCC3C2)CC1
29,CHEMBL40281,5.21,6100.0,CCCCCc1ccc2c(c1O)C(=O)c1c(OC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
30,CHEMBL123153,5.7,2000.0,CO[C@H]1C(=O)N2C(C(=O)N3CCCC3)=C(CSc3nc(=O)c(=O)[nH]n3C)CS(=O)(=O)[C@H]12,C1CCC(CCC2CCC3CCC3C2CC2CCCC2)CC1
31,CHEMBL43457,5.1,8000.0,CC(C)Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
32,CHEMBL40884,5.41,3900.0,CCCCCc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
33,CHEMBL43983,5.29,5100.0,CCCCOC(=O)Oc1cccc2c1C(=O)c1c(OC(=O)OCCCC)cc(C)cc1C2=O,C1CCC2CC3CCCCC3CC2C1
34,CHEMBL40192,4.72,19000.0,COc1cccc2c1C(=O)c1c(ccc(C)c1O)C2=O,C1CCC2CC3CCCCC3CC2C1
35,CHEMBL9977,4.0,100000.0,CCCCCCCCCCCCCCCC(=O)OCc1cc(=O)c(O)co1,C1CCCCC1
36,CHEMBL41317,5.38,4200.0,CCCCCCc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
37,CHEMBL9816,4.72,19000.0,CC(=O)NC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1,C1CCC(CC2CCCCC2)CC1
38,CHEMBL40861,4.96,11000.0,C=CCc1ccc2c(c1O)C(=O)c1c(OC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
39,CHEMBL10318,4.92,12000.0,CC(C(=O)O)c1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C,C1CCC(CC2CCCCC2)CC1
40,CHEMBL40878,4.92,12000.0,CCCCOC(=O)Oc1cccc2c1C(=O)c1c(OC(=O)OCCCC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
41,CHEMBL9995,4.44,36000.0,CC(C)(C)C(=O)OCc1cc(=O)c(OC(=O)C(C)(C)C)co1,C1CCCCC1
42,CHEMBL41525,4.89,13000.0,O=C1c2cccc(O)c2C(=O)c2c1ccc(Cc1ccccc1)c2O,C1CCC(CC2CCC3CC4CCCCC4CC3C2)CC1
43,CHEMBL9617,4.1,80000.0,CCCCCCCC/C=C/CCCCCCCC(=O)OCc1cc(=O)c(OC(=O)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)co1,C1CCC(CCC23CC4CC(CC(C4)C2)C3)CC1
44,CHEMBL9632,4.7,20000.0,O=C(c1ccccc1)c1ccc(OC(=O)C2CCCCC2)cc1,C1CCC(CCC2CCC(CC3CCCCC3)CC2)CC1
45,CHEMBL416614,5.89,1300.0,CCCCOC(=O)Oc1cc(OC(=O)OCCCC)c2c(c1)C(=O)c1cc(C)cc(OC(=O)OCCCC)c1C2=O,C1CCC2CC3CCCCC3CC2C1
46,CHEMBL10226,4.8,16000.0,CC(=O)Oc1ccc(C(=O)c2ccccc2)cc1,C1CCC(CC2CCCCC2)CC1
47,CHEMBL289034,5.06,8700.0,CCCc1ccc2c(c1O)C(=O)c1c(OC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
48,CHEMBL274788,4.37,43000.0,CC(C)(C)C(=O)Oc1coc(COC2CCOCC2)cc1=O,C1CCC(CCC2CCCCC2)CC1
49,CHEMBL10529,5.82,1500.0,CC(C)(C)C(=O)Oc1ccc(C(O)c2ccc(OC(=O)C(C)(C)C)cc2)cc1,C1CCC(CC2CCCCC2)CC1
50,CHEMBL43576,5.23,5900.0,CCCCc1ccc2c(c1O)C(=O)c1c(OC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
