id,chembl_id,smiles
0,CHEMBL2409450,Cc1cccc(C(=O)n2nc(C#N)c3ccccc32)c1
1,CHEMBL4761049,Cc1cccc(C(=O)n2nc(C#N)c3cnccc32)c1
2,CHEMBL4747003,Cc1cccc(C(=O)n2cc(C#N)c3cnccc32)c1
3,CHEMBL4283747,Cc1ccc(C(=O)n2cc(C#N)c3cccnc32)cc1
4,CHEMBL2409452,COC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc([N+](=O)[O-])cc12
5,CHEMBL4291610,Cc1cccc(C(=O)n2cc(C#N)c3cccnc32)c1
6,CHEMBL4765112,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccncc12
7,CHEMBL2409571,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc(NC(=O)CC)cc12
8,CHEMBL2409455,CCOC(=O)c1nn(C(=O)c2ccccc2)c2ccc([N+](=O)[O-])cc12
9,CHEMBL2409445,COC(=O)c1nn(C(=O)c2cccc(C)c2)c2cc([N+](=O)[O-])ccc12
10,CHEMBL2409456,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc([N+](=O)[O-])cc12
11,CHEMBL4289821,Cc1cccc(C(=O)n2cc([N+](=O)[O-])c3cccnc32)c1
12,CHEMBL2409457,CCOC(=O)c1nn(C(=O)c2cccc(OC)c2)c2ccc([N+](=O)[O-])cc12
13,CHEMBL2409570,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc(NC(C)=O)cc12
14,CHEMBL2409451,COC(=O)c1nn(C(=O)c2ccccc2)c2ccc([N+](=O)[O-])cc12
15,CHEMBL2409427,Cc1cccc(C(=O)n2nc(C#N)c3cc([N+](=O)[O-])ccc32)c1
16,CHEMBL4797962,Cc1cccc(C(=O)n2nc(C(F)(F)F)c3cnccc32)c1
17,CHEMBL2409449,N#Cc1nn(C(=O)c2ccccc2)c2ccccc12
18,CHEMBL2409572,CCCC(=O)Nc1ccc2c(c1)c(C(=O)OCC)nn2C(=O)c1cccc(C)c1
19,CHEMBL2409432,CCOC(=O)c1nn(C(=O)c2ccccc2)c2ccc(Br)cc12
20,CHEMBL2409453,COC(=O)c1nn(C(=O)c2cccc(OC)c2)c2ccc([N+](=O)[O-])cc12
21,CHEMBL2409441,CCOC(=O)c1nn(C(=O)c2ccccc2)c2ccc(OC(F)(F)F)cc12
22,CHEMBL2409433,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc(Br)cc12
23,CHEMBL2409429,COC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc(Br)cc12
24,CHEMBL2409428,COC(=O)c1nn(C(=O)c2ccccc2)c2ccc(Br)cc12
25,CHEMBL2409439,CCOC(=O)c1nn(C(=O)c2ccccc2)c2ccc(OC)cc12
26,CHEMBL4790048,Cc1cccc(C(=O)n2cc(C#N)c3ncccc32)c1
27,CHEMBL1808513,COC(=O)c1nn(C(=O)c2ccccc2)c2ccccc12
28,CHEMBL2409438,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc(F)cc12
29,CHEMBL2409442,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc(OC(F)(F)F)cc12
30,CHEMBL1808514,COC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccccc12
31,CHEMBL2409569,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc(N(C)C)cc12
32,CHEMBL2409440,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc(OC)cc12
33,CHEMBL2409437,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccc(Cl)cc12
34,CHEMBL4792286,N#Cc1nn(C(=O)c2ccccc2)c2ncccc12
35,CHEMBL4749095,Cc1cccc(C(=O)n2cc(C#N)c3ccncc32)c1
