chembl_id,pchembl_value,canonical_smiles,scaffolds_csk
0,CHEMBL46325,7.5600000000000005,COc1cccc2c1-c1ccc3c(c1[C@H]([C@H]1C=C(C)CCC1)O2)C(C)=CC(C)(C)N3,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1
1,CHEMBL47463,7.92,COc1cccc2c1-c1ccc3c(c1C(C1C=CCC1)O2)C(C)=CC(C)(C)N3,C1CCC2C(C1)CC(C1CCCC1)C1C3CCCCC3CCC21
2,CHEMBL50118,7.41,COc1cccc2c1-c1ccc3c(c1C(CC=C(F)F)O2)C(C)=CC(C)(C)N3,C1CCC2C(C1)CCC1C3CCCCC3CCC21
3,CHEMBL48588,7.985,COc1cccc2c1-c1ccc3c(c1C(C1C=C(C)CCC1)O2)C(C)=CC(C)(C)N3,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1
4,CHEMBL46199,7.785,COc1cccc2c1-c1ccc3c(c1C(C1C=CCCC1)O2)C(C)=CC(C)(C)N3,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1
5,CHEMBL48283,7.279999999999999,C=C(C)CC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,C1CCC2C(C1)CCC1C3CCCCC3CCC21
6,CHEMBL49386,7.525,C/C=C\CC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,C1CCC2C(C1)CCC1C3CCCCC3CCC21
7,CHEMBL266282,7.843333334922791,C=CCC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,C1CCC2C(C1)CCC1C3CCCCC3CCC21
8,CHEMBL131,7.994375000000001,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,C1CCC2C(C1)CCC1C3CCCC3CCC21
9,CHEMBL99123,7.815,COc1cccc2c1-c1ccc3c(c1C(c1cc(F)cc(F)c1)O2)C(C)=CC(C)(C)N3,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1
10,CHEMBL416278,7.055,CC/C=C\CC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,C1CCC2C(C1)CCC1C3CCCCC3CCC21
11,CHEMBL45720,7.64,COc1cccc2c1-c1ccc3c(c1C(CC=C(C)C)O2)C(C)=CC(C)(C)N3,C1CCC2C(C1)CCC1C3CCCCC3CCC21
12,CHEMBL298687,8.24,COc1cccc2c1-c1ccc3c(c1[C@H]([C@@H]1C=C(C)CCC1)O2)C(C)=CC(C)(C)N3,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1
13,CHEMBL65021,7.39,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccccc1)O2,C1CCC(C2CC3CCCCC3C3CCCCC23)CC1
14,CHEMBL65221,7.97,CS(=O)(=O)Nc1ccc2c(c1)C(c1ccccc1)Oc1cccc(OC(F)F)c1-2,C1CCC(C2CC3CCCCC3C3CCCCC23)CC1
15,CHEMBL65657,7.54,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccc(F)cc1)O2,C1CCC(C2CC3CCCCC3C3CCCCC23)CC1
16,CHEMBL65354,7.82,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(F)c1)O2,C1CCC(C2CC3CCCCC3C3CCCCC23)CC1
17,CHEMBL65868,8.15,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccc(C)cc1)O2,C1CCC(C2CC3CCCCC3C3CCCCC23)CC1
18,CHEMBL293388,7.665,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccs1)O2,C1CCC2C(C1)CC(C1CCCC1)C1CCCCC21
19,CHEMBL414449,8.19,CCC[C@@H]1O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(S[C@@H]2CCOC2=O)O1,C1CCC(CC23CCCC2CC2C4CCC5CCCCC5C4CCC23)C1
20,CHEMBL81591,8.08,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccccc1,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
21,CHEMBL79807,8.233333333333334,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccc(F)cc1,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
22,CHEMBL311662,8.15,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@](C)(O)c1ccc(F)cc1,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
23,CHEMBL79335,8.670000000000002,C=CCC[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,C1CCC(C2CCC3CC4CCCCC4CC32)CC1
24,CHEMBL311034,7.695,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@H](O)c1ccc(F)cc1,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
25,CHEMBL312041,8.72,CC(C)(O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,C1CCC(C2CCC3CC4CCCCC4CC32)CC1
26,CHEMBL420767,8.06,C[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,C1CCC(C2CCC3CC4CCCCC4CC32)CC1
27,CHEMBL82546,8.445,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)Cc1ccc(F)cc1,C1CCC(CCC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
28,CHEMBL309243,8.41,C=CC[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,C1CCC(C2CCC3CC4CCCCC4CC32)CC1
29,CHEMBL83110,8.17,Cc1cc([C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)ccc1F,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
