molregno,stand_type,pchembl_value,stand_value,canonical_smiles,stand_inchi,chembl_id,tid,pref_name,scaffolds_csk,mfp
0,226650,IC50,6.13,737.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccccc1-3,ZEZOALAOUQCQQW-HAHDFKILSA-N,CHEMBL134421,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fed0900>
1,49963,IC50,6.34,458.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cccc(F)c1)Oc1ccccc1-3,OVIZCQBEPZRBDB-UCQKPKSFSA-N,CHEMBL32812,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fed03c0>
2,226190,IC50,6.43,371.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cc(F)ccc1F)Oc1ccccc1-3,ZVALABNDJZPNNC-QRVIBDJDSA-N,CHEMBL137103,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fed0ac0>
3,227145,IC50,5.78,1650.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccc(F)c(F)c1)Oc1ccccc1-3,XGBWGDGYTTWUIM-QRVIBDJDSA-N,CHEMBL342426,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fed04a0>
4,100045,IC50,5.98,1050.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1ccccc1-3,YXKBVHXOKVRRKO-IWIPYMOSSA-N,CHEMBL302362,25,Glucocorticoid receptor ,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fdf03c0>
5,72259,IC50,6.79,240.0,C=C(Br)CC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,YKTSKBOTCVIZNZ-UHFFFAOYSA-N,CHEMBL296624,25,Glucocorticoid receptor ,C1CCC2C(C1)CCC1C3CCCCC3CCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fdf0890>
6,72705,IC50,7.5600000000000005,40.0,COc1cccc2c1-c1ccc3c(c1[C@H]([C@H]1C=C(C)CCC1)O2)C(C)=CC(C)(C)N3,ZOUVODOOOFQPOC-DWXRJYCRSA-N,CHEMBL46325,25,Glucocorticoid receptor ,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fdf04a0>
7,72755,IC50,7.92,12.0,COc1cccc2c1-c1ccc3c(c1C(C1C=CCC1)O2)C(C)=CC(C)(C)N3,BDZQBRNZPXXVRN-UHFFFAOYSA-N,CHEMBL47463,25,Glucocorticoid receptor ,C1CCC2C(C1)CC(C1CCCC1)C1C3CCCCC3CCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fdf0270>
8,71772,IC50,6.68,310.0,C=C(CO)CC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,NBUPNJQWXVQRCK-UHFFFAOYSA-N,CHEMBL416465,25,Glucocorticoid receptor ,C1CCC2C(C1)CCC1C3CCCCC3CCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fdf0c10>
9,72017,IC50,7.41,76.0,COc1cccc2c1-c1ccc3c(c1C(CC=C(F)F)O2)C(C)=CC(C)(C)N3,MACROYAVMFWALR-UHFFFAOYSA-N,CHEMBL50118,25,Glucocorticoid receptor ,C1CCC2C(C1)CCC1C3CCCCC3CCC21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x70c51fdf0e40>
