level_0,molregno,stand_type,pchembl_value,stand_value,canonical_smiles,stand_inchi,chembl_id,tid,pref_name,index,scaffolds_murcko,scaffolds_generic,scaffolds_csk
0,2228370,IC50,8.21,6.2,Cc1c(C(=O)Nc2ccc(S(C)(=O)=O)cc2)cc([C@H](C)[C@H](C)O)n1-c1ccc(F)cc1C(F)(F)F,ICSRXDFKUOSNPF-HIFRSBDPSA-N,CHEMBL4088459,48,Mineralocorticoid receptor ,1,O=C(Nc1ccccc1)c1ccn(-c2ccccc2)c1,CC1CCC(C2C(C)C(C(C)CC3CCC(C(C)(C)C)CC3)CC2C(C)C(C)C)C(C(C)(C)C)C1,C1CCC(CCC2CCC(C3CCCCC3)C2)CC1
1,2021148,IC50,7.51,31.0,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CCO1,VXKBREQCYRAEHY-XUDSTZEESA-N,CHEMBL3687970,48,Mineralocorticoid receptor ,1,O=C1C=C2CCC3C(CCC4C3CCC43C=CCO3)C2CC1,CC1CCC2C(CCC3C2CCC2(C)C3CCC23CCCC3)C1,C1CCC2C(C1)CCC1C2CCC2C1CCC21CCCC1
2,1976411,IC50,7.27,54.0,Cc1ccccc1C(Cc1ccnc(NC(N)=O)c1)c1ccccc1,BSHKGGXYCSBQHD-UHFFFAOYSA-N,CHEMBL3643680,48,Mineralocorticoid receptor ,1,c1ccc(C(Cc2ccncc2)c2ccccc2)cc1,CC(C)CC1CCCC(CC(C2CCCCC2)C2CCCCC2C)C1,C1CCC(CC(C2CCCCC2)C2CCCCC2)CC1
3,687489,IC50,7.28,52.0,COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)[C@H]1c1ccc(F)cc1Cl,QWWNXNFWXOZGLJ-OAHLLOKOSA-N,CHEMBL1215623,48,Mineralocorticoid receptor ,1,C1=CC(c2ccccc2)C=C(Cn2cnnn2)N1,CCC(C)C1C(CC2CCCC2)CC(C)C(CC)C1C1CCC(C)CC1C,C1CCC(C2CCCC(CC3CCCC3)C2)CC1
4,687192,IC50,7.39,41.0,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2c2ccc(F)cc2)cc1Cl,ABRSQONXUKMPNK-URXFXBBRSA-N,CHEMBL1215330,48,Mineralocorticoid receptor ,1,c1ccc(C2C3CCc4ccccc4C3=NN2c2ccccc2)cc1,CCC1CCC(C2CC3C4CCC(C(C)C)CC4CCC3C2C2CCC(C)CC2)CC1C,C1CCC(C2CC3C4CCCCC4CCC3C2C2CCCCC2)CC1
5,1976412,IC50,7.14,73.0,NC(=O)Nc1cc(CCc2cccc(C(F)(F)F)c2)ccn1,NDABQKIUGWKOPO-UHFFFAOYSA-N,CHEMBL3643681,48,Mineralocorticoid receptor ,1,c1ccc(CCc2ccncc2)cc1,CC(C)CC1CCCC(CCC2CCCC(C(C)(C)C)C2)C1,C1CCC(CCC2CCCCC2)CC1
6,2074436,IC50,7.36,44.0,O=C1Nc2cc(/C=C3\c4ccccc4COc4cc(F)ccc43)ccc2C12CCNCC2,UDNYNGAZSRXBTA-PNAHYYPNSA-N,CHEMBL3775816,48,Mineralocorticoid receptor ,1,O=C1Nc2cc(C=C3c4ccccc4COc4ccccc43)ccc2C12CCNCC2,CC1CCC2C(CCC3CCCCC3C2CC2CCC3C(C2)CC(C)C32CCCCC2)C1,C1CCC2(CC1)CCC1CC(CC3C4CCCCC4CCC4CCCCC43)CCC12
7,1572050,IC50,7.26,55.0,COc1cc(CNC(=O)[C@@]2(Cc3ccccc3)OC(=O)N([C@H](C)c3ccc(Cl)cc3)C2=O)cc(OC)c1,QTCVNLMDEMNROL-KWMCUTETSA-N,CHEMBL2407645,48,Mineralocorticoid receptor ,1,O=C1OC(Cc2ccccc2)(C(=O)NCc2ccccc2)C(=O)N1Cc1ccccc1,CCC1CC(CC)CC(CCC(C)C2(CC3CCCCC3)CC(C)C(C(C)C3CCC(C)CC3)C2C)C1,C1CCC(CCCC2(CC3CCCCC3)CCC(CC3CCCCC3)C2)CC1
8,2074426,IC50,8.22,6.0,CN(C)CC(=O)N1CCC2(CC1)C(=O)Nc1cc(/C=C3\c4ccccc4COc4cc(F)ccc43)ccc12,BYMHEMITBJZMDH-MFKUBSTISA-N,CHEMBL3775389,48,Mineralocorticoid receptor ,1,O=C1Nc2cc(C=C3c4ccccc4COc4ccccc43)ccc2C12CCNCC2,CC(C)CC(C)C1CCC2(CC1)C(C)CC1CC(CC3C4CCCCC4CCC4CC(C)CCC43)CCC12,C1CCC2(CC1)CCC1CC(CC3C4CCCCC4CCC4CCCCC43)CCC12
9,1442763,IC50,7.935,19.0,Cc1ccccc1CCc1ccnc(NC(N)=O)c1,MOTDSKKJECQMDW-UHFFFAOYSA-N,CHEMBL2181933,48,Mineralocorticoid receptor ,1,c1ccc(CCc2ccncc2)cc1,CC(C)CC1CCCC(CCC2CCCCC2C)C1,C1CCC(CCC2CCCCC2)CC1
10,1976409,IC50,7.0,100.0,NC(=O)Nc1cc(CC(c2ccccc2)C2CC2)ccn1,FZDGGKMTNOEDKT-UHFFFAOYSA-N,CHEMBL3643678,48,Mineralocorticoid receptor ,1,c1ccc(C(Cc2ccncc2)C2CC2)cc1,CC(C)CC1CCCC(CC(C2CCCCC2)C2CC2)C1,C1CCC(CC(C2CCCCC2)C2CC2)CC1
11,1748745,IC50,8.37,4.3,COc1nc(C2=NN(c3ccc(C#N)c(C)n3)[C@@H](C3CCCC3)C2)ccc1C(N)=O,UPCKDXKXFLMNKF-LJQANCHMSA-N,CHEMBL3263763,48,Mineralocorticoid receptor ,1,c1ccc(C2=NN(c3ccccn3)C(C3CCCC3)C2)nc1,CCC1CCC(C2CC(C3CCC(C(C)C)C(CC)C3)CC2C2CCCC2)CC1C,C1CCC(C2CC(C3CCCCC3)C(C3CCCC3)C2)CC1
12,2218542,IC50,8.42,3.8,Cc1c(C(=O)Nc2ccc(S(C)(=O)=O)cc2)cn([C@H](C)[C@H](C)O)c1-c1ccc(F)cc1C(F)(F)F,RKOXRANVRDCFQL-CABCVRRESA-N,CHEMBL4078631,48,Mineralocorticoid receptor ,1,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1,CC1CCC(C2C(C)C(C(C)CC3CCC(C(C)(C)C)CC3)CC2C(C)C(C)C)C(C(C)(C)C)C1,C1CCC(CCC2CCC(C3CCCCC3)C2)CC1
13,1748732,IC50,8.05,9.0,COc1cc(C2=NN(c3ccc(C#N)c(C)c3)[C@@H](C3CCCC3)C2)ccc1C(=O)O,APPWKMITVMBLGJ-JOCHJYFZSA-N,CHEMBL3263750,48,Mineralocorticoid receptor ,1,c1ccc(C2=NN(c3ccccc3)C(C3CCCC3)C2)cc1,CCC1CCC(C2CC(C3CCC(C(C)C)C(CC)C3)CC2C2CCCC2)CC1C,C1CCC(C2CC(C3CCCCC3)C(C3CCCC3)C2)CC1
14,2507173,IC50,7.52,30.0,COC(=O)C(CC1CC1)(c1ccc(Cl)cc1)n1ccc2c(NS(C)(=O)=O)cccc21,FJYAWFFDUWSVNF-UHFFFAOYSA-N,CHEMBL4759836,48,Mineralocorticoid receptor ,1,c1ccc(C(CC2CC2)n2ccc3ccccc32)cc1,CCC(C)C(CC1CC1)(C1CCC(C)CC1)C1CCC2C(CC(C)(C)C)CCCC21,C1CCC(C(CC2CC2)C2CCC3CCCCC32)CC1
15,625436,IC50,7.39,41.0,COC(=O)C1=C(CCl)NC(C)=C(C#N)[C@H]1c1ccc(F)cc1Cl,HXMHWKPUYLJIJN-CQSZACIVSA-N,CHEMBL1094169,48,Mineralocorticoid receptor ,1,C1=CC(c2ccccc2)C=CN1,CCC(C)C1C(CC)CC(C)C(CC)C1C1CCC(C)CC1C,C1CCC(C2CCCCC2)CC1
16,313314,IC50,7.85,14.0,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,VOVIALXJUBGFJZ-KWVAZRHASA-N,CHEMBL1370,48,Mineralocorticoid receptor ,1,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,CCCC1CC2CC3C4CCC5CC(C)CCC5(C)C4C(C)CC3(C)C2(C(C)CC)C1,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CC21
17,2074420,IC50,7.3,50.12,O=c1[nH]c2ccc(/C=C3\c4ccccc4COc4cc(F)ccc43)cc2[nH]1,VVDCAXNCFQUBMK-GIJQJNRQSA-N,CHEMBL3775714,48,Mineralocorticoid receptor ,1,O=c1[nH]c2ccc(C=C3c4ccccc4COc4ccccc43)cc2[nH]1,CC1CC2CCC(CC3C4CCCCC4CCC4CC(C)CCC43)CC2C1,C1CC2CCC(CC3C4CCCCC4CCC4CCCCC43)CC2C1
18,1251256,IC50,7.35,45.0,COc1ccc(F)cc1C(C)(C)C[C@@](O)(Cc1cc2cc(C#N)ccc2[nH]1)C(F)(F)F,DORQSUNHACTGLQ-QFIPXVFZSA-N,CHEMBL1911650,48,Mineralocorticoid receptor ,1,c1ccc(CCCCc2cc3ccccc3[nH]2)cc1,CCC1CCC2CC(CC(C)(CC(C)(C)C3CC(C)CCC3CC)C(C)(C)C)CC2C1,C1CCC(CCCCC2CC3CCCCC3C2)CC1
19,1748744,IC50,8.43,3.7,COc1nc(C2=NN(c3ccc(C#N)c(C)c3)[C@@H](C3CCCC3)C2)ccc1C(=O)N(C)C,SQHLJUMBLUSUDF-HSZRJFAPSA-N,CHEMBL3263762,48,Mineralocorticoid receptor ,1,c1ccc(N2N=C(c3ccccn3)CC2C2CCCC2)cc1,CCC1CCC(C2CC(C3CCC(C(C)C(C)C)C(CC)C3)CC2C2CCCC2)CC1C,C1CCC(C2CC(C3CCCCC3)C(C3CCCC3)C2)CC1
20,687345,IC50,7.24,58.0,CCCCC1=C(C(=O)OC)C(c2ccccc2Cl)C(C#N)=C(C)N1,BUUOLGKPFRELSS-UHFFFAOYSA-N,CHEMBL1215480,48,Mineralocorticoid receptor ,1,C1=CC(c2ccccc2)C=CN1,CCCCC1CC(C)C(CC)C(C2CCCCC2C)C1C(C)CC,C1CCC(C2CCCCC2)CC1
21,1578078,IC50,7.04,92.0,CC1NC(=O)C(c2ccc(F)cc2)=C1c1cc(F)c2c(c1)NC(=O)CO2,QKZAWMWPTSDSCF-UHFFFAOYSA-N,CHEMBL2419299,48,Mineralocorticoid receptor ,1,O=C1COc2ccc(C3=C(c4ccccc4)C(=O)NC3)cc2N1,CC1CCC(C2C(C)CC(C)C2C2CC(C)C3CCC(C)CC3C2)CC1,C1CCC(C2CCCC2C2CCC3CCCCC3C2)CC1
22,2449193,IC50,7.5,32.0,CC[C@](CO)(c1ccc(Cl)cc1)n1ccc2c(NS(C)(=O)=O)cc(F)cc21,POUMWPFDKBAVDE-IBGZPJMESA-N,CHEMBL4578762,48,Mineralocorticoid receptor ,1,c1ccc(Cn2ccc3ccccc32)cc1,CCC(CC)(C1CCC(C)CC1)C1CCC2C(CC(C)(C)C)CC(C)CC21,C1CCC(CC2CCC3CCCCC32)CC1
23,1976421,IC50,7.92,31.0,Cc1cc(F)ccc1CCc1ccnc(NC(N)=O)c1,CXKHFDPOIKOCQS-UHFFFAOYSA-N,CHEMBL3643690,48,Mineralocorticoid receptor ,1,c1ccc(CCc2ccncc2)cc1,CC(C)CC1CCCC(CCC2CCC(C)CC2C)C1,C1CCC(CCC2CCCCC2)CC1
24,2207919,IC50,7.33,47.0,CCOc1nccc2c1[C@H](c1ccc(C#N)cc1OC)C(C#N)=C(C)N2,ANOXKDNMHLYCBG-GOSISDBHSA-N,CHEMBL4068008,48,Mineralocorticoid receptor ,1,C1=CC(c2ccccc2)c2cnccc2N1,CCCC1CCCC2CC(C)C(CC)C(C3CCC(CC)CC3CC)C12,C1CCC(C2CCCC3CCCCC32)CC1
25,626551,IC50,7.11,77.0,COC(=O)C1=C(C)NC(C)=C(C#N)[C@H]1c1ccnc2ccccc12,XFXGACUSYCDBHL-GOSISDBHSA-N,CHEMBL1097753,48,Mineralocorticoid receptor ,1,C1=CC(c2ccnc3ccccc23)C=CN1,CCC(C)C1C(C)CC(C)C(CC)C1C1CCCC2CCCCC21,C1CCC(C2CCCC3CCCCC32)CC1
26,1976392,IC50,7.6,25.0,COc1ccc(-n2nccc2-c2ccnc(NC(N)=O)c2)cc1,FLGHRPVUXMLVQN-UHFFFAOYSA-N,CHEMBL3643662,48,Mineralocorticoid receptor ,1,c1ccc(-n2nccc2-c2ccncc2)cc1,CCC1CCC(C2CCCC2C2CCCC(CC(C)C)C2)CC1,C1CCC(C2CCCC2C2CCCCC2)CC1
27,1976398,IC50,7.52,30.0,NC(=O)Nc1cc(CCc2ccc(F)cc2)ccn1,KCLFVMWSWSUFAD-UHFFFAOYSA-N,CHEMBL3643668,48,Mineralocorticoid receptor ,1,c1ccc(CCc2ccncc2)cc1,CC(C)CC1CCCC(CCC2CCC(C)CC2)C1,C1CCC(CCC2CCCCC2)CC1
