TSNE1,TSNE2,label
-22.459978,-16.785051,IS
35.862877,-0.16702157,IS
33.488995,-1.1155925,IS
35.7293,-0.33357263,IS
34.345985,-0.8817735,IS
33.384327,-1.1253842,IS
29.372522,1.823887,IS
29.466833,2.305567,IS
29.314585,1.5819738,IS
0.4987217,47.26693,IS
-1.4223112,42.593662,IS
-2.3776805,41.482803,IS
-3.2412696,41.90366,IS
-4.3522778,43.138767,IS
-3.1692634,42.3215,IS
0.5429329,48.443302,IS
0.2844346,47.421833,IS
-5.236329,43.54681,IS
-10.756303,-111.40379,IS
-31.257507,-103.52407,IS
-30.118675,-96.7862,IS
-31.257507,-103.52407,IS
-31.257507,-103.52407,IS
-31.257507,-103.52407,IS
-30.118675,-96.7862,IS
-7.2392955,-114.29173,IS
-30.223728,-96.36454,IS
-26.567778,-60.4931,IS
-15.866137,-46.682667,IS
-14.997834,-48.325676,IS
-14.811537,-47.144333,IS
-25.699781,-62.00312,IS
-15.004195,-48.677616,IS
-26.083996,-61.313553,IS
37.594513,3.343928,IS
5.0379353,32.013927,IS
3.4266782,32.45228,IS
3.0855987,32.13514,IS
4.687486,32.40491,IS
-12.360259,-110.53343,IS
-12.360259,-110.53343,IS
-29.838667,-58.946476,IS
-29.955212,-59.979656,IS
97.75798,2.8279097,IS
97.14026,1.5325963,IS
97.721436,3.1341171,IS
96.67025,0.74582237,IS
-58.60398,-57.267563,IS
-58.348755,-56.582165,IS
-88.09552,14.440201,IS
-72.7679,-55.06996,IS
-71.23474,-51.746162,IS
-11.051977,-111.23836,IS
12.472318,19.359428,IS
12.472524,19.358904,IS
-21.896069,-67.227066,IS
-59.05225,-58.367405,IS
-59.05225,-58.367405,IS
37.59716,3.3500793,IS
-71.747086,31.513485,IS
-28.69068,-58.940853,IS
31.463144,44.169453,IS
-24.87249,62.26978,IS
45.046753,-70.23491,IS
45.046753,-70.23491,IS
16.938637,1.5576723,IS
13.851064,2.2428455,IS
16.905104,1.1204697,IS
17.051764,2.1941237,IS
56.05731,-20.297821,IS
45.99685,-18.987282,IS
54.863216,-17.661234,IS
57.16938,-18.560328,IS
