TSNE1,TSNE2,label
-60.000355,48.95664,DrugEx_GT_e=0.1
17.959475,62.71674,DrugEx_GT_e=0.1
36.699863,61.508907,DrugEx_GT_e=0.1
-83.074936,11.143988,DrugEx_GT_e=0.1
67.21979,-6.288883,DrugEx_GT_e=0.1
22.859776,4.5079136,DrugEx_GT_e=0.1
-3.2712204,30.954523,DrugEx_GT_e=0.1
-60.26703,-38.68437,DrugEx_GT_e=0.1
61.10179,-39.130898,DrugEx_GT_e=0.1
-2.8368566,-12.557455,DrugEx_GT_e=0.1
33.993042,47.42691,DrugEx_GT_e=0.1
37.29677,46.930523,DrugEx_GT_e=0.1
60.754612,-43.800873,DrugEx_GT_e=0.1
-48.946815,-44.897823,DrugEx_GT_e=0.1
-16.643055,0.7949664,DrugEx_GT_e=0.1
-44.022964,-41.78515,DrugEx_GT_e=0.1
-61.045307,-4.4836826,DrugEx_GT_e=0.1
-38.707752,-31.327673,DrugEx_GT_e=0.1
25.445078,-37.74563,DrugEx_GT_e=0.1
-18.253456,-32.098534,DrugEx_GT_e=0.1
-87.59674,-25.232439,DrugEx_GT_e=0.1
-48.433617,-61.36844,DrugEx_GT_e=0.1
96.17282,-10.140543,DrugEx_GT_e=0.1
36.184376,-44.202538,DrugEx_GT_e=0.1
-64.70623,16.34908,DrugEx_GT_e=0.1
-52.462666,-2.2914162,DrugEx_GT_e=0.1
34.784084,-9.043286,DrugEx_GT_e=0.1
-5.9038672,89.40593,DrugEx_GT_e=0.1
-55.662033,-33.258854,DrugEx_GT_e=0.1
-65.19723,-46.458736,DrugEx_GT_e=0.1
-73.785355,-11.21071,DrugEx_GT_e=0.1
-25.731434,-44.589417,DrugEx_GT_e=0.1
33.346638,-72.24198,DrugEx_GT_e=0.1
61.039375,24.0525,DrugEx_GT_e=0.1
-9.208823,8.432187,DrugEx_GT_e=0.1
-51.520073,-1.705703,DrugEx_GT_e=0.1
-0.50374246,26.988903,DrugEx_GT_e=0.1
39.786655,-67.58115,DrugEx_GT_e=0.1
-60.774143,-0.50946385,DrugEx_GT_e=0.1
50.926235,-51.73475,DrugEx_GT_e=0.1
1.2919787,56.196304,DrugEx_GT_e=0.1
-55.674408,30.864723,DrugEx_GT_e=0.1
39.336506,-63.505066,DrugEx_GT_e=0.1
-7.0096,-27.80795,DrugEx_GT_e=0.1
-50.281643,50.95887,DrugEx_GT_e=0.1
4.9964743,54.199776,DrugEx_GT_e=0.1
-52.544415,-13.170284,DrugEx_GT_e=0.1
20.320265,17.258802,DrugEx_GT_e=0.1
20.434921,23.146482,DrugEx_GT_e=0.1
45.65886,-27.529917,DrugEx_GT_e=0.1
0.25950456,59.54459,DrugEx_GT_e=0.1
-5.449642,6.453429,DrugEx_GT_e=0.1
-43.450165,46.532845,DrugEx_GT_e=0.1
81.64604,-9.825202,DrugEx_GT_e=0.1
-67.67452,41.652447,DrugEx_GT_e=0.1
-88.13791,-24.417807,DrugEx_GT_e=0.1
-46.66384,76.81285,DrugEx_GT_e=0.1
68.85381,-51.954144,DrugEx_GT_e=0.1
33.355415,15.583261,DrugEx_GT_e=0.1
38.139492,24.855263,DrugEx_GT_e=0.1
72.23273,-41.366817,DrugEx_GT_e=0.1
11.766708,53.478508,DrugEx_GT_e=0.1
-62.345825,-10.704867,DrugEx_GT_e=0.1
-46.097755,-10.5177,DrugEx_GT_e=0.1
7.6740656,35.053673,DrugEx_GT_e=0.1
13.634732,71.7905,DrugEx_GT_e=0.1
-81.34201,-25.184752,DrugEx_GT_e=0.1
28.794832,-55.968,DrugEx_GT_e=0.1
