TSNE1,TSNE2,label
-29.759012,75.336494,DrugEx_RNN_e=0.6
34.029053,23.299139,DrugEx_RNN_e=0.6
19.838593,-28.281517,DrugEx_RNN_e=0.6
-55.69858,39.19034,DrugEx_RNN_e=0.6
13.811717,-21.43367,DrugEx_RNN_e=0.6
74.06065,44.43467,DrugEx_RNN_e=0.6
38.7354,-0.9960703,DrugEx_RNN_e=0.6
-9.536912,-15.982339,DrugEx_RNN_e=0.6
8.276191,-77.1064,DrugEx_RNN_e=0.6
46.018078,18.336672,DrugEx_RNN_e=0.6
18.297121,-0.20159931,DrugEx_RNN_e=0.6
-5.2915506,0.34315404,DrugEx_RNN_e=0.6
-0.6918724,78.07082,DrugEx_RNN_e=0.6
-24.59389,22.827986,DrugEx_RNN_e=0.6
-47.326664,12.865445,DrugEx_RNN_e=0.6
-28.020252,17.235128,DrugEx_RNN_e=0.6
78.11052,-37.930687,DrugEx_RNN_e=0.6
13.683245,41.712776,DrugEx_RNN_e=0.6
31.85856,-18.60431,DrugEx_RNN_e=0.6
20.784227,-31.161547,DrugEx_RNN_e=0.6
-17.483606,-66.400185,DrugEx_RNN_e=0.6
18.753616,8.238521,DrugEx_RNN_e=0.6
1.7839475,-16.33009,DrugEx_RNN_e=0.6
13.571233,26.650648,DrugEx_RNN_e=0.6
-8.219735,-35.826744,DrugEx_RNN_e=0.6
-61.65717,-6.946582,DrugEx_RNN_e=0.6
54.48849,-12.245274,DrugEx_RNN_e=0.6
-10.89838,-1.6139576,DrugEx_RNN_e=0.6
10.754291,33.618725,DrugEx_RNN_e=0.6
-38.734512,-27.049456,DrugEx_RNN_e=0.6
12.815775,16.438486,DrugEx_RNN_e=0.6
-60.1896,62.309322,DrugEx_RNN_e=0.6
45.83858,46.5971,DrugEx_RNN_e=0.6
8.426016,69.99097,DrugEx_RNN_e=0.6
43.348255,105.425026,DrugEx_RNN_e=0.6
-84.8223,11.616958,DrugEx_RNN_e=0.6
42.528053,-43.29918,DrugEx_RNN_e=0.6
15.753621,8.554483,DrugEx_RNN_e=0.6
-2.337355,-23.828522,DrugEx_RNN_e=0.6
-38.574245,-2.7273152,DrugEx_RNN_e=0.6
21.492596,61.988,DrugEx_RNN_e=0.6
-8.273169,-54.925186,DrugEx_RNN_e=0.6
67.589836,24.6214,DrugEx_RNN_e=0.6
-30.19196,25.828377,DrugEx_RNN_e=0.6
4.931451,-57.02202,DrugEx_RNN_e=0.6
-84.693565,-12.353789,DrugEx_RNN_e=0.6
-65.82862,34.08501,DrugEx_RNN_e=0.6
-5.012126,55.086803,DrugEx_RNN_e=0.6
2.8015635,11.182542,DrugEx_RNN_e=0.6
-27.212475,2.822452,DrugEx_RNN_e=0.6
21.613485,76.58486,DrugEx_RNN_e=0.6
-13.501668,84.02583,DrugEx_RNN_e=0.6
33.12867,22.348965,DrugEx_RNN_e=0.6
53.33569,-12.622364,DrugEx_RNN_e=0.6
-27.77377,42.51401,DrugEx_RNN_e=0.6
33.240696,26.703125,DrugEx_RNN_e=0.6
-42.901886,-31.985868,DrugEx_RNN_e=0.6
35.621567,39.56272,DrugEx_RNN_e=0.6
-59.9496,-47.792084,DrugEx_RNN_e=0.6
3.5890098,-60.43706,DrugEx_RNN_e=0.6
4.522597,79.706795,DrugEx_RNN_e=0.6
-46.55583,-12.955429,DrugEx_RNN_e=0.6
9.995156,16.655123,DrugEx_RNN_e=0.6
4.5306244,-25.732489,DrugEx_RNN_e=0.6
-17.759089,-7.399457,DrugEx_RNN_e=0.6
16.2716,-70.08222,DrugEx_RNN_e=0.6
14.663211,45.344677,DrugEx_RNN_e=0.6
-26.982548,21.095999,DrugEx_RNN_e=0.6
-15.831061,-51.024666,DrugEx_RNN_e=0.6
-49.273724,-0.24465358,DrugEx_RNN_e=0.6
-3.8338075,-18.712658,DrugEx_RNN_e=0.6
14.157375,40.79633,DrugEx_RNN_e=0.6
-27.559174,55.454227,DrugEx_RNN_e=0.6
-27.58707,-9.758552,DrugEx_RNN_e=0.6
42.23892,12.740613,DrugEx_RNN_e=0.6
65.393776,-10.46435,DrugEx_RNN_e=0.6
34.19008,23.912268,DrugEx_RNN_e=0.6
-15.672713,-10.062798,DrugEx_RNN_e=0.6
79.746796,25.835894,DrugEx_RNN_e=0.6
-5.1529627,-68.25397,DrugEx_RNN_e=0.6
-12.245226,-31.66604,DrugEx_RNN_e=0.6
-20.904675,74.03514,DrugEx_RNN_e=0.6
-8.487479,-16.223915,DrugEx_RNN_e=0.6
9.138341,37.00546,DrugEx_RNN_e=0.6
-10.902877,6.1893053,DrugEx_RNN_e=0.6
-7.400427,1.5467709,DrugEx_RNN_e=0.6
-41.305847,39.054153,DrugEx_RNN_e=0.6
17.489407,62.232822,DrugEx_RNN_e=0.6
25.711351,9.403365,DrugEx_RNN_e=0.6
-38.886177,-2.1804848,DrugEx_RNN_e=0.6
-13.535913,-25.351173,DrugEx_RNN_e=0.6
-16.712383,-24.089449,DrugEx_RNN_e=0.6
76.49732,6.672909,DrugEx_RNN_e=0.6
-28.3594,69.89171,DrugEx_RNN_e=0.6
-34.850693,-7.103647,DrugEx_RNN_e=0.6
31.225683,-67.49933,DrugEx_RNN_e=0.6
48.444828,10.754564,DrugEx_RNN_e=0.6
34.005306,-29.645016,DrugEx_RNN_e=0.6
-34.145386,37.91931,DrugEx_RNN_e=0.6
6.1717596,31.403011,DrugEx_RNN_e=0.6
-54.576218,4.934901,DrugEx_RNN_e=0.6
11.604853,-9.61383,DrugEx_RNN_e=0.6
3.97962,43.372524,DrugEx_RNN_e=0.6
-10.957234,36.082264,DrugEx_RNN_e=0.6
72.13389,46.279503,DrugEx_RNN_e=0.6
-28.365238,32.318707,DrugEx_RNN_e=0.6
-15.59557,-3.3650148,DrugEx_RNN_e=0.6
-16.999382,17.214739,DrugEx_RNN_e=0.6
83.84535,-30.102882,DrugEx_RNN_e=0.6
28.994194,-40.635223,DrugEx_RNN_e=0.6
11.757891,-48.741394,DrugEx_RNN_e=0.6
-19.570679,4.3333497,DrugEx_RNN_e=0.6
-22.068644,1.45888,DrugEx_RNN_e=0.6
88.53103,10.878712,DrugEx_RNN_e=0.6
-30.020807,-7.261985,DrugEx_RNN_e=0.6
85.56064,22.857597,DrugEx_RNN_e=0.6
29.273878,-34.318844,DrugEx_RNN_e=0.6
13.159467,85.365234,DrugEx_RNN_e=0.6
65.74024,0.9807939,DrugEx_RNN_e=0.6
19.317629,7.935922,DrugEx_RNN_e=0.6
83.60596,-30.125755,DrugEx_RNN_e=0.6
-8.995397,11.964061,DrugEx_RNN_e=0.6
8.154092,-12.426505,DrugEx_RNN_e=0.6
8.092403,77.331245,DrugEx_RNN_e=0.6
53.104256,-7.5405664,DrugEx_RNN_e=0.6
-2.8078969,-32.696697,DrugEx_RNN_e=0.6
76.115456,-6.360162,DrugEx_RNN_e=0.6
-51.719746,-45.991592,DrugEx_RNN_e=0.6
48.49825,61.64842,DrugEx_RNN_e=0.6
-3.7806349,3.2413595,DrugEx_RNN_e=0.6
-38.920567,40.833275,DrugEx_RNN_e=0.6
58.364597,2.550026,DrugEx_RNN_e=0.6
49.802067,-0.55353266,DrugEx_RNN_e=0.6
5.7534056,42.039253,DrugEx_RNN_e=0.6
26.352417,71.54181,DrugEx_RNN_e=0.6
33.69306,39.56489,DrugEx_RNN_e=0.6
-35.165302,-10.232392,DrugEx_RNN_e=0.6
-8.022165,-40.99014,DrugEx_RNN_e=0.6
-42.84748,-11.20512,DrugEx_RNN_e=0.6
45.525414,-62.625015,DrugEx_RNN_e=0.6
-13.860528,-36.786404,DrugEx_RNN_e=0.6
-17.45504,23.860588,DrugEx_RNN_e=0.6
-4.6935844,-18.340342,DrugEx_RNN_e=0.6
1.6574907,0.46512753,DrugEx_RNN_e=0.6
70.980576,-1.0033214,DrugEx_RNN_e=0.6
53.026646,31.846886,DrugEx_RNN_e=0.6
62.425076,-18.84422,DrugEx_RNN_e=0.6
48.98371,-9.674259,DrugEx_RNN_e=0.6
-28.662113,69.963295,DrugEx_RNN_e=0.6
-6.63163,82.179306,DrugEx_RNN_e=0.6
-20.74267,-5.5516696,DrugEx_RNN_e=0.6
-19.878866,26.804781,DrugEx_RNN_e=0.6
15.83834,20.770195,DrugEx_RNN_e=0.6
79.140686,-6.630591,DrugEx_RNN_e=0.6
34.702988,21.851711,DrugEx_RNN_e=0.6
-69.35027,-7.6415234,DrugEx_RNN_e=0.6
-53.74265,32.63599,DrugEx_RNN_e=0.6
-37.22019,62.36234,DrugEx_RNN_e=0.6
-35.09528,76.11534,DrugEx_RNN_e=0.6
62.86277,64.41546,DrugEx_RNN_e=0.6
37.906635,-45.934258,DrugEx_RNN_e=0.6
-27.342394,-72.714806,DrugEx_RNN_e=0.6
2.58387,-18.628195,DrugEx_RNN_e=0.6
-67.82496,11.515941,DrugEx_RNN_e=0.6
86.489975,23.032898,DrugEx_RNN_e=0.6
8.576195,-37.032013,DrugEx_RNN_e=0.6
73.68831,23.007547,DrugEx_RNN_e=0.6
-31.508644,42.62679,DrugEx_RNN_e=0.6
-19.983105,16.420254,DrugEx_RNN_e=0.6
24.938831,-14.991619,DrugEx_RNN_e=0.6
66.52116,19.870337,DrugEx_RNN_e=0.6
-32.647804,-5.411741,DrugEx_RNN_e=0.6
-26.278324,0.21209517,DrugEx_RNN_e=0.6
8.829058,89.707054,DrugEx_RNN_e=0.6
38.6151,-13.60086,DrugEx_RNN_e=0.6
14.553448,-60.495117,DrugEx_RNN_e=0.6
2.1896632,-29.57608,DrugEx_RNN_e=0.6
67.03187,21.499071,DrugEx_RNN_e=0.6
53.30624,35.935326,DrugEx_RNN_e=0.6
6.2835255,54.030186,DrugEx_RNN_e=0.6
10.938772,8.434136,DrugEx_RNN_e=0.6
-14.877011,-51.653755,DrugEx_RNN_e=0.6
-18.782492,22.507809,DrugEx_RNN_e=0.6
73.14258,34.107155,DrugEx_RNN_e=0.6
-79.3497,-30.083899,DrugEx_RNN_e=0.6
14.98494,-14.723807,DrugEx_RNN_e=0.6
-17.549196,-17.643776,DrugEx_RNN_e=0.6
51.381927,-0.51432854,DrugEx_RNN_e=0.6
51.643486,-36.11197,DrugEx_RNN_e=0.6
