TSNE1,TSNE2,label
35.52469,39.25388,REINVENT
-71.61899,-35.303055,REINVENT
60.986683,10.436685,REINVENT
12.603961,26.64017,REINVENT
15.972659,-50.417202,REINVENT
-40.65783,54.82584,REINVENT
-44.824356,-17.593369,REINVENT
-26.141005,29.570236,REINVENT
-56.884216,36.870213,REINVENT
-3.1337745,7.3477173,REINVENT
-50.650642,23.486902,REINVENT
-0.49325493,-45.86751,REINVENT
-59.295654,40.982628,REINVENT
32.784985,-34.92724,REINVENT
-13.831068,72.074554,REINVENT
15.883157,62.537453,REINVENT
38.744854,-5.8644767,REINVENT
10.978408,-42.81171,REINVENT
-41.046658,-20.23432,REINVENT
-57.617508,0.49408448,REINVENT
32.098103,25.735691,REINVENT
16.304811,-12.649487,REINVENT
38.635998,3.6711895,REINVENT
18.941006,-10.222698,REINVENT
30.173332,-4.456525,REINVENT
21.230806,43.67862,REINVENT
18.930012,45.196518,REINVENT
-65.56171,18.045132,REINVENT
-40.137966,-9.3497715,REINVENT
19.64714,48.420166,REINVENT
56.60609,-22.056896,REINVENT
73.199524,3.7478147,REINVENT
-15.815749,27.961504,REINVENT
-54.924397,28.651766,REINVENT
-40.046795,-46.901333,REINVENT
24.524734,32.804623,REINVENT
-93.79158,32.58969,REINVENT
-75.94775,-0.5531289,REINVENT
32.087704,63.76585,REINVENT
-45.05137,5.0073547,REINVENT
64.70703,-10.042752,REINVENT
-4.9866567,-4.5196795,REINVENT
-41.90223,4.101498,REINVENT
-25.939224,41.457993,REINVENT
7.4586873,-65.07802,REINVENT
-49.736935,26.366821,REINVENT
79.16581,0.08000048,REINVENT
7.391986,-0.93002427,REINVENT
4.14159,82.45816,REINVENT
38.005257,27.093706,REINVENT
63.508404,3.2608404,REINVENT
37.18693,36.55528,REINVENT
-0.8309942,-69.38147,REINVENT
-20.255157,-39.864613,REINVENT
9.910697,12.216098,REINVENT
-32.893883,9.882853,REINVENT
-13.67216,31.47621,REINVENT
-24.769238,-9.930262,REINVENT
21.093172,-23.116892,REINVENT
76.73227,-7.3236494,REINVENT
16.559155,4.226149,REINVENT
0.16756934,-18.720741,REINVENT
77.81487,16.946968,REINVENT
-64.385864,15.629126,REINVENT
20.38499,3.017854,REINVENT
-37.134937,-59.178535,REINVENT
16.309692,-13.842353,REINVENT
4.2240596,19.065973,REINVENT
-25.858929,29.26264,REINVENT
20.975111,18.477407,REINVENT
9.97719,48.68396,REINVENT
-17.577215,24.488092,REINVENT
-44.501003,42.69392,REINVENT
15.858725,-10.330555,REINVENT
-10.8451395,-5.697878,REINVENT
72.79799,26.596117,REINVENT
-8.742035,-72.47737,REINVENT
7.548116,19.353943,REINVENT
33.90107,47.263527,REINVENT
46.75827,-43.56054,REINVENT
-7.4404054,-15.682626,REINVENT
-35.30657,-45.478683,REINVENT
49.029987,44.91809,REINVENT
11.954547,60.21542,REINVENT
12.004183,-45.98263,REINVENT
8.477522,-32.42072,REINVENT
11.822256,-3.120184,REINVENT
30.344902,65.75094,REINVENT
63.84998,37.408184,REINVENT
-23.2026,33.963814,REINVENT
-0.496777,-23.928474,REINVENT
-36.167698,-2.735889,REINVENT
-3.7147944,18.569052,REINVENT
-3.7384188,-1.3391776,REINVENT
52.859467,-17.849415,REINVENT
4.0985346,-34.209347,REINVENT
-3.0585554,-39.924473,REINVENT
21.412775,-45.50713,REINVENT
-22.10799,72.42851,REINVENT
21.337755,16.258627,REINVENT
-76.11569,-8.856652,REINVENT
-6.863645,-22.003702,REINVENT
7.5213895,-8.201984,REINVENT
-10.235444,-26.700123,REINVENT
32.81697,-62.834213,REINVENT
31.62055,25.176521,REINVENT
27.527805,49.523327,REINVENT
-19.251778,-15.246451,REINVENT
24.29313,-76.17589,REINVENT
21.44424,-46.5282,REINVENT
-8.388424,-25.240444,REINVENT
77.95465,-6.43359,REINVENT
32.533478,13.082269,REINVENT
10.323774,0.9375852,REINVENT
30.057617,-10.825048,REINVENT
-19.615112,-10.650483,REINVENT
42.05919,-37.971092,REINVENT
-53.465,11.562648,REINVENT
-4.428867,-1.1071976,REINVENT
-3.2802343,80.28159,REINVENT
-31.675634,14.210181,REINVENT
-26.950829,-38.507927,REINVENT
24.904211,36.955154,REINVENT
-61.68241,6.4011073,REINVENT
-43.923397,51.94948,REINVENT
-34.223167,-15.057961,REINVENT
18.254356,-47.89625,REINVENT
-25.290339,-63.7443,REINVENT
-55.22648,28.775963,REINVENT
24.529919,-39.284756,REINVENT
-55.497368,-15.763489,REINVENT
6.3650045,-57.280884,REINVENT
14.460233,14.069263,REINVENT
-3.9533308,42.749443,REINVENT
-49.576263,-17.054771,REINVENT
-2.8705924,-5.5659547,REINVENT
7.928405,32.758686,REINVENT
-5.925473,49.19729,REINVENT
-25.046284,-47.55736,REINVENT
-69.52606,1.448322,REINVENT
-38.47731,4.1410184,REINVENT
44.409534,66.178,REINVENT
-21.554276,1.1940724,REINVENT
13.032662,63.464527,REINVENT
5.5168877,36.237076,REINVENT
4.189487,-29.028502,REINVENT
-33.22035,-43.25778,REINVENT
-16.073671,17.333406,REINVENT
-54.91424,-7.974969,REINVENT
-27.869478,-28.099133,REINVENT
13.103339,81.020065,REINVENT
-22.583452,63.082664,REINVENT
-15.961441,-34.152073,REINVENT
18.51545,-56.25786,REINVENT
33.8572,19.67693,REINVENT
72.53294,-12.743063,REINVENT
-20.555351,36.071835,REINVENT
3.1478322,-1.8988783,REINVENT
30.990017,32.00315,REINVENT
-33.556183,-4.983172,REINVENT
-54.410217,-45.731373,REINVENT
-6.262187,-70.419136,REINVENT
10.418723,60.465424,REINVENT
39.92352,-8.957075,REINVENT
13.170183,59.841244,REINVENT
-14.349921,47.767162,REINVENT
59.282265,18.342295,REINVENT
9.9565115,43.37397,REINVENT
-27.839762,-4.4125705,REINVENT
31.358763,-65.3609,REINVENT
-1.7826627,45.478256,REINVENT
48.33953,23.888168,REINVENT
61.98833,30.34781,REINVENT
-8.71495,-72.44985,REINVENT
-4.4025865,21.42641,REINVENT
-49.47368,32.290657,REINVENT
-46.436214,3.3783488,REINVENT
28.548334,59.702103,REINVENT
73.196144,3.7601924,REINVENT
3.852786,27.705925,REINVENT
-21.028934,-17.443851,REINVENT
-50.38079,52.739338,REINVENT
-43.45452,-46.7059,REINVENT
31.649506,-2.7708662,REINVENT
48.988552,-59.855267,REINVENT
16.796427,9.344821,REINVENT
39.87449,-44.96761,REINVENT
47.066757,-3.1862192,REINVENT
24.523811,-12.357347,REINVENT
24.502344,-12.365225,REINVENT
-36.63248,5.9883633,REINVENT
-5.2157125,9.162214,REINVENT
22.663988,68.00654,REINVENT
-68.04177,-3.8705914,REINVENT
-14.619577,53.481106,REINVENT
0.43175158,-32.336666,REINVENT
-11.350761,6.3953223,REINVENT
-27.146746,-68.42548,REINVENT
81.233,11.726239,REINVENT
55.01003,-47.331295,REINVENT
-35.229374,-18.867151,REINVENT
37.44132,-67.682785,REINVENT
-56.836678,34.861374,REINVENT
57.09909,11.60221,REINVENT
-54.642582,-58.315857,REINVENT
-12.702925,-34.593227,REINVENT
-34.153625,-20.143347,REINVENT
-18.482077,45.037777,REINVENT
44.30609,-9.60256,REINVENT
14.97744,10.184434,REINVENT
-15.23426,-19.297804,REINVENT
-71.56477,-35.409924,REINVENT
-32.933147,6.1812334,REINVENT
-38.65182,-28.942848,REINVENT
1.6881126,-35.882263,REINVENT
-1.8745457,-6.2021127,REINVENT
12.868185,-28.943304,REINVENT
-8.274702,-19.88019,REINVENT
44.095295,-21.953373,REINVENT
17.250887,4.7056913,REINVENT
-4.3669853,-27.807026,REINVENT
31.462732,15.128457,REINVENT
72.77376,26.622004,REINVENT
20.264528,-1.1130755,REINVENT
-36.124916,50.0673,REINVENT
-9.021323,32.42454,REINVENT
-28.667048,-17.192667,REINVENT
-46.857895,-49.314995,REINVENT
12.206169,-21.575024,REINVENT
70.29243,31.050459,REINVENT
26.389315,-0.13695078,REINVENT
-10.641683,-74.8157,REINVENT
17.745173,68.49954,REINVENT
28.193012,-34.97847,REINVENT
-5.331291,-27.001413,REINVENT
51.20991,44.709282,REINVENT
15.163397,8.922546,REINVENT
-67.041435,10.013312,REINVENT
11.482283,-12.024661,REINVENT
-50.436497,20.869032,REINVENT
-78.50301,2.7561064,REINVENT
23.393764,33.15204,REINVENT
0.9992753,-25.039675,REINVENT
13.00391,-11.540334,REINVENT
-39.243057,-1.2312,REINVENT
-73.87552,-11.713836,REINVENT
-53.65888,11.558288,REINVENT
-61.375496,-26.791689,REINVENT
25.813879,-58.30717,REINVENT
-10.894623,-55.28714,REINVENT
48.986263,61.270794,REINVENT
22.579773,38.87375,REINVENT
33.066593,-17.07885,REINVENT
-37.246117,-48.186924,REINVENT
-39.97703,1.3965796,REINVENT
53.329308,-22.083174,REINVENT
-36.90577,-37.746426,REINVENT
-0.31987846,-23.534813,REINVENT
58.81198,-42.09274,REINVENT
35.697903,-0.1933943,REINVENT
2.4595754,-16.091478,REINVENT
47.84627,29.73417,REINVENT
8.250806,-8.953956,REINVENT
46.930546,55.115047,REINVENT
30.47281,-30.05755,REINVENT
-41.66112,-57.967167,REINVENT
-19.810856,-26.901207,REINVENT
-67.12177,-48.677326,REINVENT
43.24983,-47.34127,REINVENT
-4.6451077,-31.63866,REINVENT
26.045317,34.84643,REINVENT
-24.453516,-28.682774,REINVENT
-33.07454,-43.17642,REINVENT
-28.023853,-16.083157,REINVENT
-14.119336,19.96303,REINVENT
18.485596,37.428852,REINVENT
10.229643,-71.947876,REINVENT
2.8280296,-29.632833,REINVENT
