TSNE1,TSNE2,label
-47.159313,26.836004,RS
11.561786,14.412615,RS
-57.12229,-0.11451065,RS
11.273751,13.814996,RS
-56.84418,1.0028776,RS
8.566887,-9.290001,RS
-56.620144,1.579039,RS
-1.0715036,-7.9269753,RS
0.8842306,3.4336689,RS
2.1978042,-13.471558,RS
7.936857,9.577193,RS
2.3272367,-11.919796,RS
7.8422694,8.9810295,RS
-0.47191855,16.994026,RS
-8.044733,16.4987,RS
1.2346704,4.1455145,RS
10.922179,17.280468,RS
-0.880181,16.501375,RS
7.1784687,7.5633435,RS
-0.5762576,-7.714015,RS
0.6875562,17.987696,RS
-48.1616,-7.497146,RS
-35.00542,-47.02732,RS
-27.277784,-43.026096,RS
-29.371412,-38.734467,RS
-25.41053,-48.479366,RS
-53.060078,9.809555,RS
-29.101786,-39.368584,RS
-48.54251,4.373405,RS
-50.61177,7.476856,RS
-28.464815,-40.722115,RS
7.5917673,16.211843,RS
-49.396152,5.9196906,RS
-28.849285,-42.23234,RS
-24.085028,-49.22309,RS
-47.795345,-6.5015492,RS
-50.470314,7.7698264,RS
-48.46292,7.6871567,RS
-52.278004,5.78943,RS
-45.155502,21.89953,RS
-44.88511,22.52722,RS
-46.009674,20.54806,RS
-19.776024,-17.370773,RS
2.511486,8.35106,RS
1.8239406,5.740982,RS
-26.842787,-40.131237,RS
-20.395308,-16.365604,RS
-46.363117,19.884104,RS
-30.361227,-42.25031,RS
-23.556715,-14.675652,RS
-19.277454,-16.450117,RS
9.013715,-9.018842,RS
-35.421562,-46.57785,RS
-0.717178,-13.36704,RS
-36.31177,-45.89511,RS
-49.657814,9.776705,RS
-23.42398,-14.263291,RS
-18.041636,-15.854273,RS
-24.867952,-49.028313,RS
-52.09351,8.350739,RS
-7.5496707,8.888883,RS
-10.142235,10.459289,RS
-10.938583,14.123383,RS
-9.786795,15.304843,RS
-11.744184,10.222056,RS
-19.450037,45.512333,RS
-19.181139,45.269485,RS
11.882117,-50.286697,RS
10.242802,-50.27215,RS
9.487348,-34.70344,RS
9.254065,-34.339527,RS
8.163055,-50.05167,RS
7.6007557,-50.008465,RS
5.118727,-18.353628,RS
3.9640884,-16.153816,RS
34.916172,-15.466903,RS
39.024788,-23.150831,RS
31.838226,-15.502027,RS
38.41074,-25.266682,RS
35.50445,-15.407909,RS
35.312626,-14.254561,RS
32.90538,-15.643319,RS
40.61234,-24.336946,RS
-18.59702,40.202152,RS
40.560986,-25.579096,RS
37.24141,-16.615824,RS
39.82906,-24.60435,RS
52.877514,32.556625,RS
51.415646,33.09969,RS
42.41153,24.957651,RS
43.819725,28.99285,RS
52.62801,33.14722,RS
41.78512,26.632715,RS
53.41196,34.356293,RS
39.372917,27.522312,RS
42.652954,23.505318,RS
39.917065,26.941645,RS
39.074947,25.311855,RS
42.024006,28.373913,RS
41.465008,29.144003,RS
-17.60104,41.368484,RS
-46.185295,26.170177,RS
11.893149,52.13666,RS
6.626861,50.607258,RS
8.040021,56.926388,RS
6.7973895,49.77655,RS
11.058971,53.285225,RS
12.008777,54.29699,RS
9.149218,53.482517,RS
8.5441,57.669437,RS
8.773015,54.306614,RS
8.700258,50.409798,RS
7.3493495,53.919903,RS
-29.430267,-44.758442,RS
8.066083,17.769604,RS
-31.366371,-52.42635,RS
2.0115135,9.476429,RS
-4.1964393,-10.848085,RS
-1.6422279,-14.120112,RS
-42.991966,-6.277798,RS
-41.523724,-6.172613,RS
6.925412,57.76379,RS
-47.820274,27.183361,RS
-31.46517,-52.06676,RS
1.4520823,-13.205813,RS
13.776005,-48.09305,RS
10.320752,-41.355244,RS
13.411992,-42.963093,RS
13.90676,-45.123264,RS
9.813639,-42.077583,RS
14.5615225,-50.105316,RS
14.059016,-49.639217,RS
8.294171,-41.38192,RS
-26.493673,-21.100191,RS
-26.175808,-21.257874,RS
12.421346,-40.786682,RS
12.908923,-40.390675,RS
5.323897,-18.904852,RS
54.98265,2.8349137,RS
54.65941,3.5243714,RS
54.587795,1.8982561,RS
55.396683,4.3087664,RS
12.5530815,-38.807297,RS
46.350037,0.38217694,RS
45.68505,0.87745076,RS
61.34669,-3.3452938,RS
60.649376,-3.8599,RS
60.073498,-4.15904,RS
-43.593117,-6.313087,RS
-5.013922,-11.155736,RS
-5.9938674,-11.393597,RS
8.49847,19.572628,RS
8.595031,18.513536,RS
1.7782674,10.273787,RS
-25.436897,39.005028,RS
-26.78657,39.45835,RS
-25.469454,37.457916,RS
-27.469624,39.391926,RS
-24.46538,40.254025,RS
-25.555128,36.73744,RS
40.46976,-13.853168,RS
40.605064,-14.885491,RS
40.084488,-12.913017,RS
13.252277,14.739723,RS
-3.303544,-9.043155,RS
11.383824,23.987839,RS
11.0650215,24.213636,RS
-40.748245,-48.064026,RS
-40.748245,-48.064026,RS
-18.97073,39.723095,RS
-10.77105,11.076645,RS
-14.499085,14.954852,RS
-14.467051,15.452237,RS
-6.227382,8.533284,RS
-11.212023,12.651258,RS
41.039936,30.783081,RS
44.98533,1.4005238,RS
-48.432,-8.032634,RS
16.956718,-39.188362,RS
15.603116,-39.68727,RS
