TSNE1,TSNE2,label
91.69611,72.80233,addcarbon
26.691454,11.957253,addcarbon
0.9046647,-49.374672,addcarbon
56.224205,-48.908634,addcarbon
-6.236852,-39.849705,addcarbon
-129.90761,-1.7795509,addcarbon
4.014655,31.676525,addcarbon
-61.222084,-125.513115,addcarbon
-55.04029,51.212494,addcarbon
85.83232,27.213617,addcarbon
-85.92112,-34.757114,addcarbon
-10.576715,7.8058796,addcarbon
104.0622,10.834074,addcarbon
19.131592,-66.52511,addcarbon
72.80122,-105.899765,addcarbon
-103.74949,-0.91575384,addcarbon
12.887606,-69.86112,addcarbon
12.746753,-41.85569,addcarbon
-72.33598,110.945984,addcarbon
11.5981045,111.37884,addcarbon
78.10738,115.010864,addcarbon
-30.801722,-72.47863,addcarbon
57.488926,81.054375,addcarbon
-40.22619,7.661459,addcarbon
-83.977585,65.10623,addcarbon
-9.178285,25.83763,addcarbon
64.49976,-123.788,addcarbon
-92.59102,-80.02369,addcarbon
6.245566,3.4432778,addcarbon
-33.9345,103.45285,addcarbon
-68.53322,19.453161,addcarbon
28.958157,-71.843636,addcarbon
12.62325,114.42315,addcarbon
69.33162,-9.831977,addcarbon
64.337364,-126.547646,addcarbon
-120.32058,16.917603,addcarbon
52.40088,-68.975624,addcarbon
81.196335,-38.65645,addcarbon
-5.5795994,72.81072,addcarbon
-7.1427054,-36.77894,addcarbon
123.74675,-40.66677,addcarbon
38.004745,-76.02294,addcarbon
-53.634003,-14.162381,addcarbon
43.092766,-80.340965,addcarbon
-48.275375,52.969532,addcarbon
-53.97705,7.437818,addcarbon
99.36408,59.45854,addcarbon
102.45317,26.977724,addcarbon
54.237072,-33.503292,addcarbon
17.442173,-27.214314,addcarbon
28.368515,-29.809391,addcarbon
-92.7709,17.85386,addcarbon
146.02368,6.884539,addcarbon
48.08329,33.519253,addcarbon
-128.70981,14.46899,addcarbon
-65.41805,51.533123,addcarbon
0.4598269,35.891758,addcarbon
22.85031,-112.28149,addcarbon
-79.37354,-3.820179,addcarbon
-22.52361,121.504654,addcarbon
-80.27262,-100.490204,addcarbon
93.28055,80.64155,addcarbon
-2.5853105,-27.451378,addcarbon
44.465794,33.19597,addcarbon
22.559175,-67.08559,addcarbon
-22.888239,-90.1712,addcarbon
-98.911766,-69.56926,addcarbon
-108.40342,5.286198,addcarbon
-99.12284,-31.240562,addcarbon
40.76442,-69.69411,addcarbon
-105.76336,-48.85407,addcarbon
46.548218,-58.132664,addcarbon
0.6694197,5.8750553,addcarbon
-99.16264,32.60198,addcarbon
-80.27262,-100.490204,addcarbon
86.51586,3.6039064,addcarbon
-39.98707,74.012245,addcarbon
11.607128,39.13726,addcarbon
-45.778847,56.214066,addcarbon
57.512512,99.907196,addcarbon
88.22497,71.34161,addcarbon
44.3203,55.31284,addcarbon
-72.12498,28.778692,addcarbon
-61.16321,-100.76169,addcarbon
-11.484498,-5.240601,addcarbon
34.032215,102.34913,addcarbon
48.28142,-55.47796,addcarbon
44.3203,55.31284,addcarbon
5.9116254,-42.79679,addcarbon
-42.091686,48.42317,addcarbon
-59.78194,20.675749,addcarbon
-12.50778,41.932766,addcarbon
42.78101,7.507891,addcarbon
-71.12067,26.195143,addcarbon
-107.114395,72.17919,addcarbon
-12.652009,-18.602703,addcarbon
10.405201,-0.26637977,addcarbon
31.17428,-107.02231,addcarbon
57.642063,-45.111813,addcarbon
66.57068,2.5640092,addcarbon
82.09041,6.7165203,addcarbon
-131.09056,-28.89208,addcarbon
