TSNE1,TSNE2,set_label
71.91073,76.53676,IS
52.936295,55.801468,IS
50.972496,71.95398,IS
54.00361,56.17536,IS
52.36316,72.97856,IS
46.737206,76.61825,IS
52.845005,73.690674,IS
39.498615,65.82115,IS
40.03675,56.246853,IS
38.19685,59.820087,IS
51.211914,57.4447,IS
37.326904,62.303104,IS
50.219257,58.223667,IS
49.267242,55.21612,IS
53.68069,61.83513,IS
40.68181,54.933517,IS
51.96557,51.86757,IS
48.874775,55.44732,IS
48.66655,59.251423,IS
38.017303,65.68314,IS
51.38142,53.465996,IS
68.137695,59.29257,IS
57.839863,81.310844,IS
59.081406,79.42365,IS
56.22062,81.33013,IS
56.64209,82.27308,IS
61.36147,65.28916,IS
56.316128,81.26436,IS
63.624977,55.87823,IS
60.31718,72.16837,IS
56.469864,81.10082,IS
50.33974,50.877213,IS
59.848686,71.649605,IS
56.707123,81.05991,IS
56.214725,83.0632,IS
68.11598,60.86759,IS
60.31629,72.17049,IS
62.19445,72.75976,IS
56.30068,73.718,IS
69.80938,72.14654,IS
70.008446,71.81641,IS
67.285706,73.483444,IS
67.568146,47.224068,IS
46.68408,53.246525,IS
42.19317,53.593082,IS
56.12569,81.27648,IS
67.14258,46.22925,IS
66.74496,73.59715,IS
55.698376,81.19498,IS
67.59362,43.02918,IS
66.8774,47.68492,IS
47.63361,77.74932,IS
57.626114,81.23728,IS
41.04308,63.32653,IS
57.930298,81.725395,IS
61.45492,73.46497,IS
67.69418,43.32082,IS
65.98271,50.822006,IS
56.430077,82.91878,IS
60.972225,70.70692,IS
47.24664,64.00503,IS
46.28014,65.45123,IS
43.4949,68.55709,IS
45.320904,70.5544,IS
47.416504,67.61977,IS
-91.76621,-31.325125,IS
-91.47137,-29.745632,IS
35.82091,84.303024,IS
35.312374,82.624146,IS
38.144104,74.67631,IS
38.37561,74.29115,IS
40.12146,79.79021,IS
40.35463,80.04908,IS
46.378086,85.93322,IS
46.407314,82.54556,IS
76.30776,46.65858,IS
81.969475,48.914246,IS
75.45534,43.139885,IS
83.976776,48.285732,IS
76.33806,46.562664,IS
75.72862,47.103836,IS
75.07386,45.055416,IS
85.20459,47.832798,IS
-87.54554,6.077038,IS
85.016846,47.38494,IS
78.812996,49.299973,IS
85.353096,48.99687,IS
-40.26932,86.15913,IS
-41.03913,85.65888,IS
-50.186516,90.85041,IS
-49.14544,90.62248,IS
-40.74204,85.5669,IS
-50.113148,90.64919,IS
-42.16685,83.71426,IS
-50.132355,90.63777,IS
-50.17646,91.281555,IS
-50.153316,90.61116,IS
-50.16502,91.01339,IS
-49.979847,90.494934,IS
-50.147587,90.40692,IS
-92.39225,16.142023,IS
73.08781,75.13276,IS
-0.024947092,-94.72337,IS
-7.1841397,-97.61029,IS
0.0011622407,-101.72603,IS
-9.576232,-98.110596,IS
-2.4649186,-94.9776,IS
0.1015586,-91.17369,IS
-1.8821392,-97.94921,IS
0.3418676,-103.88927,IS
-0.99639815,-99.277145,IS
-8.242704,-94.065956,IS
-2.3430548,-99.45679,IS
55.059402,79.66102,IS
52.181313,50.3761,IS
53.673683,82.37895,IS
47.36322,57.333183,IS
37.92832,64.47464,IS
39.155075,63.8577,IS
70.138145,63.82716,IS
76.63022,69.00465,IS
5.459007,-101.85838,IS
70.70372,76.92376,IS
53.646473,82.37617,IS
39.036762,62.16483,IS
37.62408,82.53067,IS
36.694546,78.25823,IS
34.649776,79.32467,IS
34.02921,80.99314,IS
37.707,78.4698,IS
38.84856,83.61028,IS
38.762455,83.52692,IS
41.631184,77.75464,IS
85.598045,60.32146,IS
86.15589,60.752254,IS
35.565975,76.209854,IS
35.758152,76.85252,IS
44.75859,86.27517,IS
-56.690308,73.388954,IS
-57.88776,73.23579,IS
-54.181164,74.56878,IS
-58.052555,76.12286,IS
37.646267,76.69643,IS
-103.94222,0.6147667,IS
-100.984184,5.273171,IS
75.32711,-50.74474,IS
72.76173,-49.853085,IS
72.22151,-50.45488,IS
68.873566,64.31244,IS
34.90899,64.24647,IS
39.47729,67.52301,IS
53.98047,52.490257,IS
53.368065,51.14623,IS
46.512947,56.674942,IS
-73.22991,73.35131,IS
-73.30327,74.68033,IS
-74.01716,73.87593,IS
-73.29411,75.01053,IS
-71.54802,74.37664,IS
-75.16903,74.29871,IS
73.42191,53.375683,IS
75.647125,54.99518,IS
72.42524,50.478817,IS
55.067802,47.675922,IS
37.005535,67.54946,IS
57.207756,53.704533,IS
56.170322,52.26364,IS
59.79203,82.26982,IS
59.79203,82.26982,IS
-91.6245,6.713339,IS
45.573895,67.18337,IS
43.411274,70.48737,IS
42.939957,69.76639,IS
49.40814,62.481915,IS
45.247967,67.920815,IS
-87.966125,51.53559,IS
-102.02943,10.266046,IS
68.099304,58.55241,IS
