TSNE1,TSNE2,set_label
74.28076,73.054436,IS
92.72055,30.172024,IS
80.65516,48.890884,IS
91.615166,31.126242,IS
80.134514,49.73439,IS
99.64424,37.69625,IS
81.049416,50.422733,IS
76.12347,32.371803,IS
81.237526,28.848934,IS
77.92196,29.42081,IS
86.70337,30.680836,IS
77.860825,33.442303,IS
89.514885,32.276726,IS
89.49537,28.690876,IS
76.902695,44.40386,IS
80.48497,26.141413,IS
93.91741,29.249807,IS
88.38489,29.000717,IS
88.4511,31.606936,IS
76.243576,33.91211,IS
90.77013,28.463457,IS
88.230644,46.022278,IS
83.27396,65.340805,IS
80.5734,63.626896,IS
85.21159,66.345314,IS
83.475586,66.78875,IS
74.298225,54.43335,IS
85.15387,66.32305,IS
84.26041,46.332336,IS
76.691216,59.036922,IS
84.994484,66.46656,IS
92.11274,24.963068,IS
75.87633,58.778397,IS
84.67377,66.492714,IS
83.537964,66.987175,IS
87.47878,46.780903,IS
76.69425,59.031673,IS
77.66162,58.9828,IS
80.735695,55.848595,IS
73.21724,68.08743,IS
73.12905,68.44272,IS
73.60704,66.87675,IS
63.875748,57.61375,IS
87.3549,24.567646,IS
81.26308,23.640896,IS
85.280876,66.61967,IS
62.025738,57.586735,IS
74.16826,66.66432,IS
84.87198,66.89115,IS
59.192566,59.324684,IS
63.32777,56.556778,IS
98.43506,40.665672,IS
83.10679,65.47969,IS
72.77064,36.461678,IS
82.89813,65.65132,IS
78.060326,60.74108,IS
58.31363,59.561405,IS
69.996414,43.239822,IS
83.3732,66.96793,IS
75.34631,59.208645,IS
82.79242,33.19081,IS
79.625984,37.977802,IS
80.055786,40.09381,IS
79.34752,42.023933,IS
79.27076,36.800087,IS
-33.232082,-83.58245,IS
-32.788826,-83.72449,IS
101.077286,7.3585253,IS
100.995056,9.21547,IS
106.06878,10.217293,IS
106.34239,10.094307,IS
102.33908,10.668722,IS
102.56607,10.810448,IS
87.01063,15.766364,IS
84.4796,16.658222,IS
7.299489,92.1916,IS
8.061116,97.990456,IS
3.6325865,92.563,IS
9.117583,99.987854,IS
7.418829,92.77348,IS
8.037919,92.3287,IS
6.0463533,94.107376,IS
9.3648405,102.028885,IS
35.062798,-93.00599,IS
8.581993,101.0245,IS
10.579636,94.256744,IS
10.122529,102.17177,IS
17.10727,63.47031,IS
17.264082,63.025646,IS
23.556334,60.116627,IS
23.810265,59.928852,IS
16.83078,62.94936,IS
23.81131,59.945168,IS
16.501453,61.13979,IS
23.824894,60.019318,IS
23.49556,60.162643,IS
23.843182,59.99716,IS
23.986368,60.139645,IS
23.817474,59.959366,IS
23.903795,59.86621,IS
-25.47309,-94.847435,IS
74.081154,74.33528,IS
-8.083328,104.6772,IS
-7.2565484,90.93059,IS
-9.371354,95.35511,IS
-6.336604,91.83375,IS
-10.109425,102.30443,IS
-11.862587,102.88059,IS
-7.9286137,95.444435,IS
-10.924195,93.51361,IS
-8.082841,96.331764,IS
-4.227539,89.88525,IS
-6.461845,95.18942,IS
84.47644,69.63,IS
94.30925,26.07145,IS
84.67817,68.62598,IS
85.958145,27.165977,IS
74.19319,33.875446,IS
72.60433,34.02482,IS
91.634705,51.058525,IS
50.440414,-89.05825,IS
-12.617827,96.71036,IS
74.362816,72.45718,IS
89.65968,52.2367,IS
74.43662,32.300964,IS
74.828384,30.869862,IS
93.93051,27.873718,IS
94.99808,27.6081,IS
85.48798,28.693111,IS
35.697277,54.43194,IS
35.620476,52.781048,IS
35.782272,53.92473,IS
35.710217,52.84199,IS
36.974125,54.334423,IS
35.685738,53.668964,IS
17.865526,95.5384,IS
17.79068,96.774254,IS
15.913897,94.630264,IS
98.08745,23.95536,IS
73.038,32.15806,IS
96.58421,30.009388,IS
95.54188,30.61543,IS
83.46752,63.80507,IS
83.46516,63.79811,IS
39.16397,-90.787704,IS
78.27647,38.10084,IS
81.852036,40.57871,IS
82.13251,39.19958,IS
84.002846,33.873146,IS
77.869415,38.92365,IS
55.159958,-44.726795,IS
-82.301414,-57.37349,IS
88.73939,45.260883,IS
-76.80844,55.1338,IS
100.67206,-19.510347,IS
26.516619,22.656916,IS
-7.02952,-90.542145,IS
-4.433196,-85.51799,IS
-5.131014,-89.20322,IS
