TSNE1,TSNE2,set_label
800.663,-311.48993,IS
899.2748,156.18285,IS
537.9828,-5.0983815,RS
899.2748,156.18285,RS
240.23244,287.49097,Molpher
240.23244,287.49097,Molpher
240.23244,287.49097,Molpher
240.23244,287.49097,Molpher
240.23244,287.49097,Molpher
240.23244,287.49097,Molpher
240.23244,287.49097,Molpher
240.23244,287.49097,REINVENT
240.23244,287.49097,REINVENT
800.663,-311.48993,REINVENT
373.19894,-748.35034,REINVENT
240.23244,287.49097,REINVENT
240.23244,287.49097,REINVENT
373.19894,-748.35034,REINVENT
240.23244,287.49097,REINVENT
240.23244,287.49097,addcarbon
240.23244,287.49097,addcarbon
240.23244,287.49097,addcarbon
240.23244,287.49097,addcarbon
240.23244,287.49097,addcarbon
240.23244,287.49097,addcarbon
240.23244,287.49097,addcarbon
240.23244,287.49097,addcarbon
240.23244,287.49097,addcarbon
240.23244,287.49097,DrugEx_GT_e=0.1
240.23244,287.49097,DrugEx_GT_e=0.1
240.23244,287.49097,DrugEx_GT_e=0.1
280.32794,-166.19218,DrugEx_GT_e=0.1
280.32794,-166.19218,DrugEx_GT_e=0.1
240.23244,287.49097,DrugEx_GT_e=0.1
280.32794,-166.19218,DrugEx_GT_e=0.1
280.32794,-166.19218,DrugEx_GT_e=0.1
-131.22256,548.664,DrugEx_GT_e=0.1
264.72522,738.0575,DrugEx_GT_e=0.1
-291.37775,-39.285057,DrugEx_GT_e=0.1
-291.37775,-39.285057,DrugEx_GT_e=0.1
-291.37775,-39.285057,DrugEx_GT_e=0.1
-291.37775,-39.285057,DrugEx_GT_e=0.1
-291.37775,-39.285057,DrugEx_GT_e=0.1
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_GT_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
373.19894,-748.35034,DrugEx_RNN_e=0.1
373.19894,-748.35034,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.1
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
373.19894,-748.35034,DrugEx_RNN_e=0.6
373.19894,-748.35034,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
-291.37775,-39.285057,DrugEx_RNN_e=0.6
