TSNE1,TSNE2,label
15.453924,39.442448,DrugEx_GT_e=0.1
-39.827103,0.2290071,DrugEx_GT_e=0.1
-30.68109,8.202886,DrugEx_GT_e=0.1
-19.685978,-39.10526,DrugEx_GT_e=0.1
-68.59484,-18.327919,DrugEx_GT_e=0.1
39.566723,21.552893,DrugEx_GT_e=0.1
15.681453,48.655807,DrugEx_GT_e=0.1
20.630478,-26.545143,DrugEx_GT_e=0.1
-84.33114,19.35995,DrugEx_GT_e=0.1
47.26881,7.072357,DrugEx_GT_e=0.1
-60.518627,14.677099,DrugEx_GT_e=0.1
0.6073292,23.727629,DrugEx_GT_e=0.1
-76.86694,25.887293,DrugEx_GT_e=0.1
22.116837,-39.416805,DrugEx_GT_e=0.1
7.744426,3.5915525,DrugEx_GT_e=0.1
22.387857,-35.45429,DrugEx_GT_e=0.1
10.521023,-28.498032,DrugEx_GT_e=0.1
27.52924,-19.476648,DrugEx_GT_e=0.1
45.25815,-15.822519,DrugEx_GT_e=0.1
19.915493,-31.345654,DrugEx_GT_e=0.1
27.441584,-12.813362,DrugEx_GT_e=0.1
40.002098,-57.04191,DrugEx_GT_e=0.1
-89.86593,-18.290333,DrugEx_GT_e=0.1
65.57715,-9.32922,DrugEx_GT_e=0.1
-18.668213,-27.509869,DrugEx_GT_e=0.1
8.557594,-34.02361,DrugEx_GT_e=0.1
40.947727,56.05792,DrugEx_GT_e=0.1
-32.50357,31.264593,DrugEx_GT_e=0.1
18.572613,-46.217403,DrugEx_GT_e=0.1
22.75342,-60.516956,DrugEx_GT_e=0.1
5.0296335,-68.370705,DrugEx_GT_e=0.1
34.577366,-37.772556,DrugEx_GT_e=0.1
-56.181316,-29.534504,DrugEx_GT_e=0.1
-27.533888,-66.62597,DrugEx_GT_e=0.1
14.200654,7.987468,DrugEx_GT_e=0.1
7.736007,-23.814524,DrugEx_GT_e=0.1
14.892426,55.237835,DrugEx_GT_e=0.1
-58.645184,-39.671165,DrugEx_GT_e=0.1
-5.068971,-23.692184,DrugEx_GT_e=0.1
-74.213234,42.5064,DrugEx_GT_e=0.1
-44.780167,16.133144,DrugEx_GT_e=0.1
-13.180222,4.394855,DrugEx_GT_e=0.1
-56.35915,-39.84822,DrugEx_GT_e=0.1
53.22558,15.293931,DrugEx_GT_e=0.1
-3.299408,51.827946,DrugEx_GT_e=0.1
-41.747704,28.981726,DrugEx_GT_e=0.1
0.46950126,-33.179287,DrugEx_GT_e=0.1
-31.85857,-30.659073,DrugEx_GT_e=0.1
-13.130387,30.701475,DrugEx_GT_e=0.1
-71.83499,0.33549264,DrugEx_GT_e=0.1
-37.58585,12.444541,DrugEx_GT_e=0.1
51.160633,33.188187,DrugEx_GT_e=0.1
3.7712724,46.293015,DrugEx_GT_e=0.1
-83.1013,-17.04782,DrugEx_GT_e=0.1
44.89044,31.21516,DrugEx_GT_e=0.1
26.909887,-12.220709,DrugEx_GT_e=0.1
-21.576637,55.124798,DrugEx_GT_e=0.1
-83.251785,24.768896,DrugEx_GT_e=0.1
22.055704,55.62352,DrugEx_GT_e=0.1
-19.261541,-4.0928645,DrugEx_GT_e=0.1
-85.60535,26.146017,DrugEx_GT_e=0.1
-48.124233,16.031109,DrugEx_GT_e=0.1
-6.423345,-40.150867,DrugEx_GT_e=0.1
-4.80005,-32.406628,DrugEx_GT_e=0.1
26.729778,38.913616,DrugEx_GT_e=0.1
-30.78901,10.633351,DrugEx_GT_e=0.1
-13.576817,-42.673153,DrugEx_GT_e=0.1
68.861984,-22.295527,DrugEx_GT_e=0.1
45.345078,1.5260658,DrugEx_GT_e=0.1
66.663826,-20.195135,DrugEx_GT_e=0.1
65.2891,-11.162031,DrugEx_GT_e=0.1
11.479426,-5.321635,DrugEx_GT_e=0.1
37.620773,11.574909,DrugEx_GT_e=0.1
-35.082043,72.8635,DrugEx_GT_e=0.1
3.0977817,25.127218,DrugEx_GT_e=0.1
4.4886785,-36.38722,DrugEx_GT_e=0.1
68.8867,-41.727665,DrugEx_GT_e=0.1
-45.075497,28.667372,DrugEx_GT_e=0.1
-79.8143,15.851752,DrugEx_GT_e=0.1
52.366425,7.0933485,DrugEx_GT_e=0.1
19.623415,-19.229242,DrugEx_GT_e=0.1
58.647095,-14.16658,DrugEx_GT_e=0.1
-23.115685,77.26162,DrugEx_GT_e=0.1
38.144466,-60.87082,DrugEx_GT_e=0.1
32.961975,51.60491,DrugEx_GT_e=0.1
-13.312109,19.161846,DrugEx_GT_e=0.1
-78.0378,-3.0974534,DrugEx_GT_e=0.1
-14.42838,-0.6445614,DrugEx_GT_e=0.1
80.882904,1.4596478,DrugEx_GT_e=0.1
40.39473,-67.51211,DrugEx_GT_e=0.1
38.144257,-32.20828,DrugEx_GT_e=0.1
-28.44298,15.997268,DrugEx_GT_e=0.1
30.580187,-13.970034,DrugEx_GT_e=0.1
-62.271988,61.47224,DrugEx_GT_e=0.1
-38.684242,-19.354218,DrugEx_GT_e=0.1
25.734058,3.0872507,DrugEx_GT_e=0.1
-14.437502,-26.696426,DrugEx_GT_e=0.1
54.897507,-41.193077,DrugEx_GT_e=0.1
-61.001774,-2.8827355,DrugEx_GT_e=0.1
41.18958,-64.12927,DrugEx_GT_e=0.1
-5.020179,56.894566,DrugEx_GT_e=0.1
41.049187,-62.715862,DrugEx_GT_e=0.1
53.873085,53.687397,DrugEx_GT_e=0.1
57.761635,32.503395,DrugEx_GT_e=0.1
-16.361399,46.338432,DrugEx_GT_e=0.1
-23.639696,36.79296,DrugEx_GT_e=0.1
53.768013,26.341372,DrugEx_GT_e=0.1
-25.26778,-7.141649,DrugEx_GT_e=0.1
-38.57721,23.53304,DrugEx_GT_e=0.1
37.245888,58.518158,DrugEx_GT_e=0.1
52.12777,-17.8157,DrugEx_GT_e=0.1
-27.628881,48.090565,DrugEx_GT_e=0.1
-54.800083,9.821536,DrugEx_GT_e=0.1
-23.7146,35.723274,DrugEx_GT_e=0.1
-17.566824,10.79003,DrugEx_GT_e=0.1
21.600157,-65.101074,DrugEx_GT_e=0.1
-60.987045,-2.809806,DrugEx_GT_e=0.1
55.884487,5.305055,DrugEx_GT_e=0.1
25.562494,-42.581505,DrugEx_GT_e=0.1
0.3338963,-48.159454,DrugEx_GT_e=0.1
-40.11034,-10.640407,DrugEx_GT_e=0.1
-4.069242,15.968709,DrugEx_GT_e=0.1
-82.51314,-13.916353,DrugEx_GT_e=0.1
-50.667393,-33.52153,DrugEx_GT_e=0.1
-17.119736,70.596924,DrugEx_GT_e=0.1
-24.614204,50.733555,DrugEx_GT_e=0.1
-3.3042202,-28.410566,DrugEx_GT_e=0.1
-4.2788525,-59.752697,DrugEx_GT_e=0.1
16.526775,-9.724375,DrugEx_GT_e=0.1
64.443504,-23.066853,DrugEx_GT_e=0.1
10.793297,1.3704038,DrugEx_GT_e=0.1
-41.029755,64.486565,DrugEx_GT_e=0.1
-85.399124,-26.933016,DrugEx_GT_e=0.1
-30.851328,15.126669,DrugEx_GT_e=0.1
-10.199637,52.64947,DrugEx_GT_e=0.1
45.43549,-53.179543,DrugEx_GT_e=0.1
-0.7131071,-31.34433,DrugEx_GT_e=0.1
-8.855199,-71.09843,DrugEx_GT_e=0.1
-55.422134,-2.241081,DrugEx_GT_e=0.1
-38.057877,-11.331645,DrugEx_GT_e=0.1
-42.06796,18.341951,DrugEx_GT_e=0.1
-37.917637,-44.377483,DrugEx_GT_e=0.1
-21.621128,54.848774,DrugEx_GT_e=0.1
48.512047,35.220154,DrugEx_GT_e=0.1
74.13908,7.6031346,DrugEx_GT_e=0.1
-78.97326,23.067614,DrugEx_GT_e=0.1
-37.519688,41.18485,DrugEx_GT_e=0.1
-18.019426,57.760036,DrugEx_GT_e=0.1
45.014935,-18.672644,DrugEx_GT_e=0.1
28.487247,22.684689,DrugEx_GT_e=0.1
11.791663,-2.0932693,DrugEx_GT_e=0.1
12.004035,14.75945,DrugEx_GT_e=0.1
28.735718,-35.139606,DrugEx_GT_e=0.1
34.464687,-48.547806,DrugEx_GT_e=0.1
-43.98685,22.631296,DrugEx_GT_e=0.1
-80.51028,26.136229,DrugEx_GT_e=0.1
-76.31326,-10.894847,DrugEx_GT_e=0.1
9.387911,0.2517037,DrugEx_GT_e=0.1
54.684605,-17.896019,DrugEx_GT_e=0.1
-56.630787,48.796215,DrugEx_GT_e=0.1
-48.439484,19.401554,DrugEx_GT_e=0.1
14.4483,-8.520797,DrugEx_GT_e=0.1
-7.3792567,-70.96546,DrugEx_GT_e=0.1
59.18982,42.657337,DrugEx_GT_e=0.1
4.286448,4.166454,DrugEx_GT_e=0.1
38.776203,-1.0233907,DrugEx_GT_e=0.1
12.787986,-20.504364,DrugEx_GT_e=0.1
1.3177844,-25.990213,DrugEx_GT_e=0.1
-1.8993473,-37.604626,DrugEx_GT_e=0.1
9.575777,-25.476582,DrugEx_GT_e=0.1
40.873764,-38.493687,DrugEx_GT_e=0.1
-29.911028,-32.276833,DrugEx_GT_e=0.1
44.137184,-58.872917,DrugEx_GT_e=0.1
69.99015,23.893919,DrugEx_GT_e=0.1
-1.1888866,-38.98024,DrugEx_GT_e=0.1
45.55834,-59.35702,DrugEx_GT_e=0.1
66.568954,-25.67081,DrugEx_GT_e=0.1
-48.360836,-62.295876,DrugEx_GT_e=0.1
79.68772,9.2322035,DrugEx_GT_e=0.1
36.176464,-20.569101,DrugEx_GT_e=0.1
24.176527,-21.649036,DrugEx_GT_e=0.1
-50.73107,-33.975693,DrugEx_GT_e=0.1
35.237724,64.247116,DrugEx_GT_e=0.1
26.929224,38.889633,DrugEx_GT_e=0.1
27.463896,21.910124,DrugEx_GT_e=0.1
-17.984528,10.839557,DrugEx_GT_e=0.1
44.826683,-21.359919,DrugEx_GT_e=0.1
46.035423,6.6220975,DrugEx_GT_e=0.1
12.339593,74.4589,DrugEx_GT_e=0.1
-54.574158,-24.300556,DrugEx_GT_e=0.1
36.42427,38.53404,DrugEx_GT_e=0.1
61.381386,33.382183,DrugEx_GT_e=0.1
3.893983,-31.547497,DrugEx_GT_e=0.1
-40.565342,6.623542,DrugEx_GT_e=0.1
1.0564394,-1.2527553,DrugEx_GT_e=0.1
-55.74957,6.3342323,DrugEx_GT_e=0.1
-42.535877,-11.597224,DrugEx_GT_e=0.1
50.10341,-13.891378,DrugEx_GT_e=0.1
47.824173,47.334373,DrugEx_GT_e=0.1
34.744846,-29.505,DrugEx_GT_e=0.1
3.3208535,-58.31634,DrugEx_GT_e=0.1
-50.041187,16.894648,DrugEx_GT_e=0.1
-8.849654,17.889206,DrugEx_GT_e=0.1
-62.67449,24.333038,DrugEx_GT_e=0.1
-77.82738,-42.978252,DrugEx_GT_e=0.1
33.09419,62.52876,DrugEx_GT_e=0.1
7.537955,-13.412199,DrugEx_GT_e=0.1
40.186172,-62.313118,DrugEx_GT_e=0.1
-44.25502,9.668481,DrugEx_GT_e=0.1
37.494404,54.067135,DrugEx_GT_e=0.1
37.46863,-5.1060963,DrugEx_GT_e=0.1
14.319082,-12.282891,DrugEx_GT_e=0.1
0.9075517,29.218258,DrugEx_GT_e=0.1
62.817028,-28.452553,DrugEx_GT_e=0.1
-48.619415,-3.681491,DrugEx_GT_e=0.1
-40.022247,-43.279705,DrugEx_GT_e=0.1
14.828215,-63.16237,DrugEx_GT_e=0.1
11.903274,1.6422181,DrugEx_GT_e=0.1
-19.99537,-39.833893,DrugEx_GT_e=0.1
32.213123,46.271156,DrugEx_GT_e=0.1
64.58793,-9.127891,DrugEx_GT_e=0.1
-77.06944,-22.24481,DrugEx_GT_e=0.1
75.908775,-15.550562,DrugEx_GT_e=0.1
-27.012835,-67.634125,DrugEx_GT_e=0.1
1.7169875,35.689228,DrugEx_GT_e=0.1
7.8975105,4.0184026,DrugEx_GT_e=0.1
16.94695,3.044304,DrugEx_GT_e=0.1
-49.033474,27.119362,DrugEx_GT_e=0.1
25.545412,-24.132715,DrugEx_GT_e=0.1
-28.235937,54.406326,DrugEx_GT_e=0.1
-77.82064,-44.255844,DrugEx_GT_e=0.1
9.266907,45.594482,DrugEx_GT_e=0.1
11.946044,3.2743213,DrugEx_GT_e=0.1
83.09628,0.13900752,DrugEx_GT_e=0.1
-45.20237,4.532817,DrugEx_GT_e=0.1
54.275032,53.76404,DrugEx_GT_e=0.1
-46.197563,-64.146164,DrugEx_GT_e=0.1
51.400658,-38.759907,DrugEx_GT_e=0.1
-2.1515336,16.520338,DrugEx_GT_e=0.1
29.732449,5.9347105,DrugEx_GT_e=0.1
21.070486,-67.01661,DrugEx_GT_e=0.1
60.59783,35.378574,DrugEx_GT_e=0.1
-25.750095,-35.313374,DrugEx_GT_e=0.1
-39.446808,45.57288,DrugEx_GT_e=0.1
20.665041,-65.832306,DrugEx_GT_e=0.1
-21.776657,10.063862,DrugEx_GT_e=0.1
16.572485,53.0417,DrugEx_GT_e=0.1
22.427858,11.839321,DrugEx_GT_e=0.1
-26.10454,-17.09051,DrugEx_GT_e=0.1
51.367855,9.345221,DrugEx_GT_e=0.1
15.20129,42.858192,DrugEx_GT_e=0.1
-53.474045,72.35248,DrugEx_GT_e=0.1
62.774853,24.505575,DrugEx_GT_e=0.1
51.295734,9.46699,DrugEx_GT_e=0.1
-17.086803,-27.723694,DrugEx_GT_e=0.1
-62.951298,37.16307,DrugEx_GT_e=0.1
-72.50853,38.55257,DrugEx_GT_e=0.1
-47.52927,-19.948252,DrugEx_GT_e=0.1
-61.143543,-11.736432,DrugEx_GT_e=0.1
11.060896,53.42942,DrugEx_GT_e=0.1
22.457998,17.699575,DrugEx_GT_e=0.1
-59.820835,-35.481422,DrugEx_GT_e=0.1
-23.981697,17.281998,DrugEx_GT_e=0.1
-0.7311478,3.462617,DrugEx_GT_e=0.1
82.810074,-14.008187,DrugEx_GT_e=0.1
4.7525673,34.12017,DrugEx_GT_e=0.1
35.047688,-60.226448,DrugEx_GT_e=0.1
46.37384,65.51286,DrugEx_GT_e=0.1
37.45525,-3.6973858,DrugEx_GT_e=0.1
-31.113188,-5.8772206,DrugEx_GT_e=0.1
-72.44826,11.015928,DrugEx_GT_e=0.1
-86.084236,-14.877751,DrugEx_GT_e=0.1
-88.034645,11.875991,DrugEx_GT_e=0.1
8.764653,-26.096302,DrugEx_GT_e=0.1
41.78653,-59.057808,DrugEx_GT_e=0.1
34.711655,35.93636,DrugEx_GT_e=0.1
27.190798,-41.140472,DrugEx_GT_e=0.1
-49.260063,9.6200695,DrugEx_GT_e=0.1
-8.26279,76.966225,DrugEx_GT_e=0.1
-21.671087,75.72393,DrugEx_GT_e=0.1
81.18673,0.3622851,DrugEx_GT_e=0.1
62.873222,-1.9285593,DrugEx_GT_e=0.1
38.15677,61.71315,DrugEx_GT_e=0.1
40.06422,-63.30352,DrugEx_GT_e=0.1
14.483574,-42.466602,DrugEx_GT_e=0.1
-31.620913,-58.546448,DrugEx_GT_e=0.1
-16.884766,-51.67936,DrugEx_GT_e=0.1
-62.68198,10.326715,DrugEx_GT_e=0.1
77.47966,-23.753435,DrugEx_GT_e=0.1
77.32073,29.604084,DrugEx_GT_e=0.1
50.443333,-4.6913595,DrugEx_GT_e=0.1
54.439316,53.391464,DrugEx_GT_e=0.1
-37.008274,16.835787,DrugEx_GT_e=0.1
43.740833,17.265194,DrugEx_GT_e=0.1
54.195274,-10.525586,DrugEx_GT_e=0.1
-44.628384,10.723935,DrugEx_GT_e=0.1
22.060417,-8.634331,DrugEx_GT_e=0.1
26.069057,24.61947,DrugEx_GT_e=0.1
43.720127,63.966663,DrugEx_GT_e=0.1
-31.055834,14.892602,DrugEx_GT_e=0.1
-0.6807558,-0.6600125,DrugEx_GT_e=0.1
-51.941345,-40.639816,DrugEx_GT_e=0.1
56.060844,-18.790672,DrugEx_GT_e=0.1
-17.563152,80.50128,DrugEx_GT_e=0.1
-27.864437,53.702103,DrugEx_GT_e=0.1
18.588884,-1.1574596,DrugEx_GT_e=0.1
17.518879,-43.5735,DrugEx_GT_e=0.1
22.49094,17.485226,DrugEx_GT_e=0.1
52.266724,-34.94739,DrugEx_GT_e=0.1
-27.832178,46.277977,DrugEx_GT_e=0.1
18.537638,7.63056,DrugEx_GT_e=0.1
2.6867504,54.578426,DrugEx_GT_e=0.1
-9.94406,86.502365,DrugEx_GT_e=0.1
3.197306,-26.535696,DrugEx_GT_e=0.1
49.601418,62.642,DrugEx_GT_e=0.1
53.286507,54.47535,DrugEx_GT_e=0.1
66.44652,-23.493717,DrugEx_GT_e=0.1
29.882008,-17.189762,DrugEx_GT_e=0.1
27.984934,-59.43832,DrugEx_GT_e=0.1
35.39929,67.956795,DrugEx_GT_e=0.1
45.504036,7.2939215,DrugEx_GT_e=0.1
57.674347,9.614563,DrugEx_GT_e=0.1
-57.1851,-38.900482,DrugEx_GT_e=0.1
4.804509,-68.50159,DrugEx_GT_e=0.1
-36.566647,-43.17913,DrugEx_GT_e=0.1
-57.364246,29.172464,DrugEx_GT_e=0.1
9.643348,-26.7091,DrugEx_GT_e=0.1
79.612816,1.5746728,DrugEx_GT_e=0.1
23.524775,-27.696648,DrugEx_GT_e=0.1
-79.427956,5.632244,DrugEx_GT_e=0.1
4.99408,-71.80824,DrugEx_GT_e=0.1
14.119621,12.591365,DrugEx_GT_e=0.1
42.00728,43.29928,DrugEx_GT_e=0.1
8.187246,33.542633,DrugEx_GT_e=0.1
-5.445429,35.587433,DrugEx_GT_e=0.1
37.204636,16.518135,DrugEx_GT_e=0.1
-60.054443,19.30768,DrugEx_GT_e=0.1
-43.016132,34.59725,DrugEx_GT_e=0.1
-17.421747,78.294,DrugEx_GT_e=0.1
31.115515,2.534158,DrugEx_GT_e=0.1
-31.234709,-72.84448,DrugEx_GT_e=0.1
-55.33148,28.046936,DrugEx_GT_e=0.1
25.735918,-22.819063,DrugEx_GT_e=0.1
4.7405167,-49.784733,DrugEx_GT_e=0.1
58.918686,-25.488316,DrugEx_GT_e=0.1
-2.222872,20.964409,DrugEx_GT_e=0.1
27.872534,-62.88652,DrugEx_GT_e=0.1
-13.890385,-34.480507,DrugEx_GT_e=0.1
42.183582,37.241505,DrugEx_GT_e=0.1
7.049579,-12.723001,DrugEx_GT_e=0.1
-19.751896,-46.62105,DrugEx_GT_e=0.1
-62.476585,36.535824,DrugEx_GT_e=0.1
-14.343239,-33.505558,DrugEx_GT_e=0.1
83.382645,-0.5451924,DrugEx_GT_e=0.1
3.9559975,26.0329,DrugEx_GT_e=0.1
-3.1094184,86.21591,DrugEx_GT_e=0.1
-18.888973,-33.799587,DrugEx_GT_e=0.1
-5.0497437,44.279594,DrugEx_GT_e=0.1
2.3539755,21.713953,DrugEx_GT_e=0.1
-11.33982,24.645432,DrugEx_GT_e=0.1
46.072025,-11.731457,DrugEx_GT_e=0.1
-81.1852,3.0328348,DrugEx_GT_e=0.1
47.786335,-4.7854786,DrugEx_GT_e=0.1
0.6313388,-45.458626,DrugEx_GT_e=0.1
-54.39663,-1.820551,DrugEx_GT_e=0.1
-82.235825,6.9119673,DrugEx_GT_e=0.1
-42.850418,8.865561,DrugEx_GT_e=0.1
52.52652,28.94557,DrugEx_GT_e=0.1
-58.55095,9.60505,DrugEx_GT_e=0.1
49.99075,-2.7135854,DrugEx_GT_e=0.1
14.092584,-12.418599,DrugEx_GT_e=0.1
-59.881733,-32.126637,DrugEx_GT_e=0.1
50.027477,-30.619053,DrugEx_GT_e=0.1
0.90491563,-33.968033,DrugEx_GT_e=0.1
21.945408,61.94187,DrugEx_GT_e=0.1
22.746187,55.652145,DrugEx_GT_e=0.1
-82.14013,-16.10712,DrugEx_GT_e=0.1
-43.660267,9.720241,DrugEx_GT_e=0.1
-1.0210774,64.24352,DrugEx_GT_e=0.1
-3.389177,-35.715412,DrugEx_GT_e=0.1
-20.458693,-67.765526,DrugEx_GT_e=0.1
62.311188,-21.33628,DrugEx_GT_e=0.1
10.062296,45.8141,DrugEx_GT_e=0.1
0.5813925,-0.7728409,DrugEx_GT_e=0.1
-1.6451763,11.006072,DrugEx_GT_e=0.1
-21.766592,47.595295,DrugEx_GT_e=0.1
47.069942,-10.794611,DrugEx_GT_e=0.1
-3.9556105,12.026309,DrugEx_GT_e=0.1
9.6509285,6.8643904,DrugEx_GT_e=0.1
-47.794796,5.264244,DrugEx_GT_e=0.1
42.838947,-8.647316,DrugEx_GT_e=0.1
-89.46291,2.372828,DrugEx_GT_e=0.1
36.408447,-20.193575,DrugEx_GT_e=0.1
16.382452,-15.328182,DrugEx_GT_e=0.1
-56.510677,6.718083,DrugEx_GT_e=0.1
53.05282,-28.753626,DrugEx_GT_e=0.1
61.91074,-51.101467,DrugEx_GT_e=0.1
8.232448,57.781837,DrugEx_GT_e=0.1
-23.001661,-30.911057,DrugEx_GT_e=0.1
62.58801,22.685247,DrugEx_GT_e=0.1
-51.97481,62.185394,DrugEx_GT_e=0.1
14.767954,16.03687,DrugEx_GT_e=0.1
-45.584995,-63.730972,DrugEx_GT_e=0.1
47.755962,59.402397,DrugEx_GT_e=0.1
44.81554,24.071316,DrugEx_GT_e=0.1
4.098192,44.004627,DrugEx_GT_e=0.1
45.712173,-3.9266798,DrugEx_GT_e=0.1
65.67393,-42.972065,DrugEx_GT_e=0.1
-20.601297,-44.313416,DrugEx_GT_e=0.1
-39.09267,43.936344,DrugEx_GT_e=0.1
36.63275,-34.410217,DrugEx_GT_e=0.1
26.462906,-34.502647,DrugEx_GT_e=0.1
11.220204,29.437868,DrugEx_GT_e=0.1
-89.53798,2.4290743,DrugEx_GT_e=0.1
-32.925476,-3.9464037,DrugEx_GT_e=0.1
-17.65355,-46.790718,DrugEx_GT_e=0.1
-33.804405,-54.68936,DrugEx_GT_e=0.1
16.49233,-16.486492,DrugEx_GT_e=0.1
39.16387,-41.73747,DrugEx_GT_e=0.1
-25.851616,-5.8298492,DrugEx_GT_e=0.1
3.3203182,3.6975648,DrugEx_GT_e=0.1
25.377773,-24.344753,DrugEx_GT_e=0.1
9.193313,24.751396,DrugEx_GT_e=0.1
-31.016537,-31.005667,DrugEx_GT_e=0.1
38.02762,4.4887385,DrugEx_GT_e=0.1
39.416855,8.224733,DrugEx_GT_e=0.1
-99.60055,11.368268,DrugEx_GT_e=0.1
-53.608974,51.32259,DrugEx_GT_e=0.1
-48.031506,44.52648,DrugEx_GT_e=0.1
31.52631,-10.057404,DrugEx_GT_e=0.1
38.9741,-62.510826,DrugEx_GT_e=0.1
27.492949,-24.239265,DrugEx_GT_e=0.1
-46.827633,-8.972213,DrugEx_GT_e=0.1
42.288887,43.591473,DrugEx_GT_e=0.1
-56.522945,44.69214,DrugEx_GT_e=0.1
-64.09194,12.322299,DrugEx_GT_e=0.1
-26.161903,-17.125349,DrugEx_GT_e=0.1
16.318235,-7.14055,DrugEx_GT_e=0.1
-1.5598006,41.22029,DrugEx_GT_e=0.1
66.89899,-45.090424,DrugEx_GT_e=0.1
29.56981,9.041837,DrugEx_GT_e=0.1
-60.402573,-34.71081,DrugEx_GT_e=0.1
28.680656,22.919706,DrugEx_GT_e=0.1
-29.070787,-32.279285,DrugEx_GT_e=0.1
35.335484,-32.560432,DrugEx_GT_e=0.1
7.71712,-13.771797,DrugEx_GT_e=0.1
-3.3016567,-0.6394422,DrugEx_GT_e=0.1
-23.30331,-54.036087,DrugEx_GT_e=0.1
-37.792904,9.309054,DrugEx_GT_e=0.1
37.02515,-41.40353,DrugEx_GT_e=0.1
43.71609,-26.260517,DrugEx_GT_e=0.1
37.692703,-63.069565,DrugEx_GT_e=0.1
12.786289,32.82827,DrugEx_GT_e=0.1
-12.151241,53.30481,DrugEx_GT_e=0.1
-64.48936,8.1007395,DrugEx_GT_e=0.1
-18.834469,-47.939907,DrugEx_GT_e=0.1
-78.52537,24.720285,DrugEx_GT_e=0.1
-0.4552391,-54.007404,DrugEx_GT_e=0.1
-49.9638,10.135502,DrugEx_GT_e=0.1
60.564312,-46.664925,DrugEx_GT_e=0.1
9.519741,22.61293,DrugEx_GT_e=0.1
-29.500986,43.582752,DrugEx_GT_e=0.1
32.85319,-52.356136,DrugEx_GT_e=0.1
-56.323025,-24.222733,DrugEx_GT_e=0.1
-18.318874,-36.274868,DrugEx_GT_e=0.1
-40.212135,-22.518208,DrugEx_GT_e=0.1
-56.33376,-24.204235,DrugEx_GT_e=0.1
-38.38698,-20.74325,DrugEx_GT_e=0.1
-61.972214,24.529745,DrugEx_GT_e=0.1
26.96865,16.729229,DrugEx_GT_e=0.1
13.2974415,76.93444,DrugEx_GT_e=0.1
-4.339144,-59.64306,DrugEx_GT_e=0.1
1.7988768,15.322396,DrugEx_GT_e=0.1
47.309113,-10.557364,DrugEx_GT_e=0.1
68.86492,28.804298,DrugEx_GT_e=0.1
63.16797,26.448208,DrugEx_GT_e=0.1
-32.779804,4.4555345,DrugEx_GT_e=0.1
71.215805,22.83778,DrugEx_GT_e=0.1
0.501397,46.26287,DrugEx_GT_e=0.1
29.271599,13.026396,DrugEx_GT_e=0.1
-4.3712406,-16.148739,DrugEx_GT_e=0.1
19.456781,-54.060555,DrugEx_GT_e=0.1
-86.82542,22.206905,DrugEx_GT_e=0.1
30.704067,40.094105,DrugEx_GT_e=0.1
-7.605421,-70.11033,DrugEx_GT_e=0.1
37.18371,-64.72783,DrugEx_GT_e=0.1
-86.73581,30.645418,DrugEx_GT_e=0.1
60.253044,-28.084747,DrugEx_GT_e=0.1
-46.036045,2.9277015,DrugEx_GT_e=0.1
-34.402344,24.850637,DrugEx_GT_e=0.1
-21.878237,77.9104,DrugEx_GT_e=0.1
-48.099174,-65.617935,DrugEx_GT_e=0.1
-45.56968,0.9123961,DrugEx_GT_e=0.1
-46.445133,21.033026,DrugEx_GT_e=0.1
-4.174335,-59.399612,DrugEx_GT_e=0.1
-36.713455,26.198538,DrugEx_GT_e=0.1
50.085632,-4.6026444,DrugEx_GT_e=0.1
-54.825916,0.6698172,DrugEx_GT_e=0.1
35.84215,-58.321926,DrugEx_GT_e=0.1
4.286322,6.3404465,DrugEx_GT_e=0.1
44.01436,9.1915045,DrugEx_GT_e=0.1
40.861027,-67.431564,DrugEx_GT_e=0.1
2.9549427,-29.408306,DrugEx_GT_e=0.1
10.581728,-13.303469,DrugEx_GT_e=0.1
-45.80544,-61.960243,DrugEx_GT_e=0.1
5.3178697,-0.33814114,DrugEx_GT_e=0.1
67.28535,-24.494335,DrugEx_GT_e=0.1
-62.268654,-36.47568,DrugEx_GT_e=0.1
-24.19595,-17.518446,DrugEx_GT_e=0.1
2.8508003,47.28509,DrugEx_GT_e=0.1
0.65498364,-26.120779,DrugEx_GT_e=0.1
4.207532,-4.4241624,DrugEx_GT_e=0.1
61.948856,-28.233582,DrugEx_GT_e=0.1
-37.632378,-41.27256,DrugEx_GT_e=0.1
32.21559,-43.651596,DrugEx_GT_e=0.1
-42.604984,18.092173,DrugEx_GT_e=0.1
-56.734936,29.131313,DrugEx_GT_e=0.1
2.5928757,-36.03495,DrugEx_GT_e=0.1
-39.88802,75.46644,DrugEx_GT_e=0.1
57.89756,-18.192015,DrugEx_GT_e=0.1
