TSNE1,TSNE2,label
38.72019,31.642382,DrugEx_RNN_e=0.6
-0.91007876,50.87343,DrugEx_RNN_e=0.6
14.103694,-24.90842,DrugEx_RNN_e=0.6
-53.25002,12.935531,DrugEx_RNN_e=0.6
5.89984,-17.373783,DrugEx_RNN_e=0.6
53.05748,-58.816525,DrugEx_RNN_e=0.6
42.009705,-6.555567,DrugEx_RNN_e=0.6
-11.457213,11.019131,DrugEx_RNN_e=0.6
20.911531,-51.336113,DrugEx_RNN_e=0.6
6.844162,64.935265,DrugEx_RNN_e=0.6
-38.051903,19.963552,DrugEx_RNN_e=0.6
2.2927608,61.19333,DrugEx_RNN_e=0.6
54.917507,32.699966,DrugEx_RNN_e=0.6
-31.898554,10.686915,DrugEx_RNN_e=0.6
-23.3404,14.5359,DrugEx_RNN_e=0.6
-9.6003895,14.2855,DrugEx_RNN_e=0.6
69.73309,-13.170528,DrugEx_RNN_e=0.6
15.428545,34.28009,DrugEx_RNN_e=0.6
-31.758581,1.353969,DrugEx_RNN_e=0.6
17.182304,-24.923159,DrugEx_RNN_e=0.6
4.044748,-48.303543,DrugEx_RNN_e=0.6
-29.788475,43.616436,DrugEx_RNN_e=0.6
17.402435,-11.138741,DrugEx_RNN_e=0.6
17.58341,22.510109,DrugEx_RNN_e=0.6
1.4369332,-38.69681,DrugEx_RNN_e=0.6
7.175037,6.6663575,DrugEx_RNN_e=0.6
-13.000611,74.470795,DrugEx_RNN_e=0.6
-61.713436,-24.410633,DrugEx_RNN_e=0.6
18.077782,24.430475,DrugEx_RNN_e=0.6
-20.912271,-38.510136,DrugEx_RNN_e=0.6
5.9305863,38.953823,DrugEx_RNN_e=0.6
-18.746422,19.132465,DrugEx_RNN_e=0.6
66.03225,51.7538,DrugEx_RNN_e=0.6
55.73159,23.598444,DrugEx_RNN_e=0.6
2.5097024,54.733086,DrugEx_RNN_e=0.6
-44.466717,-43.362637,DrugEx_RNN_e=0.6
-5.463889,-60.677567,DrugEx_RNN_e=0.6
20.729786,8.183227,DrugEx_RNN_e=0.6
-47.363136,0.72962874,DrugEx_RNN_e=0.6
-31.751617,6.3571506,DrugEx_RNN_e=0.6
44.777786,49.15619,DrugEx_RNN_e=0.6
-1.2057276,-43.11817,DrugEx_RNN_e=0.6
69.5229,33.25585,DrugEx_RNN_e=0.6
-3.9492145,13.081529,DrugEx_RNN_e=0.6
14.814023,-35.296543,DrugEx_RNN_e=0.6
-53.66954,-40.61548,DrugEx_RNN_e=0.6
-44.745316,21.535185,DrugEx_RNN_e=0.6
1.1886641,31.778654,DrugEx_RNN_e=0.6
-37.942574,1.4829729,DrugEx_RNN_e=0.6
11.591599,-38.1702,DrugEx_RNN_e=0.6
-28.899944,68.143364,DrugEx_RNN_e=0.6
53.623547,39.014492,DrugEx_RNN_e=0.6
-2.2555757,50.25228,DrugEx_RNN_e=0.6
-14.492379,76.154335,DrugEx_RNN_e=0.6
10.442196,4.1571627,DrugEx_RNN_e=0.6
1.4627457,50.074093,DrugEx_RNN_e=0.6
27.865065,-42.982048,DrugEx_RNN_e=0.6
12.438209,54.515087,DrugEx_RNN_e=0.6
-25.345343,-48.59337,DrugEx_RNN_e=0.6
12.527321,-36.90784,DrugEx_RNN_e=0.6
56.902252,31.541485,DrugEx_RNN_e=0.6
-23.57526,-7.2991085,DrugEx_RNN_e=0.6
1.6734719,38.05116,DrugEx_RNN_e=0.6
-47.723133,8.137089,DrugEx_RNN_e=0.6
-16.186113,-5.9087687,DrugEx_RNN_e=0.6
39.07495,-29.505608,DrugEx_RNN_e=0.6
14.512032,38.64961,DrugEx_RNN_e=0.6
-39.938145,22.222286,DrugEx_RNN_e=0.6
24.520859,-41.801777,DrugEx_RNN_e=0.6
-12.993644,-20.457563,DrugEx_RNN_e=0.6
-7.2969003,-7.4793506,DrugEx_RNN_e=0.6
13.467316,34.416534,DrugEx_RNN_e=0.6
30.337656,7.1487875,DrugEx_RNN_e=0.6
-17.958372,-10.440827,DrugEx_RNN_e=0.6
56.729652,-14.8465,DrugEx_RNN_e=0.6
-5.759848,72.59316,DrugEx_RNN_e=0.6
-0.59763706,51.441364,DrugEx_RNN_e=0.6
-13.843346,-7.1892853,DrugEx_RNN_e=0.6
4.9951077,-78.397095,DrugEx_RNN_e=0.6
7.665651,-47.193214,DrugEx_RNN_e=0.6
-4.4900184,-22.90024,DrugEx_RNN_e=0.6
36.735863,35.88311,DrugEx_RNN_e=0.6
-11.050743,12.432616,DrugEx_RNN_e=0.6
10.983135,25.284666,DrugEx_RNN_e=0.6
-32.554317,-0.6502153,DrugEx_RNN_e=0.6
2.5473244,0.19521606,DrugEx_RNN_e=0.6
-23.15154,26.055866,DrugEx_RNN_e=0.6
48.74626,47.251335,DrugEx_RNN_e=0.6
11.997759,15.670114,DrugEx_RNN_e=0.6
-32.4163,7.416298,DrugEx_RNN_e=0.6
-33.085533,-13.908714,DrugEx_RNN_e=0.6
-27.809214,-35.817677,DrugEx_RNN_e=0.6
83.76686,4.1697545,DrugEx_RNN_e=0.6
33.55444,30.952444,DrugEx_RNN_e=0.6
-11.092552,4.1562595,DrugEx_RNN_e=0.6
-60.930088,-1.4187529,DrugEx_RNN_e=0.6
51.72305,2.8560357,DrugEx_RNN_e=0.6
28.178526,-49.100716,DrugEx_RNN_e=0.6
3.8209832,17.326445,DrugEx_RNN_e=0.6
17.665209,27.37859,DrugEx_RNN_e=0.6
-37.615,-13.127887,DrugEx_RNN_e=0.6
16.427227,7.7237773,DrugEx_RNN_e=0.6
-17.50602,57.467854,DrugEx_RNN_e=0.6
10.471691,39.423424,DrugEx_RNN_e=0.6
54.826912,-58.072826,DrugEx_RNN_e=0.6
-45.055164,8.60066,DrugEx_RNN_e=0.6
-13.918227,-3.4427862,DrugEx_RNN_e=0.6
6.7456393,10.7036085,DrugEx_RNN_e=0.6
73.74823,-12.078475,DrugEx_RNN_e=0.6
28.948816,-15.2880335,DrugEx_RNN_e=0.6
21.67912,-31.936285,DrugEx_RNN_e=0.6
-6.5432386,-51.10061,DrugEx_RNN_e=0.6
