TSNE1,TSNE2,label
1.1236185,-4.6504316,IS
5.94739,10.400821,IS
5.4903746,11.167084,IS
6.0116744,10.58555,IS
5.856743,11.041853,IS
5.409043,11.131798,IS
4.45907,10.098468,IS
4.442014,10.1652975,IS
4.4303703,10.080856,IS
-9.879712,20.052517,IS
-11.72099,19.282024,IS
-11.544541,19.850777,IS
-11.518657,20.076849,IS
-10.987634,21.099157,IS
-11.170163,20.251608,IS
-9.549299,19.892172,IS
-9.700848,20.160456,IS
-11.186027,21.77498,IS
-25.11434,-35.347816,IS
-26.34493,-36.828987,IS
-27.169191,-37.587902,IS
-26.542202,-36.573452,IS
-26.343834,-36.830204,IS
-26.542564,-36.573177,IS
-27.168798,-37.5881,IS
-25.636253,-36.297398,IS
-27.168798,-37.5881,IS
-30.968914,-26.476603,IS
-27.480993,-28.769873,IS
-27.697996,-28.182714,IS
-28.289942,-27.666922,IS
-31.606655,-25.463923,IS
-27.50058,-27.975878,IS
-31.129826,-25.689962,IS
7.658351,9.7096615,IS
-12.450728,15.438636,IS
-11.8078,15.88362,IS
-12.384942,16.05556,IS
-11.851607,15.30988,IS
-24.542,-34.57402,IS
-24.542,-34.57402,IS
-31.484035,-27.36345,IS
-31.65726,-27.558065,IS
35.420315,-7.7343006,IS
34.50384,-7.327097,IS
35.578907,-7.5223618,IS
33.958904,-6.8828316,IS
-36.394142,-33.087715,IS
-35.403454,-33.689213,IS
-26.752369,-0.33647072,IS
-38.598995,-32.628296,IS
-37.896576,-32.36499,IS
-24.879995,-35.02946,IS
-13.902439,11.178741,IS
-13.902439,11.178741,IS
-33.033184,-25.149366,IS
-36.14819,-31.869562,IS
-36.14819,-31.869562,IS
7.696322,9.693101,IS
-25.407755,5.6642494,IS
-30.887371,-27.39519,IS
21.258158,18.48353,IS
-23.111515,31.891218,IS
9.21625,-61.40996,IS
9.21625,-61.40996,IS
16.476587,6.2392135,IS
15.764758,6.650979,IS
16.545889,6.27082,IS
16.379341,6.113588,IS
44.41132,-11.243863,IS
44.795067,-13.01972,IS
43.688084,-11.346641,IS
43.919327,-10.099912,IS
45.264194,-13.093199,IS
44.03203,-12.836422,IS
41.87211,-11.690257,IS
45.091057,-14.576798,IS
43.91744,-16.481468,IS
38.9805,-19.389397,IS
43.4242,-10.18114,IS
42.295963,-11.086608,IS
45.677444,-15.514511,IS
46.713177,-14.599005,IS
44.73205,-13.389045,IS
43.097797,-14.912536,IS
46.28188,-15.1513405,IS
44.76023,-11.319984,IS
49.15722,-12.422147,IS
38.606056,-19.257387,IS
39.39899,-19.190739,IS
44.57038,-12.554245,IS
38.603607,-19.407492,IS
36.61792,-15.95315,IS
46.714066,-13.516013,IS
39.382645,-19.1653,IS
41.74218,-11.615896,IS
47.34279,-13.576915,IS
47.103104,-13.206025,IS
42.8174,-12.018339,IS
47.44563,-13.849837,IS
42.23724,-13.02378,IS
36.859398,-15.644349,IS
45.651745,-15.250514,IS
46.789406,-16.949043,IS
47.687656,-12.149318,IS
46.778595,-16.947395,IS
36.959682,-16.836603,IS
47.17702,-14.492748,IS
48.64069,-12.5778055,IS
36.948048,-16.802576,IS
47.676575,-12.055677,IS
37.256447,-15.589044,IS
43.19534,-14.859459,IS
47.13018,-23.00936,IS
36.727165,-15.037889,IS
43.63174,-11.544471,IS
36.10115,-16.516716,IS
45.367485,-11.932918,IS
36.489502,-16.65334,IS
46.914494,-23.422367,IS
48.385315,-14.10261,IS
36.010994,-15.225774,IS
36.00043,-15.22072,IS
47.764072,-13.289686,IS
23.281038,-11.462778,IS
25.259892,-11.211902,IS
23.349075,-10.638488,IS
23.430813,-11.10806,IS
24.605413,-10.76942,IS
23.19497,-10.489995,IS
24.642878,-10.846937,IS
35.444035,-8.3513565,IS
35.402836,-8.257904,IS
35.531994,-8.387563,IS
35.0345,-8.327176,IS
4.22844,18.547607,IS
4.4095106,18.018753,IS
4.4865394,17.085398,IS
4.5844,18.513689,IS
3.8491244,18.203907,IS
4.1235332,17.815104,IS
4.5238237,17.600285,IS
45.823723,-23.628681,IS
44.231003,-14.801689,IS
16.218777,47.800217,IS
16.218746,47.799892,IS
17.220327,48.41038,IS
17.039776,47.49404,IS
16.218777,47.800217,IS
15.532693,48.32375,IS
17.376205,48.959843,IS
17.079699,47.55276,IS
43.78502,-12.869532,IS
39.84941,-20.023098,IS
39.692688,-20.272257,IS
48.49132,-14.301139,IS
48.767715,-14.034767,IS
39.71151,-20.150488,IS
46.400017,-25.001835,IS
46.036972,-24.315361,IS
47.501797,-24.561657,IS
47.356052,-25.713614,IS
46.90083,-24.397518,IS
46.476856,-24.267561,IS
46.645046,-24.743876,IS
48.079494,-25.538498,IS
46.960606,-25.650227,IS
48.604824,-24.128666,IS
47.710617,-25.173317,IS
47.877735,-23.559692,IS
48.18658,-23.25735,IS
48.1539,-23.923483,IS
45.975254,-25.314352,IS
45.684906,-24.662922,IS
45.938934,-10.108893,IS
45.809868,-10.163537,IS
45.237682,-9.352436,IS
45.212894,-8.679366,IS
46.136013,-10.083339,IS
20.486418,54.016838,IS
20.098406,54.481087,IS
49.174625,-8.566532,IS
49.142708,-8.559701,IS
51.002728,-17.338625,IS
49.51418,-17.338509,IS
50.653866,-17.64694,IS
49.34702,-16.930796,IS
50.983494,-16.936144,IS
49.71403,-17.626493,IS
15.257316,5.9757915,IS
14.809689,5.7069726,IS
19.067032,54.27629,IS
16.900917,55.355015,IS
18.638016,55.55138,IS
14.599767,55.585777,IS
15.741675,56.234425,IS
16.559671,55.232254,IS
19.14622,54.47891,IS
17.778975,56.346878,IS
18.79519,53.38309,IS
18.546955,53.78557,IS
15.768036,56.928925,IS
17.025719,54.079395,IS
15.111831,55.805244,IS
18.30552,55.270943,IS
18.36501,55.816826,IS
18.511652,55.548656,IS
18.999477,55.99475,IS
16.92402,55.58584,IS
14.934259,55.852737,IS
14.788902,52.293232,IS
14.816142,52.28241,IS
18.215378,54.7225,IS
43.901375,-13.3749075,IS
15.574369,57.5603,IS
14.7081785,57.202,IS
18.561275,58.7458,IS
20.181255,57.325066,IS
19.9338,57.458668,IS
18.427301,57.970676,IS
18.77064,59.163536,IS
19.09008,57.305267,IS
20.717125,58.059067,IS
20.546942,57.210457,IS
18.673843,58.436558,IS
18.238287,57.881424,IS
17.042189,57.066856,IS
19.357002,58.55967,IS
14.905457,52.18478,IS
15.769578,6.7273273,IS
38.04077,-13.884368,IS
5.2696905,17.936974,IS
4.9907646,18.312458,IS
15.70765,54.461514,IS
20.64607,54.6299,IS
36.374817,-14.196242,IS
19.541069,53.390102,IS
2.305754,14.674308,IS
8.891783,4.5209756,IS
36.119553,-16.710434,IS
46.585903,-23.078943,IS
