TSNE1,TSNE2,label
-124.72781,20.81904,Molpher
-9.955963,-16.549242,Molpher
-24.016684,-83.65048,Molpher
-42.759304,27.403461,Molpher
-83.20931,-36.647434,Molpher
52.29779,19.80473,Molpher
60.227142,22.096544,Molpher
83.276344,9.415331,Molpher
-53.01872,96.220695,Molpher
119.9151,2.1795287,Molpher
107.63914,35.2373,Molpher
65.50843,89.45859,Molpher
76.651924,12.314772,Molpher
-3.470131,1.4013592,Molpher
87.22825,12.598975,Molpher
-29.052574,-35.060757,Molpher
-53.566483,89.85952,Molpher
109.68324,47.162098,Molpher
75.60037,79.66491,Molpher
108.005775,10.308613,Molpher
31.850948,-5.320603,Molpher
-62.841496,35.992916,Molpher
-25.639357,-77.8312,Molpher
-4.9507103,-12.87532,Molpher
55.032627,96.95519,Molpher
55.96925,1.4870971,Molpher
4.5488777,-66.58369,Molpher
115.85066,-6.632984,Molpher
-80.08932,79.18937,Molpher
74.08854,-1.3002427,Molpher
64.85432,3.2281563,Molpher
-42.93561,-19.57616,Molpher
-11.527999,46.257687,Molpher
-13.391807,-5.318117,Molpher
-78.54414,-68.02021,Molpher
63.99758,8.772263,Molpher
55.61172,-5.7666874,Molpher
8.75741,45.155155,Molpher
-2.88338,21.512291,Molpher
73.5007,-74.64582,Molpher
-22.74387,-18.56128,Molpher
-4.102863,9.578784,Molpher
30.348562,-94.0269,Molpher
-57.971645,5.838394,Molpher
41.89999,-23.895905,Molpher
74.36039,-69.707146,Molpher
-25.010628,-85.453606,Molpher
-0.45200768,2.360855,Molpher
28.082865,63.71198,Molpher
-46.350777,-120.18707,Molpher
61.12546,-70.968315,Molpher
-123.56242,21.455376,Molpher
-65.725334,-71.50617,Molpher
84.65771,-0.12949775,Molpher
26.376768,-11.127903,Molpher
95.46317,-17.392456,Molpher
98.20799,-11.31194,Molpher
71.77899,-65.445435,Molpher
119.50577,1.6209453,Molpher
73.412094,-58.14241,Molpher
-34.866333,-110.801384,Molpher
105.44299,10.139459,Molpher
-27.822678,-38.344883,Molpher
6.744603,-58.555664,Molpher
-82.272194,8.958659,Molpher
-83.75128,84.894905,Molpher
-45.5098,101.90876,Molpher
-31.35464,-47.306374,Molpher
-84.71577,-27.69178,Molpher
-39.846767,4.3561816,Molpher
95.88283,2.7000272,Molpher
-68.95043,-72.83895,Molpher
76.2348,-9.31212,Molpher
-80.50594,-66.51751,Molpher
3.1826577,24.193127,Molpher
78.023384,1.2996631,Molpher
54.354595,38.296204,Molpher
99.7513,10.122401,Molpher
68.86497,17.777742,Molpher
31.089447,13.4324,Molpher
8.875808,-75.71266,Molpher
31.634676,16.64042,Molpher
-18.214136,33.724842,Molpher
32.43314,-98.01759,Molpher
2.312765,6.747579,Molpher
-15.61683,-91.26761,Molpher
-30.478128,-84.7807,Molpher
9.168259,88.364876,Molpher
74.74165,-56.52786,Molpher
54.618946,82.50605,Molpher
-62.16798,-71.14139,Molpher
7.2497683,137.28653,Molpher
30.746187,-96.47998,Molpher
60.311295,-0.50063246,Molpher
65.292984,93.93906,Molpher
-47.523594,-21.607937,Molpher
-57.687725,-6.3162684,Molpher
-42.732094,-24.744837,Molpher
81.645096,1.4142739,Molpher
101.81975,13.275775,Molpher
13.510469,83.6043,Molpher
34.21393,6.263502,Molpher
-46.503277,-97.95965,Molpher
98.6238,-28.18914,Molpher
