TSNE1,TSNE2,label
-48.12288,16.341291,REINVENT
50.12582,-40.36317,REINVENT
-22.766823,-23.040617,REINVENT
-26.663746,7.069901,REINVENT
7.1799026,18.268993,REINVENT
16.36726,-56.712208,REINVENT
-12.168414,-37.09839,REINVENT
12.162676,42.26715,REINVENT
2.8184927,-8.329379,REINVENT
-11.935912,-6.7681713,REINVENT
1.5063484,-20.210913,REINVENT
12.093883,10.551723,REINVENT
4.965792,-10.442859,REINVENT
32.194836,12.871073,REINVENT
-11.196562,-58.162476,REINVENT
-54.632103,9.722534,REINVENT
43.86729,0.78638536,REINVENT
11.500343,12.399493,REINVENT
5.5414166,-49.4327,REINVENT
-3.0902543,-23.734383,REINVENT
-10.109765,-1.5506667,REINVENT
15.247544,15.491034,REINVENT
47.43916,0.053862937,REINVENT
17.62856,-6.0958133,REINVENT
7.2305017,36.150845,REINVENT
-34.913452,3.8429267,REINVENT
-36.641556,3.4691925,REINVENT
4.9986386,-18.202223,REINVENT
-12.566372,-32.343113,REINVENT
-36.089317,4.493733,REINVENT
-18.06369,8.348785,REINVENT
-43.1658,23.451696,REINVENT
10.424014,-14.982909,REINVENT
-0.5146254,-17.326368,REINVENT
-8.378667,1.8754392,REINVENT
-34.907997,-25.364014,REINVENT
16.288628,-13.969583,REINVENT
-16.328773,-40.256542,REINVENT
46.422123,42.24284,REINVENT
48.43483,8.713776,REINVENT
40.90591,26.43956,REINVENT
-19.52579,-2.8816154,REINVENT
50.641727,13.191749,REINVENT
-2.9092634,35.19358,REINVENT
20.905079,6.8665276,REINVENT
-2.0554557,-13.955309,REINVENT
-26.24173,18.4907,REINVENT
25.192501,-17.520653,REINVENT
-32.32681,41.92693,REINVENT
-50.31417,-9.63843,REINVENT
-25.87553,-37.059975,REINVENT
56.60803,-21.429083,REINVENT
62.235218,7.4449396,REINVENT
38.143322,36.46343,REINVENT
-28.332706,-9.601901,REINVENT
-8.717169,34.803795,REINVENT
-10.18876,-12.751719,REINVENT
42.015526,-23.5927,REINVENT
22.969515,0.8362263,REINVENT
-6.551398,54.06829,REINVENT
25.565554,-25.03939,REINVENT
0.007961182,4.909413,REINVENT
-44.263363,-46.643135,REINVENT
3.7748995,-18.50799,REINVENT
19.357664,-26.43114,REINVENT
3.0923977,-2.7317343,REINVENT
-24.612694,40.00288,REINVENT
-20.7464,-10.03787,REINVENT
12.609694,-13.034971,REINVENT
-6.722684,-37.687843,REINVENT
13.656122,-7.4356203,REINVENT
12.242378,-9.157924,REINVENT
8.797889,-61.323784,REINVENT
13.226771,15.065226,REINVENT
31.238056,-7.196988,REINVENT
-48.28668,27.059532,REINVENT
-2.7497125,-4.857099,REINVENT
-19.860403,-11.435313,REINVENT
-37.224453,-2.4358127,REINVENT
-13.343171,5.7401633,REINVENT
-1.6271554,48.64392,REINVENT
25.23261,28.121136,REINVENT
22.673788,-15.771483,REINVENT
-48.14636,-0.101178855,REINVENT
13.239049,11.756599,REINVENT
-15.719732,-31.62679,REINVENT
4.8798957,18.36219,REINVENT
48.73276,42.529106,REINVENT
-30.549257,-29.69441,REINVENT
