TSNE1,TSNE2,label
-8.581018,-0.7746123,RS
-0.5719109,-5.7187824,RS
-9.550579,2.4251254,RS
-0.40937218,-6.0188437,RS
-9.164874,2.3265595,RS
-4.4628553,-2.2786365,RS
-9.227191,2.4114406,RS
-2.6235406,-10.353992,RS
-3.8594613,-6.653321,RS
-3.7622883,-9.887096,RS
-2.449536,-7.447173,RS
-3.9612002,-10.161186,RS
-2.5832436,-7.69542,RS
-1.9560004,-6.9628963,RS
-0.9792251,-8.974537,RS
-4.305524,-5.659154,RS
-0.9119073,-4.4130454,RS
-2.0502167,-6.9293647,RS
-3.186958,-7.4362607,RS
-2.429021,-10.2321415,RS
-1.150595,-5.617839,RS
-3.5627234,3.2596905,RS
-6.3391333,5.646332,RS
-5.92094,3.8298707,RS
-7.405636,4.4056416,RS
-6.88427,5.2985125,RS
-5.6491747,2.7176678,RS
-7.2028146,4.3837457,RS
-4.575909,1.4845867,RS
-6.8815255,2.2835722,RS
-6.8667727,4.4498587,RS
-1.4936501,-4.8686004,RS
-6.4539957,1.9854045,RS
-6.4886956,4.6449056,RS
-7.539341,5.6615353,RS
-3.8393106,3.1359413,RS
-6.8815255,2.2835722,RS
-6.6601586,1.7125833,RS
-7.689998,2.5092094,RS
-8.496529,0.4865831,RS
-8.703309,0.4093666,RS
-7.9819503,0.54210013,RS
0.2518889,0.39199144,RS
-2.9526362,-6.1580157,RS
-3.9227004,-5.21823,RS
-7.632376,4.886671,RS
0.37810642,0.5929482,RS
-7.773251,0.65039843,RS
-6.366533,4.563373,RS
0.995445,1.6070781,RS
0.21389323,0.19253525,RS
-4.3993325,-2.0256205,RS
-6.2068343,5.4201083,RS
-3.007462,-9.596396,RS
-5.9317946,5.9505053,RS
-7.326168,1.3519293,RS
1.003174,1.614038,RS
0.129519,-0.32777816,RS
-7.263457,5.5308423,RS
-6.292292,2.5960345,RS
-5.7560344,-7.970606,RS
-6.099893,-9.367818,RS
-5.9843225,-10.198455,RS
-6.6827583,-10.378571,RS
-6.539576,-9.427362,RS
0.4861458,8.376515,RS
0.4911364,8.37609,RS
-0.43550757,-15.445177,RS
-1.1475887,-15.34035,RS
-1.1814919,-13.441613,RS
-1.5023457,-13.226917,RS
-1.6999843,-14.548012,RS
-2.0526223,-14.426359,RS
-0.6576245,-11.7784,RS
-0.44657874,-11.38233,RS
3.6854062,6.0702844,RS
2.8835645,5.525184,RS
4.2494726,5.5803456,RS
3.0018542,4.9199038,RS
3.582206,6.1786947,RS
3.7526984,6.05235,RS
4.1037874,5.5483785,RS
2.5647547,5.1212907,RS
7.0024786,5.0286975,RS
2.4904575,5.116301,RS
2.8171327,6.209251,RS
2.6597939,5.1339574,RS
13.224146,3.425208,RS
12.637386,3.204531,RS
13.062823,4.476329,RS
12.269879,4.115043,RS
13.072027,3.3433025,RS
13.200559,4.838741,RS
13.062033,2.9329164,RS
13.050564,5.0987105,RS
12.088637,4.533807,RS
12.7628765,5.050635,RS
12.150684,4.8478675,RS
12.747597,4.6004543,RS
12.418636,5.1627917,RS
6.1535225,5.2633033,RS
-8.965169,-0.59362334,RS
3.4621172,9.973397,RS
3.341719,11.4862,RS
4.5636325,10.366346,RS
3.3321538,11.481367,RS
3.3679883,10.148626,RS
3.2350204,10.175126,RS
3.7239141,10.72949,RS
4.6544647,9.909898,RS
4.268926,10.828961,RS
3.6222143,11.812024,RS
4.290413,10.946637,RS
-5.4333467,5.461298,RS
-1.0127558,-4.810463,RS
-5.503694,4.7715383,RS
-3.1806092,-6.835808,RS
-3.0347185,-10.684322,RS
-2.8207726,-9.792472,RS
-3.0746741,1.8177273,RS
-2.615105,1.3376173,RS
4.915594,10.040883,RS
-8.333501,-0.6992805,RS
-5.5366015,4.766098,RS
-3.5370083,-9.982667,RS
-0.19117117,-15.668677,RS
-0.7285623,-14.489741,RS
0.2521945,-14.449701,RS
0.29982337,-15.3090725,RS
-0.30194244,-14.528672,RS
-1.1434325,-16.132797,RS
-0.8822028,-15.896692,RS
-0.91876,-14.369127,RS
-0.31810978,4.541684,RS
-0.33356196,4.5376425,RS
-0.37954253,-13.722262,RS
-0.34969875,-13.881557,RS
-0.5780334,-11.985775,RS
6.2099905,1.0198938,RS
6.2357626,0.997631,RS
6.1209025,1.0536336,RS
6.3186407,0.96013653,RS
0.29756406,-13.988082,RS
4.3263183,2.3800187,RS
4.2872624,2.3931055,RS
8.492355,8.97055,RS
8.485282,8.979701,RS
8.47651,8.983547,RS
-3.186957,1.9170066,RS
-3.4460697,-11.025805,RS
-3.4982352,-11.10883,RS
-0.69656783,-5.027386,RS
-0.77039176,-4.865437,RS
-2.9157648,-6.780576,RS
8.183687,3.9105585,RS
8.3746195,3.9440873,RS
8.197706,3.7132483,RS
8.442237,3.87246,RS
8.135308,4.218997,RS
8.1753645,3.65502,RS
3.3625343,7.3889933,RS
2.9598486,7.4035873,RS
3.6906872,7.220809,RS
0.08880126,-5.5817285,RS
-2.5823166,-10.849446,RS
-0.021882998,-4.681545,RS
-0.039454002,-4.653428,RS
-6.6203046,6.558453,RS
-6.6211753,6.5583286,RS
7.1059747,5.1214952,RS
-6.263051,-9.628983,RS
-6.103374,-10.579486,RS
-6.212612,-10.677366,RS
-5.5202603,-7.684957,RS
-6.5785265,-9.929013,RS
11.786475,6.116257,RS
4.229639,2.411174,RS
-3.5010097,3.3281596,RS
4.738467,-1.1234367,RS
4.565419,-1.8828096,RS
