TSNE1,TSNE2,label
61.901875,28.192326,addcarbon
30.937155,40.995243,addcarbon
-29.172703,-32.26001,addcarbon
14.206584,-82.2109,addcarbon
-23.028582,-37.185726,addcarbon
-54.06881,-27.090523,addcarbon
10.539415,62.68456,addcarbon
-37.99369,-26.249294,addcarbon
-40.72791,54.98367,addcarbon
80.70602,29.05544,addcarbon
-100.02172,-58.69956,addcarbon
-90.192665,-39.153748,addcarbon
101.90266,10.516948,addcarbon
37.533867,-36.574245,addcarbon
74.752945,-40.803646,addcarbon
-78.77003,65.11268,addcarbon
-14.344069,-101.80754,addcarbon
23.868742,-33.377586,addcarbon
-66.2973,83.145065,addcarbon
29.62343,66.01602,addcarbon
17.477123,96.31681,addcarbon
-17.921915,-50.297466,addcarbon
40.204197,105.13736,addcarbon
-106.010445,-21.62436,addcarbon
-62.375797,64.34382,addcarbon
-73.279434,1.7807895,addcarbon
95.58553,-26.126513,addcarbon
-85.49759,-87.52425,addcarbon
10.892962,5.4438605,addcarbon
-31.634743,94.9885,addcarbon
-65.33037,31.358324,addcarbon
43.318073,-47.17198,addcarbon
32.05145,64.68145,addcarbon
29.25395,3.6752024,addcarbon
94.85516,-26.249662,addcarbon
-67.66443,50.220596,addcarbon
31.409485,-73.87091,addcarbon
80.20656,-50.65072,addcarbon
-1.2690265,54.9059,addcarbon
-20.476368,-35.827637,addcarbon
117.59111,-19.207853,addcarbon
26.04797,-52.528385,addcarbon
-45.802933,1.6643122,addcarbon
23.386278,-52.709538,addcarbon
-23.514551,65.26719,addcarbon
-61.301743,-14.971299,addcarbon
98.890564,67.00797,addcarbon
124.843506,0.31953093,addcarbon
61.251156,-42.185814,addcarbon
23.509165,-23.317814,addcarbon
62.779915,-81.02638,addcarbon
-71.80105,35.227787,addcarbon
85.581406,58.690346,addcarbon
82.65731,-3.7808447,addcarbon
-124.65745,24.642242,addcarbon
-34.4303,33.694443,addcarbon
16.601303,49.70457,addcarbon
33.020264,-14.982996,addcarbon
-87.367874,-15.992444,addcarbon
6.2674904,71.31645,addcarbon
-52.044937,-78.69934,addcarbon
117.17538,54.97265,addcarbon
-15.59881,-41.92467,addcarbon
75.791756,-10.232432,addcarbon
39.69802,-37.755604,addcarbon
-0.2580243,-94.19386,addcarbon
-52.509377,-39.236908,addcarbon
-72.92878,60.459488,addcarbon
-95.61048,-51.412235,addcarbon
28.10959,-58.21341,addcarbon
-66.57219,-45.55178,addcarbon
35.614216,-64.81944,addcarbon
7.6732073,1.4328383,addcarbon
-79.07164,35.88595,addcarbon
-52.047493,-78.69286,addcarbon
74.29567,58.12134,addcarbon
-30.362637,56.563705,addcarbon
39.252647,45.961502,addcarbon
-39.468487,46.762283,addcarbon
-1.1761017,116.007355,addcarbon
62.387478,27.204985,addcarbon
61.592293,-4.0746474,addcarbon
-75.12211,21.395287,addcarbon
-41.551422,-109.63345,addcarbon
-9.221809,31.34813,addcarbon
-0.42697042,96.93904,addcarbon
37.39071,-65.10506,addcarbon
61.593304,-4.074624,addcarbon
-27.678978,-29.491837,addcarbon
-18.33451,52.739876,addcarbon
-101.78277,28.922235,addcarbon
-54.583622,19.085306,addcarbon
77.49602,76.74696,addcarbon
-75.995415,21.527431,addcarbon
-92.866394,63.89479,addcarbon
11.139398,-21.98431,addcarbon
16.121197,-133.94148,addcarbon
31.253908,-19.040434,addcarbon
15.758766,-84.864525,addcarbon
75.9035,86.846695,addcarbon
72.328,55.630104,addcarbon
-29.892319,10.217269,addcarbon
11.652464,126.556114,addcarbon
62.842346,5.9119697,addcarbon
-120.09569,15.695932,addcarbon
-75.48173,28.086096,addcarbon
-9.68143,-108.86589,addcarbon
-125.176155,24.914948,addcarbon
36.505653,9.89482,addcarbon
88.18989,19.224216,addcarbon
67.77118,3.9774194,addcarbon
28.446396,5.246783,addcarbon
-32.52475,49.971497,addcarbon
-71.75951,43.905853,addcarbon
99.22051,-67.35336,addcarbon
92.86248,-44.713715,addcarbon
46.06932,67.86959,addcarbon
33.20373,-40.601387,addcarbon
-1.0736538,-114.71342,addcarbon
71.106514,57.106388,addcarbon
48.46705,13.124178,addcarbon
-10.514335,-91.05537,addcarbon
-51.46989,63.51305,addcarbon
-100.382866,28.007366,addcarbon
41.08843,-6.294549,addcarbon
-30.362923,56.562714,addcarbon
-12.496446,77.409775,addcarbon
-72.92878,60.459488,addcarbon
58.577015,-12.332167,addcarbon
-62.076324,23.029226,addcarbon
4.514137,-41.98684,addcarbon
-4.3046384,111.86951,addcarbon
-116.520096,-12.274441,addcarbon
-19.680672,12.494147,addcarbon
-53.156612,40.04629,addcarbon
96.385155,31.730001,addcarbon
22.225378,12.493496,addcarbon
-27.754221,-28.555702,addcarbon
-44.63382,11.570398,addcarbon
5.7119956,-18.053286,addcarbon
6.3673635,23.361044,addcarbon
-9.3399725,32.23822,addcarbon
55.80628,-21.609297,addcarbon
-98.04121,75.51028,addcarbon
83.168785,23.408287,addcarbon
-114.13426,-22.117493,addcarbon
-25.174816,76.925644,addcarbon
17.424105,48.95216,addcarbon
63.08241,-82.242645,addcarbon
-50.457043,-21.450838,addcarbon
-45.29277,-42.25635,addcarbon
-26.871298,23.429882,addcarbon
88.11536,44.701927,addcarbon
-11.401967,-73.76593,addcarbon
-7.2874503,-42.19062,addcarbon
-1.186732,-80.114365,addcarbon
2.1657248,-51.84592,addcarbon
-68.93083,24.304977,addcarbon
113.65746,23.198435,addcarbon
-13.044432,-20.289766,addcarbon
26.17007,67.01624,addcarbon
39.65797,-50.829735,addcarbon
85.54716,24.263355,addcarbon
1.500489,-30.912355,addcarbon
-0.97171897,119.16676,addcarbon
-65.04837,31.027876,addcarbon
-56.83108,97.13044,addcarbon
-34.267,-106.673935,addcarbon
-69.90903,17.368853,addcarbon
-1.7444767,-23.901854,addcarbon
23.212545,32.808002,addcarbon
-115.13518,17.02714,addcarbon
35.614216,-64.81944,addcarbon
-14.303819,-55.346455,addcarbon
50.341503,0.36450893,addcarbon
-11.979119,-101.58453,addcarbon
-3.3269632,-113.10428,addcarbon
50.493664,20.479723,addcarbon
0.41450965,47.36431,addcarbon
-17.401995,18.04043,addcarbon
59.852882,-6.902672,addcarbon
-2.4831812,-18.065725,addcarbon
14.155498,-86.53458,addcarbon
40.905087,-74.36908,addcarbon
29.897312,-37.522717,addcarbon
48.2286,26.55248,addcarbon
9.720341,-14.618849,addcarbon
-9.20287,-2.7710495,addcarbon
-58.285477,-68.781105,addcarbon
-36.932705,96.36075,addcarbon
-49.0047,18.3965,addcarbon
127.326706,-1.2266667,addcarbon
-68.574486,30.788252,addcarbon
80.5427,5.339137,addcarbon
38.31833,-32.548435,addcarbon
-9.198903,-2.77552,addcarbon
112.97305,-16.677252,addcarbon
83.70926,59.33763,addcarbon
-68.574486,30.788252,addcarbon
-58.34147,-82.84757,addcarbon
-56.87904,58.92434,addcarbon
-44.69296,-34.073925,addcarbon
-51.467983,63.512737,addcarbon
0.15675233,111.616135,addcarbon
32.950817,37.525223,addcarbon
-34.573383,-65.42723,addcarbon
22.869883,59.15686,addcarbon
31.561611,66.75631,addcarbon
30.356005,-56.96351,addcarbon
64.7632,-96.72336,addcarbon
-28.600212,60.15064,addcarbon
90.414474,-4.124506,addcarbon
79.415,27.681992,addcarbon
29.448652,55.437275,addcarbon
80.28242,29.206541,addcarbon
-4.769799,-30.439425,addcarbon
-20.971361,67.497955,addcarbon
13.453155,102.079926,addcarbon
19.033173,75.14169,addcarbon
-9.388277,-119.09425,addcarbon
-58.856735,-99.16176,addcarbon
-52.120495,103.46063,addcarbon
1.1773242,-120.04049,addcarbon
7.977534,105.90059,addcarbon
-11.978271,-101.58325,addcarbon
-80.17543,-21.051712,addcarbon
-40.16157,43.558964,addcarbon
21.822197,-117.19633,addcarbon
79.59102,-48.44873,addcarbon
12.241109,-37.42642,addcarbon
97.99677,2.2341454,addcarbon
-20.476368,-35.827637,addcarbon
9.111207,33.32356,addcarbon
-93.00405,1.6895756,addcarbon
6.6412992,44.23703,addcarbon
-93.79686,-55.119534,addcarbon
-90.10593,39.1002,addcarbon
20.706148,-87.6344,addcarbon
47.23808,56.5353,addcarbon
-62.394207,-52.0059,addcarbon
20.883852,-5.688021,addcarbon
11.926615,-18.865898,addcarbon
47.70323,-32.697884,addcarbon
-42.78215,64.904274,addcarbon
104.08912,-36.071583,addcarbon
-56.302765,4.0587425,addcarbon
-67.55028,45.950077,addcarbon
18.80738,-62.323235,addcarbon
95.22986,64.15246,addcarbon
-45.271214,8.911271,addcarbon
-21.409857,28.90156,addcarbon
-8.53734,-79.637566,addcarbon
-15.207669,-85.041405,addcarbon
-28.66013,-99.21954,addcarbon
67.470955,-8.383055,addcarbon
23.569172,-39.96205,addcarbon
119.431694,-15.265302,addcarbon
86.89719,-12.249551,addcarbon
39.36351,-103.06369,addcarbon
104.43733,4.9557285,addcarbon
79.18319,16.42777,addcarbon
-10.5925045,-110.89892,addcarbon
73.90523,-11.406796,addcarbon
16.88815,-69.94891,addcarbon
-8.537176,-79.63969,addcarbon
36.989502,-24.732359,addcarbon
-2.2182689,-86.434784,addcarbon
-30.801311,77.83941,addcarbon
-19.645407,101.131905,addcarbon
-7.469023,83.73993,addcarbon
77.301704,51.32004,addcarbon
-62.611618,-98.17038,addcarbon
-48.851612,72.48875,addcarbon
8.219306,-30.571325,addcarbon
53.56713,66.53127,addcarbon
47.711044,-22.764452,addcarbon
-34.376698,61.90069,addcarbon
-103.564606,31.114893,addcarbon
34.628326,123.12529,addcarbon
6.8639345,7.1369486,addcarbon
-20.761702,107.87511,addcarbon
-0.011186895,53.607227,addcarbon
36.87892,124.06543,addcarbon
39.77571,77.18828,addcarbon
8.334378,114.10834,addcarbon
30.648361,101.90023,addcarbon
