TSNE1,TSNE2,set_label
-74.714386,30.962307,IS
-103.27167,-31.909103,IS
28.488516,-82.96248,IS
27.001335,-83.318245,IS
28.165613,-81.697,IS
27.00753,-83.3173,IS
28.860134,-83.089745,IS
28.497484,-82.98823,IS
27.846844,-82.60862,IS
28.475962,-81.42579,IS
27.731516,-82.26929,IS
26.339205,-83.739075,IS
27.734455,-82.32204,IS
-99.02707,-35.399307,IS
-95.03427,-19.731447,IS
-99.52914,-35.87094,IS
-98.108055,-19.38294,IS
-102.53192,-17.939156,IS
-102.706154,-18.288176,IS
-96.86205,-28.776234,IS
-96.36962,-28.619984,IS
28.408062,-81.35882,IS
-103.29519,-31.928879,IS
-99.51478,-35.853752,IS
-102.34622,-18.395462,IS
-110.03289,-14.913587,IS
-109.54321,-16.130135,IS
-109.76775,-16.092402,IS
-110.078575,-15.273421,IS
-109.62765,-16.146551,IS
-110.013596,-14.454363,IS
-109.99251,-14.660688,IS
-109.77317,-16.569132,IS
-110.196686,8.552457,IS
-110.18604,8.590967,IS
-109.47548,-16.198338,IS
-109.48379,-16.183075,IS
-105.929474,-17.512135,IS
-43.288048,-37.7704,IS
-43.244118,-37.69387,IS
-43.42367,-37.99983,IS
-43.19577,-37.607983,IS
-109.54747,-16.487623,IS
11.182701,-45.036816,IS
10.656115,-40.450912,IS
-32.460438,-102.13417,IS
-32.09494,-100.9664,IS
-32.08197,-100.76133,IS
-97.24472,-28.766184,IS
-102.48229,-17.728987,IS
-102.48628,-17.658232,IS
-94.903,-19.645039,IS
-94.919106,-19.658957,IS
-98.19782,-19.309881,IS
36.231144,86.41116,IS
37.045574,86.48971,IS
36.468746,86.87474,IS
37.742897,86.8693,IS
34.96733,86.80161,IS
36.358303,87.730896,IS
38.82117,-92.21486,IS
38.33291,-92.141335,IS
39.32431,-92.229836,IS
-95.22373,-20.117023,IS
-102.64802,-17.910187,IS
-94.59057,-19.673307,IS
-94.58457,-19.669197,IS
-98.066284,-36.675056,IS
-98.06662,-36.674698,IS
15.968855,-95.30539,IS
-99.27117,-14.432513,IS
-99.54418,-14.416387,IS
-99.55543,-14.424836,IS
-97.947365,-15.538875,IS
-99.27959,-14.458633,IS
-92.05536,14.164822,IS
11.6519985,-40.398827,IS
-97.270256,-30.175856,IS
-71.20126,-40.717476,IS
-64.64376,-68.9559,IS
-41.850826,-91.50838,IS
-42.835014,-88.68051,IS
-42.87573,-88.69288,IS
-43.26431,-88.812645,IS
-42.48209,-91.61008,IS
-42.888474,-88.657974,IS
-42.295284,-91.53614,IS
-86.59445,-11.632461,IS
-67.23406,53.00266,IS
-67.700096,52.724487,IS
-67.136795,52.92702,IS
-67.89381,52.678448,IS
17.43538,-84.3214,IS
17.43538,-84.3214,IS
-40.851875,-92.435074,IS
-40.87345,-92.42262,IS
23.735033,-75.66323,IS
23.350231,-75.29083,IS
23.742672,-75.671165,IS
22.872284,-74.82662,IS
-35.126236,-100.686424,IS
-34.78383,-100.45447,IS
-90.38336,2.0680187,IS
-34.880257,-103.42902,IS
-34.99584,-103.00604,IS
17.399189,-84.132805,IS
-67.63933,56.932117,IS
-67.63933,56.932117,IS
-44.629772,-93.01997,IS
-35.38323,-100.60933,IS
-35.38323,-100.60933,IS
-86.61131,-11.633806,IS
-63.418156,35.94921,IS
-40.60056,-93.01419,IS
-93.070305,30.80686,IS
-27.66439,82.68055,IS
-107.200584,36.099148,IS
-104.882866,7.1169543,IS
19.809408,96.89051,IS
19.809462,96.88945,IS
24.679897,82.06422,IS
24.889294,96.87871,IS
19.81008,96.89067,IS
9.4168625,103.70396,IS
-0.31618163,96.46855,IS
24.812546,97.13739,IS
-102.98198,8.036848,IS
-104.40608,-3.6632903,IS
-104.43256,-3.643867,IS
-103.284256,3.3444068,IS
-103.26754,3.3271112,IS
-104.41042,-3.6599262,IS
-107.65884,36.235405,IS
-107.60845,36.27473,IS
-108.29906,35.733547,IS
-108.95714,35.757683,IS
-107.71773,36.167656,IS
-107.615036,36.217827,IS
-107.68802,36.195465,IS
-109.05935,35.720375,IS
-108.84756,35.806694,IS
-106.24081,34.33433,IS
-108.85749,35.736664,IS
-106.23604,34.35448,IS
-106.2283,34.350147,IS
-106.23626,34.34632,IS
-107.63835,36.41424,IS
-107.616066,36.347694,IS
-100.66989,10.638167,IS
-100.69054,10.665516,IS
-101.08112,11.258023,IS
-101.19543,11.456469,IS
-100.502266,10.650032,IS
50.181488,-56.541,IS
55.419678,-61.259735,IS
-104.82755,13.448144,IS
-104.82445,13.440687,IS
-110.88178,7.29844,IS
-110.41334,7.924609,IS
-110.75959,7.3948874,IS
-110.263374,8.348407,IS
-110.91085,7.3167305,IS
-110.48823,7.7536535,IS
-5.075825,-36.815613,IS
