TSNE1,TSNE2,set_label
-0.46579897,105.82792,IS
36.44495,32.90988,IS
7.6342688,93.07297,IS
36.34111,34.814636,IS
6.17135,93.84303,IS
19.249311,56.65702,IS
5.090666,93.87999,IS
31.896063,39.698288,IS
25.515768,34.725746,IS
26.229765,38.284397,IS
34.26903,34.05063,IS
28.777729,38.85718,IS
34.399998,35.966644,IS
33.446377,31.52865,IS
25.382061,55.131588,IS
23.31645,36.216805,IS
38.176136,29.421387,IS
32.74367,31.580658,IS
31.878286,35.759514,IS
33.428844,37.656868,IS
35.15941,30.56925,IS
9.243424,87.14778,IS
-24.999079,96.15151,IS
-19.425785,94.271805,IS
-22.582085,96.047295,IS
-24.206923,93.49511,IS
-13.74754,86.05385,IS
-22.485455,95.99687,IS
-0.13291574,84.43287,IS
-6.2054534,94.50328,IS
-22.683094,95.51966,IS
34.868515,26.472288,IS
-7.066185,94.224205,IS
-22.782202,94.885735,IS
-24.571768,93.501595,IS
10.405208,85.22934,IS
-6.2020845,94.50079,IS
-5.5083756,93.61361,IS
2.2926652,93.453735,IS
2.1593628,101.791664,IS
2.927334,101.82578,IS
-0.7283597,100.07638,IS
42.841145,54.882713,IS
30.0761,29.34489,IS
21.03718,37.494442,IS
-22.859766,95.4038,IS
41.319725,54.156303,IS
-0.602326,99.308014,IS
-23.45687,94.95717,IS
92.65568,31.716019,IS
42.60342,53.6552,IS
19.861633,58.575066,IS
-24.905355,96.07906,IS
30.726734,45.31113,IS
-25.081379,96.21723,IS
-3.4173806,95.94743,IS
92.62928,30.753016,IS
36.44013,52.4118,IS
-24.508867,93.281746,IS
-9.287766,93.648544,IS
25.264631,31.920546,IS
18.861727,47.79035,IS
17.91235,50.0826,IS
19.27468,52.48878,IS
20.430847,47.707996,IS
-0.75128525,-96.13342,IS
-0.39629105,-97.08426,IS
45.374672,41.99946,IS
46.9982,40.07273,IS
52.328278,47.281162,IS
52.71428,47.583614,IS
54.457497,44.976112,IS
54.40719,45.230648,IS
44.476124,32.531998,IS
44.774612,30.148106,IS
37.70871,-81.84681,IS
46.819515,-81.01737,IS
