TSNE1,TSNE2,set_label
-33.879517,-99.12712,IS
-78.05207,-1.1198051,IS
-50.823315,-89.29577,IS
-79.14689,-1.4764961,IS
-49.965515,-89.79601,IS
-57.007008,-54.003746,IS
-49.097286,-90.29334,IS
-71.94462,-16.813103,IS
-70.01821,-14.635104,IS
-68.92133,-18.096994,IS
-72.398094,-13.800219,IS
-70.692696,-19.282768,IS
-73.6723,-13.993016,IS
-70.095314,-12.764553,IS
-66.6827,-16.47199,IS
-69.937706,-14.68434,IS
-78.50028,0.7143207,IS
-70.106155,-12.68554,IS
-74.299934,-12.179039,IS
-74.1494,-15.672907,IS
-76.5429,-2.11074,IS
-52.359127,-71.28343,IS
-24.223288,-90.583496,IS
-24.385345,-89.46559,IS
-22.372246,-88.949265,IS
-24.064316,-87.90605,IS
-34.7302,-77.25683,IS
-22.441156,-88.924194,IS
-44.646248,-64.384224,IS
-34.18038,-89.96364,IS
-22.63279,-88.88939,IS
-72.876625,-1.630567,IS
-34.799362,-89.429955,IS
-23.504698,-88.60053,IS
-23.989624,-87.58668,IS
-52.684612,-70.93294,IS
-34.180145,-89.97212,IS
-33.813057,-90.46055,IS
-46.661037,-90.71323,IS
-32.483784,-97.71074,IS
-32.441166,-97.82221,IS
-33.43418,-97.543686,IS
-52.100876,-29.210764,IS
-71.066284,-8.84622,IS
-52.907494,-17.396957,IS
-22.237988,-88.779236,IS
-52.101357,-29.214329,IS
-33.390713,-97.38179,IS
-21.996105,-87.77814,IS
-46.798916,-21.379314,IS
-52.07748,-29.249874,IS
-56.449688,-54.36156,IS
-24.260822,-90.02329,IS
-67.73441,-25.350634,IS
-24.211864,-90.22042,IS
-33.551167,-94.939896,IS
-46.900326,-21.734295,IS
-60.987457,-32.67927,IS
-24.023977,-87.71536,IS
-34.067852,-87.91871,IS
-81.13973,-14.717279,IS
-82.38985,-21.526484,IS
-76.39411,-18.786415,IS
-79.092255,-17.926495,IS
-82.22044,-23.93783,IS
-35.997986,65.44733,IS
-35.96567,65.479614,IS
-81.71554,8.166479,IS
-81.69618,8.064305,IS
-79.14247,7.0657916,IS
-79.29781,7.099788,IS
-80.778114,6.867873,IS
-80.75792,6.826045,IS
-76.54708,5.808909,IS
-76.6499,5.741938,IS
-72.96406,42.416885,IS
-74.22336,40.45164,IS
-72.6893,41.95607,IS
-75.35306,39.71409,IS
-73.00084,42.332844,IS
-72.94318,42.313,IS
