TSNE1,TSNE2,set_label
97.02251,-44.43707,IS
61.771885,-60.547108,IS
83.318,-53.99375,IS
61.634254,-60.191677,IS
85.92756,-46.914642,IS
67.92249,-30.772621,IS
85.62193,-46.38667,IS
48.302814,-36.726643,IS
54.900875,-55.518257,IS
47.59392,-40.62733,IS
57.35904,-57.941044,IS
49.12447,-40.31141,IS
57.824078,-57.313503,IS
58.664715,-59.289524,IS
49.532063,-34.27306,IS
65.875145,-55.152096,IS
61.364902,-61.214237,IS
58.34446,-58.893658,IS
56.75293,-56.8849,IS
49.014854,-38.446884,IS
60.122746,-60.405167,IS
80.458015,-56.061214,IS
99.40014,-29.925158,IS
97.99089,-30.836178,IS
97.624435,-27.509123,IS
99.166916,-28.692965,IS
80.71033,-30.333565,IS
97.687546,-27.605816,IS
73.578926,-54.319275,IS
90.069786,-35.08517,IS
97.7096,-27.677402,IS
60.145767,-63.196053,IS
89.36823,-34.402187,IS
98.15332,-28.308693,IS
99.61382,-28.619658,IS
81.10502,-56.287994,IS
90.05765,-35.087795,IS
91.38306,-35.142826,IS
84.62851,-43.829243,IS
94.35216,-45.32025,IS
94.55157,-45.360275,IS
94.27604,-42.691273,IS
51.4822,-25.271088,IS
55.722527,-60.424988,IS
66.87512,-54.49514,IS
97.81362,-27.714214,IS
51.496758,-25.265406,IS
93.65854,-42.91977,IS
98.38137,-28.088963,IS
40.07848,-48.519478,IS
51.458004,-25.281631,IS
68.49455,-31.20484,IS
98.914955,-29.743832,IS
52.8743,-38.61055,IS
99.486015,-29.893837,IS
92.16867,-38.57156,IS
40.47606,-48.49379,IS
80.97884,-17.019476,IS
99.566025,-28.651798,IS
87.8952,-32.74062,IS
52.57119,-54.93801,IS
47.15865,-43.194706,IS
45.988132,-47.490417,IS
49.92421,-52.29589,IS
49.274456,-42.984695,IS
-19.13787,-101.88665,IS
-19.131634,-101.88858,IS
64.005104,-0.31180274,IS
63.417645,-0.28889507,IS
65.50025,-3.0524673,IS
65.4952,-3.203421,IS
62.957657,-1.4917289,IS
62.885204,-1.3561451,IS
63.08596,-4.373014,IS
63.677013,-3.3185663,IS
50.684414,-72.588875,IS
49.418476,-74.978195,IS
49.86307,-72.77247,IS
49.071297,-78.07077,IS
50.62803,-72.68889,IS
50.631805,-72.5724,IS
50.07929,-72.315544,IS
49.37978,-77.46199,IS
36.73249,-89.89721,IS
49.394928,-77.48036,IS
50.683594,-73.25959,IS
49.362984,-77.51624,IS
52.427437,-14.656346,IS
52.004894,-14.634441,IS
45.65564,-11.688471,IS
47.180634,-9.304943,IS
52.484875,-13.918594,IS
45.08694,-10.341831,IS
50.654556,-12.691656,IS
45.590256,-10.665966,IS
45.8363,-11.921029,IS
45.676147,-10.470667,IS
45.704105,-10.487219,IS
45.98715,-10.325736,IS
46.032875,-10.241054,IS
38.48527,-72.931946,IS
96.30095,-44.9557,IS
-92.20866,-17.336386,IS
-97.128204,-11.399651,IS
-88.382645,-23.253576,IS
-98.8038,-12.925293,IS
-90.075485,-16.184372,IS
-96.55152,-18.211298,IS
-88.85502,-19.734224,IS
-88.748955,-24.029716,IS
-89.61947,-20.692629,IS
-103.33846,-18.196684,IS
-88.31749,-20.783564,IS
99.12112,-27.917814,IS
61.03371,-62.07463,IS
100.251686,-27.215559,IS
55.297466,-58.464344,IS
50.628956,-38.109016,IS
51.94296,-37.402153,IS
76.993546,-58.87554,IS
69.96121,-66.87557,IS
-85.95719,-22.708729,IS
97.22681,-44.228798,IS
100.230576,-27.238337,IS
50.700455,-39.209324,IS
63.867657,-0.08248442,IS
64.40489,-2.0382054,IS
64.73319,-1.4128293,IS
64.50951,-0.24461466,IS
64.39347,-2.0836,IS
63.59288,0.13645965,IS
63.634846,0.10824413,IS
64.35336,-2.0991821,IS
88.87086,47.75815,IS
89.009476,47.722946,IS
64.984665,-1.6020418,IS
65.46485,-1.509508,IS
63.076553,-4.365645,IS
19.33301,10.598962,IS
19.223703,10.537642,IS
19.934065,13.613292,IS
19.546402,10.467569,IS
64.9885,-1.931062,IS
41.6312,-64.33006,IS
41.25252,-60.636707,IS
8.995792,44.991978,IS
11.421146,45.128155,IS
12.494867,45.004642,IS
49.6554,-45.015476,IS
49.240658,-49.622158,IS
47.680073,-50.385674,IS
51.474445,-57.201866,IS
51.796047,-46.447224,IS
35.00883,8.515886,IS
40.751297,-60.077415,IS
80.18545,-56.49744,IS
-48.17778,-1.2082695,IS
72.02356,4.945986,IS
-7.773295,22.034418,IS
-46.142025,-93.36769,IS
-46.140694,-93.36464,IS
-46.142258,-93.36538,IS
-46.1421,-93.37255,IS
-46.1409,-93.37014,IS
-46.135998,-93.36726,IS
-46.13935,-93.36954,IS
-46.137634,-93.367805,IS
16.434269,-88.668724,IS
11.990631,-87.885,IS
12.927416,-87.63209,IS
12.930724,-87.357956,IS
13.517183,-87.43359,IS
12.985528,-87.42621,IS
16.03453,-88.759544,IS
16.349733,-88.85414,IS
14.340202,-84.76944,IS
22.942099,21.831318,IS
22.876333,24.025532,IS
22.173899,24.030983,IS
22.876465,24.024313,IS
22.87833,24.025497,IS
22.876709,24.02553,IS
22.175583,24.032122,IS
23.97453,24.397179,IS
22.175138,24.033112,IS
6.8694882,21.157703,IS
16.235132,29.810667,IS
15.967188,29.852697,IS
16.222433,29.94346,IS
10.461553,22.298508,IS
16.111145,29.842066,IS
7.6561775,22.015118,IS
-46.144657,-93.33692,IS
-54.250908,-32.93976,IS
-53.681988,-31.566517,IS
-52.643444,-32.332928,IS
-54.755386,-32.00475,IS
23.532024,21.048847,IS
23.53267,21.049746,IS
1.5768629,24.802206,IS
1.2393123,23.61261,IS
61.130795,-23.329727,IS
59.79742,-17.968307,IS
60.682808,-23.353956,IS
54.871834,-20.381628,IS
7.91918,51.553032,IS
15.70192,47.39598,IS
-43.456665,-12.959787,IS
4.8582006,45.18712,IS
4.021946,49.769623,IS
23.222368,21.448645,IS
-83.07296,-36.590797,IS
2.7186654,26.182623,IS
50.820824,-14.473319,IS
-49.796543,-77.850044,IS
73.42536,12.390018,IS
73.42536,12.390018,IS
-7.780458,53.869892,IS
-8.52433,52.73724,IS
-7.6923323,53.816483,IS
-7.590637,53.924507,IS
98.21819,28.166023,IS
95.14681,25.663136,IS
96.53144,31.329927,IS
97.48858,27.781055,IS
93.49378,25.75921,IS
92.78572,22.981855,IS
93.44864,31.856936,IS
89.269424,21.47788,IS
70.417915,17.468098,IS
102.80754,2.4182465,IS
96.86146,31.412094,IS
93.1008,36.10098,IS
86.90273,24.019611,IS
86.00994,19.467371,IS
94.15435,24.66609,IS
90.87409,21.302801,IS
86.91198,20.725796,IS
97.7208,29.038391,IS
83.57554,19.565845,IS
100.41212,3.1989088,IS
102.89613,2.3559697,IS
85.82326,28.245043,IS
102.67496,2.8182,IS
86.78914,-3.2526503,IS
83.70669,17.073103,IS
102.90603,2.4175496,IS
93.46919,31.889235,IS
83.940636,17.968632,IS
83.55416,18.020071,IS
91.838684,36.686493,IS
84.52497,17.233524,IS
80.54737,28.27933,IS
86.86857,-2.9259932,IS
89.013145,18.636303,IS
83.956245,24.9852,IS
86.13893,17.792618,IS
83.93792,24.960579,IS
90.25725,-7.0101223,IS
86.07147,19.438993,IS
83.937225,19.172165,IS
89.563194,-8.950392,IS
86.84397,17.871044,IS
86.79843,-2.8222969,IS
90.76075,21.272442,IS
79.42217,59.411503,IS
87.52936,-3.725931,IS
96.31454,31.384266,IS
85.660446,-8.360444,IS
89.750374,30.177412,IS
83.81383,-4.880949,IS
79.71183,61.065117,IS
88.447044,13.921838,IS
87.90843,-2.9699683,IS
88.09033,-2.690161,IS
82.71163,17.691502,IS
70.39672,-32.311485,IS
57.788616,-65.43471,IS
77.73162,-58.59148,IS
82.01805,-38.309494,IS
60.470726,-47.364067,IS
77.75522,-58.65365,IS
62.41111,-49.311653,IS
63.36036,-24.403809,IS
63.47224,-25.367964,IS
62.711727,-24.952442,IS
65.32365,-24.220734,IS
36.176,-89.02833,IS
36.340973,-88.98219,IS
36.232693,-88.54964,IS
36.322536,-89.02751,IS
36.35314,-88.9933,IS
36.38015,-88.93827,IS
36.287254,-88.78608,IS
81.56364,64.39971,IS
89.743866,20.70769,IS
21.289438,87.356544,IS
21.288017,87.35511,IS
23.126663,86.13344,IS
21.491184,88.0781,IS
21.28929,87.3539,IS
21.016813,87.026,IS
22.813427,85.69465,IS
21.606037,87.986336,IS
91.59534,23.49234,IS
