TSNE1,TSNE2,set_label
8.921904,101.16018,IS
-30.006268,85.48892,IS
-23.229507,100.4432,IS
-31.230635,85.81492,IS
-22.03486,100.01815,IS
-35.684536,99.443954,IS
-22.056664,99.26272,IS
-23.85131,64.503494,IS
-22.671339,74.65736,IS
-24.486223,67.41414,IS
-26.021803,74.17997,IS
-22.763077,67.961075,IS
-24.994394,72.289185,IS
-24.746778,81.590096,IS
-38.179108,63.129578,IS
-20.691654,75.71126,IS
-29.388893,83.50722,IS
-23.699383,81.07587,IS
-24.760054,77.92119,IS
-24.418724,70.85458,IS
-25.936417,83.15734,IS
-18.756508,86.116104,IS
-7.694386,109.620926,IS
-10.660408,105.375374,IS
-10.139755,107.893,IS
-9.990857,109.529,IS
-3.2127457,94.84359,IS
-10.048756,107.950386,IS
-12.935555,90.12222,IS
-11.422169,99.49717,IS
-9.693349,107.768196,IS
-32.301804,81.00215,IS
-10.918474,99.25797,IS
-9.35082,107.55325,IS
-10.064038,109.909195,IS
-17.586632,87.491745,IS
-11.424429,99.50378,IS
-12.156525,99.51681,IS
-18.735912,97.53009,IS
5.4677196,106.113884,IS
5.677981,106.260574,IS
5.2310886,103.47082,IS
-42.9496,53.9318,IS
-29.438665,75.8293,IS
-20.116632,78.14655,IS
-10.107018,107.916885,IS
-43.69066,53.64532,IS
4.475417,103.19243,IS
-9.237568,107.96698,IS
-63.376858,47.733585,IS
-43.154163,54.108875,IS
-33.455994,98.883026,IS
-7.5115714,109.20047,IS
-31.000715,63.172882,IS
-7.43308,109.38114,IS
-13.268926,101.09748,IS
-64.188385,47.446266,IS
-44.40077,58.055984,IS
-10.134185,109.741776,IS
-10.750073,98.03614,IS
-27.583212,71.55855,IS
-23.057049,60.12511,IS
-23.904045,62.654808,IS
-26.709011,56.20998,IS
-23.128563,58.165035,IS
62.54919,-70.003174,IS
64.18581,-70.232376,IS
-4.1394644,84.10599,IS
0.5269252,87.19058,IS
-7.320203,77.42819,IS
-7.6067343,77.67847,IS
2.1411264,86.43211,IS
2.792382,86.78064,IS
-15.302208,79.78743,IS
-15.315943,76.15815,IS
-84.770515,36.93345,IS
-86.28019,42.191494,IS
-86.58516,38.111942,IS
-86.60999,46.76545,IS
-85.173065,36.72716,IS
-83.89256,36.406704,IS
-84.83324,35.00309,IS
-85.21921,47.41317,IS
46.00418,53.86757,IS
-85.40263,46.3276,IS
-82.50806,40.589127,IS
-84.97587,47.53705,IS
-80.18011,24.527498,IS
-77.7383,23.986366,IS
-91.34347,10.029437,IS
-93.48984,11.347477,IS
-79.129,23.258593,IS
-91.518196,9.032324,IS
-80.14437,20.338076,IS
-91.9427,8.715936,IS
-91.71283,10.253961,IS
-91.92985,8.964659,IS
-92.69027,9.820336,IS
-91.74424,8.905673,IS
-91.513176,9.262105,IS
-7.458052,107.29867,IS
-25.976662,65.91407,IS
-0.844672,83.90362,IS
-3.7785804,77.77554,IS
-1.9157176,80.52038,IS
-1.6890627,82.054886,IS
-3.7995076,79.12635,IS
-2.2577634,85.85723,IS
-2.4499407,86.00755,IS
-5.008912,81.1685,IS
-74.425224,73.919624,IS
-75.102356,74.21207,IS
-1.4618745,77.15812,IS
-1.1659495,78.30389,IS
-14.099434,78.3602,IS
63.289074,-45.916103,IS
62.769833,-46.733185,IS
60.927574,-40.919582,IS
65.29334,-47.09564,IS
-7.794862,81.32185,IS
55.845127,-82.397964,IS
52.382732,-76.60833,IS
63.74916,46.611168,IS
64.948006,45.017353,IS
64.95757,44.177235,IS
-19.498205,91.24165,IS
-20.633118,65.245926,IS
-19.604706,63.46637,IS
-27.950514,85.39956,IS
-27.700233,86.4751,IS
-25.634579,75.7502,IS
65.77503,56.654385,IS
66.54981,53.721615,IS
67.35294,55.39932,IS
67.09597,53.62327,IS
66.94653,58.290314,IS
67.87215,55.38973,IS
-92.6806,33.459877,IS
-93.737206,34.754395,IS
-89.48076,32.932796,IS
-33.43968,85.35253,IS
-27.59471,67.72419,IS
-31.108007,89.51965,IS
-29.635359,88.50754,IS
-6.694304,111.14997,IS
-6.6940327,111.147766,IS
41.212944,59.093933,IS
-24.71437,60.060497,IS
-21.851461,62.08691,IS
-20.890726,60.57923,IS
-29.073856,71.87548,IS
-25.984459,60.03164,IS
-100.6596,-15.739423,IS
48.173634,-74.028114,IS
-18.822725,85.4702,IS
3.5296783,59.027275,IS
10.612312,67.729454,IS
34.10342,46.172897,IS
-47.025547,25.00578,IS
-44.048313,27.78458,IS
-47.537052,27.146048,IS
-45.018696,29.495085,IS
-43.692265,27.232075,IS
-42.02101,19.035385,IS
-46.603176,20.419685,IS
-41.870213,17.087915,IS
77.51528,-35.907963,IS
81.12135,-30.341473,IS
76.75726,-31.1324,IS
77.86134,-31.113329,IS
75.83789,-33.17587,IS
77.2362,-31.40445,IS
78.8011,-37.097763,IS
77.88192,-35.75629,IS
73.76004,-33.228798,IS
76.10278,-53.727215,IS
67.23058,-59.784763,IS
64.04863,-59.24009,IS
67.2281,-59.781227,IS
67.23055,-59.77962,IS
67.231384,-59.781754,IS
64.04745,-59.240376,IS
66.71799,-55.416367,IS
64.049164,-59.239506,IS
-35.547333,46.841564,IS
-31.997896,41.812122,IS
-36.364136,46.448784,IS
-19.22967,47.788895,IS
67.63308,38.411667,IS
67.50647,42.35283,IS
63.80862,26.272991,IS
61.077,41.506943,IS
62.321358,40.79468,IS
80.64086,-53.407475,IS
87.11792,19.443619,IS
87.118324,19.443903,IS
71.333954,31.888483,IS
72.26102,43.73353,IS
72.26311,43.73596,IS
13.781224,111.66241,IS
80.89675,40.97107,IS
48.337124,30.76432,IS
-82.45189,22.096281,IS
78.25586,-10.770588,IS
23.802397,72.44668,IS
23.801758,72.449005,IS
-94.18009,-40.457035,IS
-89.58578,-42.31151,IS
-93.35308,-41.145508,IS
-94.60132,-43.05737,IS
-53.150127,85.81911,IS
-56.49501,80.776085,IS
-51.79375,85.01199,IS
-54.263836,74.76271,IS
-56.12686,81.89559,IS
-55.938457,80.386566,IS
-52.671597,90.78708,IS
-58.65735,81.499176,IS
-57.473682,64.28571,IS
-72.72026,59.046883,IS
-53.68374,73.081436,IS
-50.334827,90.33274,IS
-60.128162,81.5196,IS
-59.961395,77.23665,IS
-56.990807,81.07492,IS
-58.06206,88.723434,IS
-60.99166,77.78489,IS
-53.680065,85.667336,IS
-60.307346,70.45498,IS
-73.95247,58.400066,IS
-72.31991,59.175358,IS
-53.411587,81.029594,IS
-73.36609,58.0081,IS
-54.44856,52.913433,IS
-59.28381,74.991135,IS
-71.8637,59.08438,IS
-52.682495,90.49703,IS
-59.154205,74.72427,IS
-59.144543,75.07091,IS
-49.91198,88.15031,IS
-58.371513,75.727036,IS
-48.178684,81.189224,IS
-54.54516,52.117653,IS
-60.54517,80.593414,IS
-63.636772,85.052216,IS
-62.841393,74.544266,IS
-63.344425,84.904785,IS
-55.70183,57.096096,IS
-59.695107,76.77458,IS
-61.16391,72.47635,IS
-55.736298,56.973183,IS
-62.698917,75.25215,IS
-55.9548,52.091026,IS
-57.843525,88.69281,IS
-64.069824,63.71501,IS
-53.470116,52.059155,IS
-51.333405,85.22624,IS
-55.023445,54.96022,IS
-55.99393,84.58684,IS
-54.076416,54.59748,IS
-65.0056,64.49191,IS
-57.472046,74.06498,IS
-54.552822,49.833168,IS
-53.75988,49.69056,IS
-59.510612,75.91251,IS
-30.215906,99.73042,IS
-36.58186,88.71454,IS
-18.981411,90.36021,IS
-17.949644,102.94953,IS
-25.23344,92.7834,IS
-19.134726,90.14619,IS
-23.944557,91.00407,IS
-35.672,49.83833,IS
-34.455097,49.277412,IS
-33.86377,50.48855,IS
-31.409044,51.0223,IS
37.902805,55.608574,IS
38.234314,55.230297,IS
38.862305,57.60574,IS
37.939255,55.08893,IS
38.168972,55.57655,IS
38.18169,55.203148,IS
38.908016,56.11617,IS
-42.647423,93.05282,IS
-41.216915,92.25226,IS
-73.36065,80.86715,IS
-72.94721,76.556915,IS
-73.753265,80.492134,IS
-73.04313,75.30189,IS
-70.85514,80.58888,IS
-72.758675,77.796455,IS
-88.20686,-46.865356,IS
-88.08873,-50.068928,IS
43.071213,73.99024,IS
57.197376,82.0484,IS
50.14205,70.82773,IS
59.40388,91.701126,IS
56.4113,89.012886,IS
57.01779,82.91802,IS
42.886337,73.83609,IS
46.208332,82.05492,IS
40.666943,70.60222,IS
42.658466,76.18271,IS
37.490322,96.136505,IS
60.940838,82.579185,IS
59.26178,89.736435,IS
50.194103,69.461426,IS
50.68798,72.12304,IS
50.19043,71.10389,IS
47.67497,70.858925,IS
57.477875,80.78501,IS
60.558907,89.93287,IS
78.1962,69.55087,IS
79.70281,70.104866,IS
51.323425,67.88966,IS
-54.81949,79.46554,IS
34.154217,97.48679,IS
56.82268,97.25336,IS
43.2231,90.280785,IS
50.512104,92.08259,IS
49.706524,91.99184,IS
45.321934,91.1548,IS
42.484566,90.49342,IS
47.269638,86.79321,IS
49.27804,95.75546,IS
50.62642,92.33447,IS
43.86386,90.09899,IS
45.69014,91.68021,IS
43.11083,83.9278,IS
44.08266,92.76622,IS
77.054596,65.2079,IS
-85.46969,-42.410492,IS
-86.03629,65.71939,IS
37.807106,52.26403,IS
37.10283,55.22878,IS
36.021507,89.49624,IS
37.577553,74.75534,IS
-46.446487,48.765816,IS
38.778774,69.85121,IS
59.06789,-68.40895,IS
98.9029,-4.202424,IS
-53.668877,56.090027,IS
-65.66826,64.84282,IS
-40.72304,93.57086,IS
-66.226135,49.02522,IS
-69.61001,77.99043,IS
26.465641,98.82619,IS
-64.267136,92.57289,IS
-63.485954,92.81002,IS
53.975956,83.53034,IS
46.76786,67.15717,IS
-95.25895,48.819435,IS
-89.979324,49.45964,IS
-88.261566,50.755753,IS
-90.50896,48.95682,IS
-96.506294,51.255074,IS
-92.0889,45.275402,IS
-88.19535,51.159695,IS
-88.24323,50.58058,IS
-89.528564,51.944107,IS
-94.10695,50.271816,IS
28.478958,50.172344,IS
25.452927,55.267372,IS
27.526009,52.423897,IS
26.166435,50.902355,IS
26.735016,54.163128,IS
27.898714,56.78793,IS
25.829313,51.592644,IS
26.496143,50.75414,IS
27.089947,50.782963,IS
24.410482,28.395601,IS
22.891731,29.147676,IS
9.632775,31.61757,IS
10.131976,31.801613,IS
9.665359,29.561256,IS
-99.85446,-15.163146,IS
-72.27699,-36.759296,IS
-98.613754,-6.561989,IS
-99.60707,-14.772377,IS
-78.00714,-19.614262,IS
-88.06817,-17.026735,IS
-61.475033,8.487937,IS
-83.73435,6.667539,IS
-99.20428,-15.026339,IS
-81.71899,-11.108515,IS
-69.20773,-20.181698,IS
-88.06648,-17.026249,IS
-72.901344,-24.107143,IS
-89.483635,-15.778585,IS
-89.291336,-15.496103,IS
-74.47091,5.634065,IS
-67.866135,14.425373,IS
-61.092632,8.644821,IS
-97.2689,-13.304395,IS
-83.52627,0.2907474,IS
-67.44835,14.21953,IS
-83.63711,0.5814748,IS
-82.04361,-8.778839,IS
-66.62035,10.013633,IS
-92.02269,-15.532798,IS
-89.04317,8.890105,IS
-96.51392,-13.467261,IS
-99.35308,-14.367554,IS
-70.90927,-20.43019,IS
-74.28281,5.520845,IS
-68.31054,-21.823406,IS
-98.892845,-7.064608,IS
-98.30693,-5.3175592,IS
-83.85998,-16.257116,IS
-90.996735,-13.033854,IS
-87.61305,-16.43027,IS
-83.863495,-18.637772,IS
-62.82902,8.718201,IS
-98.50347,-2.35028,IS
-67.11749,14.989183,IS
-85.11255,-11.9203825,IS
-98.707275,-6.284587,IS
-88.068245,-17.026194,IS
-79.62202,20.987026,IS
