UMAP1,UMAP2,set_label
7.659561,14.718086,IS
7.8670382,11.888102,IS
7.4112444,13.855029,IS
7.808156,11.96862,IS
7.3783903,13.954472,IS
7.489712,12.535779,IS
7.3549,13.933827,IS
7.1333103,12.075969,IS
7.636117,12.145822,IS
7.472601,12.085156,IS
7.6384325,12.080877,IS
7.2259054,11.974347,IS
7.663578,12.064661,IS
7.6729774,12.045466,IS
7.3389072,11.993697,IS
7.608268,12.406234,IS
7.958726,11.894141,IS
7.557912,12.079698,IS
7.6909065,12.09388,IS
7.223372,11.92382,IS
7.857835,11.959202,IS
7.465829,13.592059,IS
6.966419,14.476303,IS
7.1727185,14.357947,IS
7.00547,14.4499445,IS
7.030935,14.3912735,IS
7.4169054,14.178529,IS
7.037263,14.442659,IS
7.5211096,13.533162,IS
7.422476,14.250781,IS
7.0389657,14.423183,IS
7.936341,12.045951,IS
7.4550004,14.266821,IS
7.0445976,14.451024,IS
7.0367274,14.437065,IS
7.50649,13.552468,IS
7.4120727,14.2584715,IS
7.394956,14.29835,IS
7.335327,14.011143,IS
7.704521,14.767977,IS
7.7059636,14.789005,IS
7.6744723,14.716708,IS
8.827763,12.552959,IS
7.826459,12.163242,IS
7.626872,12.4729,IS
6.9908485,14.473441,IS
8.87716,12.572377,IS
7.6510262,14.670032,IS
7.0264163,14.434864,IS
8.844204,12.522396,IS
8.837807,12.556602,IS
7.5898714,13.072987,IS
7.061844,14.399099,IS
7.280826,12.00002,IS
7.0333657,14.396802,IS
7.464842,14.339916,IS
8.826951,12.514704,IS
9.204372,12.566605,IS
7.0210085,14.444251,IS
7.4325957,14.2358,IS
7.2687297,12.305266,IS
7.134173,12.264299,IS
7.073539,12.184937,IS
7.08574,12.238169,IS
7.0789223,12.2845125,IS
12.959393,1.0987935,IS
12.98254,1.0811725,IS
6.1284723,11.506275,IS
6.2431145,11.569398,IS
6.3319054,11.553423,IS
6.373612,11.584503,IS
6.275096,11.510593,IS
6.348133,11.586048,IS
6.5845003,11.79142,IS
6.5638504,11.890049,IS
9.624351,9.272327,IS
9.438711,9.271988,IS
9.603368,9.294365,IS
9.353843,9.17986,IS
9.61256,9.257206,IS
9.622531,9.286169,IS
9.598652,9.31412,IS
9.334411,9.20039,IS
15.80103,3.806248,IS
9.35498,9.191847,IS
9.507875,9.268641,IS
9.3519535,9.152768,IS
15.409281,1.3320645,IS
15.343002,1.432693,IS
15.527323,1.6797167,IS
15.458715,1.7066201,IS
15.335749,1.4159569,IS
15.522706,1.7607466,IS
15.288538,1.4476196,IS
15.578254,1.7748103,IS
15.513038,1.6937175,IS
15.582849,1.796214,IS
15.586675,1.7780353,IS
15.506753,1.7460111,IS
15.52488,1.7598068,IS
13.20203,4.791943,IS
7.6843243,14.758847,IS
10.2856045,8.399168,IS
10.581484,8.049658,IS
10.516935,8.423744,IS
10.550071,8.11322,IS
10.411813,8.339932,IS
10.330442,8.331056,IS
10.479893,8.260226,IS
10.529692,8.479001,IS
10.50295,8.301335,IS
10.474456,8.241156,IS
10.516332,8.256019,IS
6.9841895,14.467956,IS
7.949986,11.942006,IS
7.0528846,14.451081,IS
7.6745696,12.137358,IS
7.164135,11.846886,IS
7.1597743,11.884174,IS
7.515665,13.485253,IS
7.596888,13.239501,IS
10.629683,8.545537,IS
7.66988,14.724376,IS
7.0252743,14.442874,IS
7.1980424,11.990933,IS
6.1847367,11.504585,IS
6.274474,11.5128355,IS
6.2433157,11.486809,IS
6.1624494,11.497675,IS
6.265921,11.509718,IS
6.2123637,11.514768,IS
6.1897364,11.4729805,IS
6.2916193,11.53773,IS
12.359364,13.764668,IS
12.414628,13.729289,IS
6.2834797,11.465625,IS
6.303905,11.531444,IS
6.547959,11.794974,IS
8.530555,1.2175645,IS
