UMAP1,UMAP2,set_label
10.88986,13.012938,IS
9.95124,10.10218,IS
10.386526,12.382669,IS
9.912896,10.090283,IS
10.444749,12.563707,IS
10.352643,10.951528,IS
10.461143,12.5552845,IS
10.470276,10.4582405,IS
10.594864,10.276114,IS
10.667554,10.311396,IS
10.149796,10.163202,IS
10.646808,10.356221,IS
10.265443,10.176585,IS
10.156683,10.229048,IS
10.405622,10.70291,IS
10.64204,10.185335,IS
9.956172,10.167606,IS
10.201282,10.227101,IS
10.26605,10.208155,IS
10.501078,10.32424,IS
9.983825,10.185831,IS
10.292011,12.330172,IS
10.330115,13.322261,IS
10.3639145,13.155304,IS
10.317201,13.338442,IS
10.326837,13.318579,IS
10.213658,12.777458,IS
10.321184,13.334413,IS
10.328654,12.605924,IS
10.413869,12.940372,IS
10.2893095,13.338513,IS
9.887193,10.305586,IS
10.426431,12.910396,IS
10.339,13.283909,IS
10.342973,13.338714,IS
10.2736435,12.319153,IS
10.454175,12.958664,IS
10.437935,12.930576,IS
10.451283,12.730483,IS
10.835532,12.979096,IS
10.835629,12.972565,IS
10.831618,12.987374,IS
9.115495,11.171366,IS
10.023805,10.271581,IS
10.298579,10.237193,IS
10.323885,13.334404,IS
9.094472,11.138633,IS
10.786047,12.964367,IS
10.369139,13.271993,IS
9.01383,11.052291,IS
9.143147,11.174472,IS
9.968061,11.559053,IS
10.325405,13.296858,IS
10.4109335,10.57937,IS
10.337596,13.309665,IS
10.584888,12.9128275,IS
8.940028,11.012132,IS
9.361631,11.161611,IS
10.334511,13.327316,IS
10.396698,12.895603,IS
10.57134,10.498684,IS
10.67814,10.667198,IS
10.678695,10.697384,IS
10.672045,10.761483,IS
10.704487,10.64591,IS
3.0144708,2.5593817,IS
3.049626,2.6387916,IS
11.656024,8.995064,IS
11.756517,9.014495,IS
11.588146,9.130737,IS
11.535948,9.204033,IS
11.676625,9.047428,IS
11.700338,9.043845,IS
11.357042,9.587836,IS
11.260678,9.694003,IS
5.4568458,9.900231,IS
5.6491194,9.929717,IS
5.468221,9.937123,IS
5.6067834,10.033168,IS
5.4307723,9.925874,IS
5.4524627,9.952827,IS
5.4471364,9.939343,IS
5.8121657,10.01266,IS
2.007244,2.1534765,IS
5.621486,10.014599,IS
5.4899564,9.961434,IS
5.6989617,10.065808,IS
0.6351675,3.3416502,IS
0.68546724,3.261156,IS
0.71830624,3.560018,IS
0.7771518,3.5175622,IS
0.68524396,3.2541735,IS
0.7661363,3.585882,IS
0.74748737,3.0474865,IS
0.76691395,3.555257,IS
0.7401897,3.6241972,IS
0.7854901,3.6378016,IS
0.7799761,3.5705462,IS
0.75069916,3.562657,IS
0.7898439,3.57676,IS
10.324081,13.319056,IS
10.542045,10.499722,IS
11.760913,8.985109,IS
11.652364,9.057602,IS
11.712102,9.003648,IS
11.767248,8.938866,IS
11.671754,9.054564,IS
11.727171,8.989795,IS
11.716186,9.014559,IS
11.604929,9.015637,IS
6.650373,13.553144,IS
6.6796026,13.5945215,IS
11.5671425,9.11927,IS
11.673061,8.998589,IS
11.418862,9.543318,IS
8.285671,-1.498288,IS
8.275287,-1.5976038,IS
8.239894,-1.3105829,IS
8.280056,-1.5720979,IS
11.603596,9.092899,IS
10.170501,2.7965302,IS
9.921085,2.901685,IS
9.641017,-1.6298372,IS
9.605007,-1.6741482,IS
9.602794,-1.6530681,IS
10.183985,12.086425,IS
10.637697,10.42359,IS
10.652941,10.474699,IS
9.914189,10.104338,IS
9.933741,10.114591,IS
10.250112,10.17266,IS
1.4956626,-3.0490677,IS
1.5132283,-3.0314415,IS
1.5069983,-3.0367043,IS
1.4766389,-3.013282,IS
1.5102293,-3.035771,IS
1.4937274,-3.040917,IS
4.9158506,9.945798,IS
4.8682384,9.963586,IS
5.053504,9.924973,IS
9.88442,10.034601,IS
10.451258,10.416786,IS
9.805526,10.001592,IS
9.869216,10.086518,IS
10.314136,13.30691,IS
10.297063,13.310902,IS
2.064546,2.3402238,IS
10.744809,10.699928,IS
10.667466,10.7061,IS
10.707152,10.688824,IS
10.50899,10.47025,IS
10.695528,10.768664,IS
2.0254114,0.76537037,IS
9.787105,3.0188632,IS
10.310274,12.319478,IS
7.9592867,1.5528215,IS
14.638202,5.288293,IS
8.134712,0.08973324,IS
3.7599993,3.246656,IS
3.7423506,3.046873,IS
3.5314999,3.2726648,IS
3.512659,3.2561684,IS
3.7684708,3.0172927,IS
3.795768,3.1979277,IS
3.7260885,3.3215318,IS
3.6098087,3.2778256,IS
5.8727474,4.78394,IS
5.594534,5.0126433,IS
5.6429553,4.9454327,IS
