unique_scaffold_recall,count_of_occurance,uniq_occurance
C1CCC(CCCCC2CCC3CCCCC23)CC1,169,1
C1CCC(C2CCC3C(CCCCCC4CC4)CCCC23)CC1,0,0
C1CCC(C2CCC3C(CCCCCC4CCC(C5CCCC5)C4)CCCC23)CC1,0,0
C(CCC1CCCC2CCCCC12)CC1CCCC2CCCCC12,2,1
C(CCC1CCCC2CCCC12)CC1CC2CCCCC2C1,27,1
C(CCC1CCCC2CCCCC12)CC1CCC2CCCCC2C1,7,1
C(CCCC1CCCCC1)CCCC1CCC(C2CCCCC2)C1,22,1
C1CCC(CCCCC2CC3CCCCC3C2)CC1,774,1
C1CCC(CCCCCC2CCCC3C(C4CCCCC4)CCC23)CC1,8,1
C1CCC(CCC2CCCC3CCCCC32)CC1,272,1
C1CCC(CCCCC2CCCCC2)CC1,1355,1
C1CCC(CCCCCC2CCCC3CCCCC23)CC1,168,1
C1CCC2C(C1)CCCC2CC1CCCC2CCCCC21,6,1
C1CCC(CCCCC2CCCC3CCCCC23)CC1,253,1
C(CCCC1CCCC2C(C3CCCCC3)CCC12)CCC1CCCCC1,4,1
C1CCC(C2CCCC(CCCCC3CC4CCCCC4C3)C2)CC1,39,1
C1CCC(CCCCCC2CCC3CCCCC3C2)CC1,314,1
C1CCC(CCC2(CCCC3CCCC4CCCCC43)CCC3C4CCC5CCCCC5C4CCC32)C1,29,1
C1CCC(CCCCCC2CCCC3CCCC23)CC1,254,1
C(CCC1CCCC2CCCC12)CC1CCCC2CCCCC12,39,1
C1CCC(CCC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1,183,1
C1CCC(CCCCCC2CCCC3C2CCC3C2CCC(CC3CC3)CC2)CC1,0,0
C1CCC(C2CCC(CCCCCC3CCCC4CCCCC34)C2)CC1,4,1
C1CCC(CCC2CCCCC2)CC1,1704,1
C(CCC1CCC(C2CCCC2)C1)CCC1CCCC2CCCCC12,0,0
C1CCC(CCCCCC2CCCC3C2CCC3C2CCCC(CC3CCCC3)C2)CC1,0,0
C1CCC2CC(CCCC3CCCC4CCCCC43)CC2C1,13,1
C1CCC(CCCCCC2CCC3CCCC3C2)CC1,489,1
C1CCC2C(C1)CCCC2CCCC1CCCC2CCCCC21,3,1
C1CCC(CCC2CCC(CCC3CCCCC3)CC2)CC1,625,1
C1CCC(CCCCC2CCC3CCCCC3C2)CC1,499,1
C1CCC(CCCCCC2CCCCC2)CC1,856,1
C1CCC(CCC(CC2CC3CCCCC3C2)C2CC2)CC1,14,1
C1CCC(CCCC2CCCC3CCC(C4CCCC5CCCC54)CC23)CC1,417,1
C1CCC(CCCCC2CCCC3CCC(C4CCCCC4)CC23)CC1,25,1
C1CCC(CCCCC2CCCC3CCCC23)CC1,454,1
C(CCC1CCC2CCCCC2C1)CCC1CCCC2CCCC12,16,1
C(CCC1CCCC1)CCC1CCCC2CCCCC12,10,1
C1CCC(CCCCCC2CCCC3C2CCC3C2CCCC(CC3CC3)C2)CC1,0,0
C1CCC(CCC(CCC2CCCCC2)CCC2CCC3CCCC3C2)CC1,62,1
C(CCC1CCCCC2CCCCC12)CC1CCC2CCCCC2C1,0,0
C1CCC(CCC2CCCC3CCC(C4CCCC5CCCC54)CC23)CC1,186,1
C(CCCC1CCC(C2CCCCC2)C1)CCC1CCCCC1,58,1
