unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(CCCCCC2CCC3C(CCC3C3CCCCC3)C2)CC1,28,1
C1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1,0,0
C1CCC(CC(CC2CCCCC2)C2CCCCC2)CC1,6,1
C1CCC(CCC(CCC2CCC3CCCC3C2)CC2CCCCC2)CC1,2,1
C1CCC(CCC2CCC(CCC3CCCC(CC4CCCC4)C3)CC2)CC1,0,0
C1CCC(C(CCCC2CC2)CC2CCC3C(CCC3C3CCCCC3)C2)CC1,0,0
C(CCCCC1CCC2C(CCC3C4CCCC4CCC23)C1)CCCC1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1,0,0
C1CCC(CCC(CCC2CCC3CCCCC3C2)CC2CCCCC2)CC1,0,0
C1CCC(CCCC(CC2CCC(CCC3CCCC(CC4CCCC4)C3)CC2)C2CCC(C3CC3)CC2)C1,0,0
C1CCC(C(CCCC2CCCC2)CC2CCC3C(CCC3C3CCCCC3)C2)CC1,0,0
C1CCC(CCC2CCC3C(CCC4C5CCCC5CCC34)C2)CC1,7,1
C1CCC(CC2CCCC(C3CCC4CC(CCC5CCC6CCCCC6C5)CCC43)C2)C1,0,0
C(CCCC1CCC2CCCC2C1)CCCC1CCC(C2CCCCC2)C1,0,0
C1CCC(CCC2CCC3C(CCC3C3CCCC(CCC4CCCC4)C3)C2)CC1,16,1
C1CCC(CC2CCCC(CCC3CCC(CCC4CCC(C5CC5)CC4)CC3)C2)C1,0,0
C(CCC1(C2CCCC2)CCCC2CCCCC21)CC1CCC2CCCCC2C1,0,0
C1CCC(CCC(CC2CCC3C(CCC3C3CCCCC3)C2)C2CCCCC2)CC1,0,0
C1CCC(CCC2CCC3C(CCC3C3CCCC(CC4CCCC4)C3)C2)CC1,0,0
C(CCCCC1CCC2C(CCC3C4CCCC4CCC23)C1)CCCC1CCCC(CC(CC2CCC(CC3CCCCC3)CC2)C2CCCCC2)C1,0,0
C1CCC(C2CCC(CCCCCC3(C4CCCC4)CCCC4CCCCC43)C2)CC1,0,0
C1CCC(CCCC(CC2CCC3C(CCC3C3CCCCC3)C2)C2CCCCC2)CC1,0,0
C1CCC(CCCCC2CCC3CCC(C4CCCC5CCCC54)CC3C2)CC1,2,1
C1CCC(CCC(CC2CC3CCCCC3C2)C2CCCC2)CC1,5,1
