unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(C2CCC3C(CCC4CCCCC43)C2)CC1,45,1
C1CCC(CC2CCC3C(CCC3C3CCCCC3)C2)CC1,42,1
C1CCC(CCC2CCC(C3CCC4C(CCC4C4CCCCC4)C3)CC2)CC1,0,0
C1CCC2CC(C3CCCC4CCCC43)CCC2C1,25,1
C1CCC(CCC2CCC3C(CCC3C3CCCCC3)C2)CC1,66,1
C1CCC(C2CCC3(CCC4CC5C(CCC5C5CCCCC5)CC43)C2)CC1,0,0
C1CCC(C2CCC(CCCCCC3(C4CCCCC4)CCC3)C2)CC1,0,0
C1CCC(C2CCC3CC4CCCCC4CC32)CC1,41,1
C1CCC(C2CCC3CCCCC32)CC1,779,1
C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1,2,1
C1CCC(CCC2CCCC(C3CCC4CC(CCC5CCC6CCCCC6C5)CCC43)C2)C1,0,0
C1CCC(C2CCC3CC4C(CC5CCCC5)CCCC4CC32)CC1,0,0
C1CCC(C2CCC3CC4C(CCC45CC(C4CCCCC4)C(C4CCCCC4)C5)CC32)CC1,0,0
C1CCC(C2CCC3CC(CCC4CCC5CCCCC5C4)CCC32)CC1,1,1
C1CCC(CCCCC2CC3CCC(C4CCCCC4)CC3C2)CC1,6,1
C1CCC(C2CCC3CC(CCC4CCC5CCCC5C4)CCC32)CC1,2,1
C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1,0,0
C1CCC(C2CCC3CC4C(CCCC45CC(C4CCCCC4)C(C4CCCCC4)C5)CC32)CC1,0,0
C1CCC(CCCC2CCC(C3CCC4C(CCC4C4CCCCC4)C3)CC2)CC1,0,0
C1CCC(CC2CCCCCC23CCC2C(CCC2C2CCCCC2)C3)CC1,0,0
C1CCC(C2CCC3CC4C(CCCC45CCCC5)CC32)CC1,2,1
C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1,0,0
C1CCC(C2CCC3CC4(CCCCCC4C4CCCCC4)CCC32)CC1,0,0
C1CCC(C2CCC3C(CCC3C3CCCCC3)C2)CC1,40,1
C1CCC(CCC2CCC3C(CCC4CC(C5CCCCC5)CCC43)C2)CC1,0,0
C1CCC(C2CCC3CC4C(CCCC45CCCCC5)CC32)CC1,0,0
C1CCC(C2CCC3CC(C4CCC(CCC5CCCC5)CC4)CCC32)CC1,0,0
C1CCC(C2CCC3CC4C(CCC5C6CCCC6CCC45)CC32)CC1,112,1
C(CC1CCC2CCCC2C1)CC1CCC2CCC(C3CCCC4CCCC43)CC2C1,0,0
C1CCC(CCC2CCC3C(CCC3C3CCCC3)C2)CC1,2,1
C1CCC(C2CCC3CC4(CCCCC4C4CCCCC4)CCC32)CC1,0,0
C1CCC2CC(C3CCCC3)CCC2C1,110,1
C1CCC2CC(C3CCC4CCCCC43)CCC2C1,33,1
C1CCC(C2CCC3CCC4(CCCCC4)C3C2)CC1,1,1
C1CCC(C2CCC3CC4C(CC5CC6CCCCC6C5)CCCC4CC32)CC1,0,0
C1CCC(C2CCC3CCC(C4CCCC4)C3C2)C1,4,1
C1CCC(C2CCC3C(CCC4CCCCC43)C2)C1,12,1
