name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
Molpher_mean,dis,csk,823977.8,-,0.5166824,0.1248147,0.0045887
REINVENT_mean,dis,csk,820040.6,-,0.4684867,0.1181308,0.0043522
DrugEx_GT_epsilon_0.1_mean,dis,csk,809233.2,-,0.5454662,0.172969,0.0049153
DrugEx_GT_epsilon_0.6_mean,dis,csk,907474.4,-,0.6796488,0.2948155,0.007886
DrugEx_RNN_epsilon_0.1_mean,dis,csk,797636.8,-,0.3873683,0.090468,0.005051
DrugEx_RNN_epsilon_0.6_mean,dis,csk,891065.4,-,0.6201674,0.097631,0.0174689
GB_GA_mut_r_0.01_mean,dis,csk,969946.6,-,0.7253465,0.054053,0.01572
GB_GA_mut_r_0.5_mean,dis,csk,952574.4,-,0.7645041,0.0446908,0.0155806
GB_GA_log_p_mut_r_0.01_mean,dis,csk,999951.8,-,0.5069747,0.1554679,0.0031347
GB_GA_log_p_mut_r_0.5_mean,dis,csk,999970.6,-,0.4474278,0.1139184,0.0042831
addcarbon_mean,dis,csk,1000000.0,-,0.0334034,0.0008568,0.001827
