name,type_cluster,scaffold,USo,SSo,TUPOR,TUPOR_unique,TUPOR_1,TUPOR_2,SESY,ASER,CwASo
Molpher_mean,dis,csk,"100,068.0","823,977.8",0.5166824,0.0538186,0.0001575,0.3603848,0.1248147,0.0045887,"3,041.2"
REINVENT_mean,dis,csk,"169,670.2","964,580.2",0.5598258,0.0336605,0.0001213,0.5168347,0.17588,0.013492,"13,023.4"
DrugEx_GT_mean,dis,csk,"242,118.8","891,906.4",0.6958651,0.0287198,0.0001539,1.0107321,0.2714466,0.0088309,"7,851.4"
DrugEx_GT_epsilon_0.1_mean,dis,csk,"140,428.0","809,233.2",0.5454662,0.0391558,0.0001301,0.5112839,0.172969,0.0049153,"4,063.2"
DrugEx_GT_epsilon_0.6_mean,dis,csk,"267,648.0","907,474.4",0.6796488,0.0253171,0.0001466,1.0550337,0.2948155,0.007886,"7,186.4"
DrugEx_RNN_mean,dis,csk,"110,595.8","868,587.2",0.6659216,0.0594897,0.0001514,0.4508043,0.1272517,0.0181425,"16,078.4"
DrugEx_RNN_epsilon_0.1_mean,dis,csk,"72,000.6","797,636.8",0.3873683,0.0526946,0.0001055,0.2202237,0.090468,0.005051,"3,941.0"
DrugEx_RNN_epsilon_0.6_mean,dis,csk,"87,100.4","891,065.4",0.6201674,0.0714605,0.0001391,0.3515092,0.097631,0.0174689,"15,682.2"
GB_GA_mean,dis,csk,"2,710.0","9,998.0",0.197592,0.7448879,0.0040486,0.2802681,0.2710566,0.0108207,108.2
addcarbon_mean,dis,csk,856.8,"1,000,000.0",0.0334034,0.3837167,6.4e-06,0.0001478,0.0008568,0.001827,"1,827.0"
