unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(CCCC2(CCC3CCCC3)CCC3C4CCC5CCCCC5C4CCC32)C1,26,1
C1CCC(CCC2(CCCC3CCC4CCCCC4C3)CCC3C4CCC5CCCCC5C4CCC32)C1,27,1
C1CCC(CCCC2(CCC3CCCC3)CCC3C4CCC5CCCCC5C4CCC32)CC1,106,1
C1CCC(CCCCC2C3CCCCC3CCC2C2CCCC3CCCC32)CC1,20,1
C(CC1CCC(C2CCCC2)CC1)CC1CCC2CCCC2C1,3,1
C1CCC(CCC2CCC3C2CCC2C4CCCCC4CCC32)C1,205,1
C1CCC(CCC2CCC(C3CCCC4C(C5CCCCC5)CCC34)C2)CC1,1,1
C1CCC(C2CCC3CC4C(CCCC5CC5)CCCC4CC32)CC1,7,1
C1CCC(C2CCC(CCCCCC3(C4CCCC4)CCCC4CCCCC43)C2)CC1,1,1
C1CCC(CCCC(CC2CCC3C(CCC3C3CCCCC3)C2)C2CCCCC2)CC1,613,1
C1CCC(CCCCC2CCC3CCC(C4CCCC5CCCC54)CC3C2)CC1,153,1
C1CCC(CCC(CC2CC3CCCCC3C2)C2CCCC2)CC1,13,1
C1CCC(C2CC3C(CCC4CC4)CCC3C3CCC4CCCCC4C23)CC1,5,1
C(CCC1CCC2C(CCC3C4CCCC4CCC23)C1)CC1CCC(C2CCC(C3CC4CCCC4C4CCC5CCCCC5C34)CC2)CC1,0,0
C1CC2CCC3C(CCC4CCC5CC5C43)C2C1,0,0
C1CCC(C2CCC3C(CCC34CCCC4)C3CCC4CCCCC4C23)CC1,0,0
C1CCC(CC2CCCC2CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,21,1
C1CCC(C2CC3C(CCC34CCCC4)C3CCC4CCCCC4C23)CC1,1,1
C1CCC(C2CCCCC2CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,42,1
C1CCC(C2CCC(CC3CC4CCCCC4C4CCC5CCCCC5C34)CC2)CC1,6,1
C1CCC(C2CCC3CC4(CCCCC4C4CCCCC4)CCC32)CC1,0,0
C1CCC2CC(C3CCCC3)CCC2C1,81,1
C1CCC2CC(C3CCC4CCCCC43)CCC2C1,69,1
C1CCC(C2CCC3CCC4(CCCCC4)C3C2)CC1,0,0
C1CCC(C2CCC3CC4C(CC5CC6CCCCC6C5)CCCC4CC32)CC1,16,1
C1CCC(C2CCC3CCC(C4CCCC4)C3C2)C1,0,0
C1CCC(C2CCC3C(CCC4CCCCC43)C2)C1,16,1
C1CCC(CCCCC2CCCC3CCCC23)CC1,1875,1
C(CCC1CCC2CCCCC2C1)CCC1CCCC2CCCC12,57,1
C(CCC1CCCC1)CCC1CCCC2CCCCC12,46,1
C1CCC(CCCCCC2CCCC3C2CCC3C2CCCC(CC3CC3)C2)CC1,2,1
C1CCC(CCC(CCC2CCCCC2)CCC2CCC3CCCC3C2)CC1,49,1
C(CCC1CCCCC2CCCCC12)CC1CCC2CCCCC2C1,12,1
C1CCC(CCC2CCCC3CCC(C4CCCC5CCCC54)CC23)CC1,149,1
C(CCCC1CCC(C2CCCCC2)C1)CCC1CCCCC1,540,1
