unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(CCCC23CCCC2CC2C4CCC5CCCCC5C4CCC23)C1,16,1
C1CCC2CC(CCCC3CCC4C3CCC3C5CCCCC5CCC43)CCC2C1,221,1
C1CCC2C(C1)CCC1C3CCCCC3CCC21,4912,1
C1CCC(CCC2CCC3C(CCC4CCCCC43)C2)CC1,1146,1
C1CCC(C2CCC(CCCC3CCC4C3CCC3C5CCCCC5CCC43)C2)CC1,17,1
C1CCC2C(C1)CCCC2CCCC1CCC2C1CCC1C3CCCCC3CCC21,198,1
C1CCC(CCCCC2CCC3C2CCC2C4CCCCC4CCC32)CC1,465,1
C1CCC(C2CC3CCCCC3C3CCC(CCC4CCCC4)CC23)CC1,16,1
C(CCC1(C2CCCC2)CCCC2CCCCC21)CC1CCC2CCCCC2C1,6,1
C1CCC(CCC(CC2CCC3C(CCC3C3CCCCC3)C2)C2CCCCC2)CC1,238,1
C1CCC(CCC2CCC3C(CCC3C3CCCC(CC4CCCC4)C3)C2)CC1,17,1
C(CCCCC1CCC2C(CCC3C4CCCC4CCC23)C1)CCCC1CCCC(CC(CC2CCC(CC3CCCCC3)CC2)C2CCCCC2)C1,0,0
C1CCC(CC23CCCCC2CCC2C4CCCC4CCC23)CC1,79,1
C1CCC2C(C1)CC(C1CCCC1)C1CCCCC21,171,1
C1CCC2C(C1)CCCC2CC1CC2CCCCC2C2CCC3CCCCC3C12,21,1
C1CCC(C2CCCC(CC3CC4CCCCC4C4CCC5CCCCC5C34)C2)C1,9,1
C1CCC(CCC2CC3CCCC3C3CCC4CCCCC4C23)CC1,500,1
C1CCC(CC2CCCC(CC3CC4CCCCC4C4CCC5CCCCC5C34)C2)CC1,18,1
C1CCC(CC2CC3CCCCC3C2C2CCCCC2)CC1,43,1
C1CCC(C2C3CCCC3CC3CC4CCCC4CC32)CC1,0,0
C1CCC(C2CCC3C(CCC3C3CCCCC3)C2)CC1,1381,1
C1CCC(CCC2CCC3C(CCC4CC(C5CCCCC5)CCC43)C2)CC1,57,1
C1CCC(C2CCC3CC4C(CCCC45CCCCC5)CC32)CC1,287,1
C1CCC(C2CCC3CC(C4CCC(CCC5CCCC5)CC4)CCC32)CC1,29,1
C1CCC(C2CCC3CC4C(CCC5C6CCCC6CCC45)CC32)CC1,1589,1
C(CC1CCC2CCCC2C1)CC1CCC2CCC(C3CCCC4CCCC43)CC2C1,3,1
C1CCC(CCC2CCC3C(CCC3C3CCCC3)C2)CC1,296,1
C1CCC(CCCCCC2CCC3CCCC3C2)CC1,901,1
C1CCC2C(C1)CCCC2CCCC1CCCC2CCCCC21,133,1
C1CCC(CCC2CCC(CCC3CCCCC3)CC2)CC1,678,1
C1CCC(CCCCC2CCC3CCCCC3C2)CC1,2212,1
C1CCC(CCCCCC2CCCCC2)CC1,4286,1
C1CCC(CCC(CC2CC3CCCCC3C2)C2CC2)CC1,16,1
C1CCC(CCCC2CCCC3CCC(C4CCCC5CCCC54)CC23)CC1,220,1
C1CCC(CCCCC2CCCC3CCC(C4CCCCC4)CC23)CC1,7,1
