unique_scaffold_recall,count_of_occurrence,unique_indicator
C(CCCCCCC1CCC2C1CCC1C3CCCCC3CCC21)CCCCCC1CCC(CCC2CCC(CCC3CCCC3)C2)C1,0,0
C1CCC2CC(CCCC3CCC4C3CCC3C5CCCCC5CCC43)CC2C1,1,1
C1CCC2C(C1)CCC1C3CCCC3CCC21,47,1
C1CCC(CCC2(CCCC3CC4CCCCC4C3)CCC3C4CCC5CCCCC5C4CCC32)C1,0,0
C1CCC(CCCC2CC3CCCCC3C2C2CCCCC2)CC1,0,0
C1CCC(C2CCC3CC4C(CCC5C6CCC(CCCC7CC8CCCCC8C7)C6CCC45)CC32)CC1,1,1
C1CCC2C(C1)CCC1CCCCC12,35,1
C1CCC(CCCC2CCC3CCC(C4CCCC5CCCC54)CC3C2)CC1,0,0
C1CCC(CCCCCC2CCC3C(CCC3C3CCCCC3)C2)CC1,2,1
C1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1,0,0
C1CCC(CC(CC2CCCCC2)C2CCCCC2)CC1,0,0
C1CCC(CCC(CCC2CCC3CCCC3C2)CC2CCCCC2)CC1,0,0
C1CCC(CCC2CCC(CCC3CCCC(CC4CCCC4)C3)CC2)CC1,0,0
C1CCC(C2CCC3CC4C(CC5CCC6CCCCC65)CCCC4CC32)CC1,54,1
C1CCC2C(C1)CC(C1CCCC3CCCC31)C1CCCC21,0,0
C1CCC(C2CC3CCCC3C3CCC4CCCCC4C23)CC1,2,1
C1CCC(C2CCC(C3CC4CCCC4C4CCC5CCCCC5C34)CC2)C1,0,0
C1CC(C2CCC(C3CC4CCCC4C4CCC5CCCCC5C34)CC2)C1,0,0
C1CCC2C(C1)CCC1C2CCC2C3CCCC3CC21,0,0
C1CCC(CCC2CCC3C(CCC4C5CCCC5CC(CCC5CCCCC5)C34)C2)CC1,0,0
C1CCC(C2CC3CCCCC3C3CCCCC23)CC1,2,1
C1CCC(C2CCC3C(CCC4CCCCC43)C2)CC1,1,1
C1CCC(CC2CCC3C(CCC3C3CCCCC3)C2)CC1,5,1
C1CCC(CCC2CCC(C3CCC4C(CCC4C4CCCCC4)C3)CC2)CC1,0,0
C1CCC2CC(C3CCCC4CCCC43)CCC2C1,1,1
C1CCC(CCC2CCC3C(CCC3C3CCCCC3)C2)CC1,43,1
C1CCC(C2CCC3(CCC4CC5C(CCC5C5CCCCC5)CC43)C2)CC1,1,1
C1CCC(C2CCC(CCCCCC3(C4CCCCC4)CCC3)C2)CC1,0,0
C1CCC(C2CCC3CC4CCCCC4CC32)CC1,1554,1
C1CCC(CCCCC2CCC3CCCCC23)CC1,5,1
C1CCC(C2CCC3C(CCCCCC4CC4)CCCC23)CC1,2,1
C1CCC(C2CCC3C(CCCCCC4CCC(C5CCCC5)C4)CCCC23)CC1,0,0
C(CCC1CCCC2CCCCC12)CC1CCCC2CCCCC12,0,0
C(CCC1CCCC2CCCC12)CC1CC2CCCCC2C1,1,1
C(CCC1CCCC2CCCCC12)CC1CCC2CCCCC2C1,2,1
C(CCCC1CCCCC1)CCCC1CCC(C2CCCCC2)C1,0,0
C1CCC(CCCCC2CC3CCCCC3C2)CC1,2,1
C1CCC(CCCCCC2CCCC3C(C4CCCCC4)CCC23)CC1,2,1
