unique_scaffold_recall,count_of_occurance,uniq_occurance
C1=C2CCCC(Cc3csc4ccccc34)C2Cc2cnn(-c3ccccc3)c21,2,1
O=C1CNc2c(cc(-c3cccc4nccn34)c3c2CCC3)C1,0,0
O=C1CNc2c(cc(-c3cccn4nccc34)c3c2CCC3)C1,0,0
O=C1CNc2c(cc(-c3cccc4nncn34)c3c2CCC3)C1,0,0
O=C1CNc2c(cc(-c3cncc4nccn34)c3c2CCC3)C1,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccccc1)CC1CCCC13,0,0
O=C1CCC2=C3C(c4ccccc4)CC4CCCC4C3CCC2C1,0,0
O=C1C=C2CCC3C4CCCC4CC(c4ccccc4)C3C2CC1,1,1
O=C1C=C2CCC3C(=C2CC1)C(C1CCCCC1)CC1CCCC13,0,0
O=C1C=C2COC3C(=C2CC1)C(c1ccccc1)CC1CCCC13,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccc(N2CCCC2)cc1)CC1CCCC13,0,0
O=C1C=C2CCC3C4CCCC4CC(c4ccc(-n5cccc5)cc4)C3C2CC1,0,0
O=C1C=C2CCC3C4CCCC4CC(c4ccc(N5CCCC5)cc4)C3C2CC1,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccc(C2COC2)cc1)CC1CCCC13,0,0
O=C1C=C2CCC3C(CCC4C3CC3OCOC34)C2CC1,1,1
O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,338,1
O=C(Nc1cccnc1)c1ccc2c(c1)CCC1C3CCCC3CC(OCc3ccccc3)C21,10,1
c1ccc(C2Oc3ccccc3-c3ccccc32)cc1,0,0
O=C1C=C2COC3C(=C2CC1)C(c1ccccc1)CC1C(C#Cc2ccsc2)CCC31,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccc(NCC2CCCC(=O)O2)cc1)CC1CCCC13,0,0
C1=CC(C2Oc3ccccc3-c3ccc4c(c32)C=CCN4)CCC1,0,0
C1=Cc2c(ccc3c2C(c2ccccc2)Oc2ccccc2-3)NC1,1,1
C1=CC(C2Oc3ccccc3-c3ccc4c(c32)C=CCN4)CC1,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccc(-c2ccccc2)cc1)CC1CCCC13,0,0
O=C1C=C2CCC3C4CCCC4CC(c4ccc(N5CCOCC5)cc4)C3C2CC1,0,0
O=C1C=C2CCC3C4CCCC4CC(c4ccc(N5CCNCC5)cc4)C3C2CC1,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccc(N2CCOCC2)cc1)CC1CCCC13,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccc(N2CCS(=O)(=O)CC2)cc1)CC1CCCC13,0,0
O=C1C=C2COC3C(=C2CC1)C(c1ccccc1)CC1C(C#Cc2ccccc2)CCC31,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccc2ocnc2c1)CC1CCCC13,0,0
C1=Cc2c(ccc3c2C(=Cc2cccc(-c4cccnc4)c2)Oc2ccccc2-3)NC1,0,0
