unique_scaffold_recall,count_of_occurance,uniq_occurance
C1=CC2CC(c3ccccc3)CCC2c2ccccc21,1,1
c1ccc(C2CCC3c4ccccc4CCC3C2)cc1,15,1
O=C1CC2CC(c3ccccc3)CCC2c2ccccc21,3,1
c1ccc2c(c1)CCC1CC(c3ccncc3)CCC21,10,1
c1cncc(C2CCC3c4ccccc4CCC3C2)c1,24,1
c1ccc(-n2ncc3cc(Cc4ccncc4)ccc32)cc1,1,1
c1ccc(Cc2ccc3c(cnn3-c3ccccc3)c2)cc1,16,1
O=S(=O)(Nc1ccccc1)c1ccc(-c2ccc3c(cnn3-c3ccccc3)c2)cc1,0,0
O=S(=O)(Nc1ccc(-c2ccc3c(cnn3-c3ccccc3)c2)cc1)c1ccccc1,0,0
c1cc(-c2ccc3c(c2)CCCN3)c2[nH]ccc2c1,174,1
c1cc(-c2ccc3c(c2)CCCN3)c2cc[nH]c2c1,1,1
N=C1CCNc2ccc(-c3cccc4cc[nH]c34)cc21,0,0
O=C1CNc2ccc(-c3cccc4cc[nH]c34)cc2C1,1,1
c1ccc(COc2ccc3c(cnn3-c3ccccc3)c2)cc1,34,1
O=c1ccc(-n2ncc3cc(OCc4ccccc4)ccc32)c[nH]1,0,0
O=c1[nH]cccc1-n1ncc2cc(OCc3ccccc3)ccc21,0,0
c1ccc(-n2ncc3cc(OCc4cccnc4)ccc32)cc1,2,1
O=c1ncc(-n2ncc3cc(OCc4ccccc4)ccc32)c[nH]1,0,0
c1ccc(COc2ccc3c(cnn3-c3cccnc3)c2)cc1,0,0
C1=C2CCC3(OCC(c4ccccc4)O3)C2Cc2cnn(-c3ccccc3)c21,0,0
O=C(NCCCC1(c2ccccc2)CCC1)c1cnn(-c2ccccc2)c1,0,0
C1=C2CCCCC2Cc2cnn(-c3ccccc3)c21,2,1
c1ccc(-c2c[nH]c3ccccc23)cc1,24,1
c1ccc(-n2ncc3ccccc32)cc1,1742,1
C1=C2CCCC(Cc3ccccc3)C2Cc2cnn(-c3ccccc3)c21,0,0
C1=C2CCCC(Cc3cccnc3)C2Cc2cnn(-c3ccccc3)c21,0,0
C1=C2CCCC(Cc3ccncc3)C2Cc2cnn(-c3ccccc3)c21,0,0
O=C(NC1CCOC1)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCCO5)ccc32)c1,0,0
O=C(NC1CCOC1)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCOC5)ccc32)c1,0,0
O=C(NC1CCCC1)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCCO5)ccc32)c1,0,0
O=C(NC1CCS(=O)(=O)C1)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCCO5)ccc32)c1,0,0
O=C(NC1CCCC1)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCOC5)ccc32)c1,0,0
O=C(NC1CCOC1=O)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCCO5)ccc32)c1,0,0
O=C(NC1CC[SH+]C1)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCOC5)ccc32)c1,0,0
C1=C2CCCC(Cc3ccsc3)C2Cc2cnn(-c3ccccc3)c21,0,0
C1=C2CCCC(Cc3ccoc3)C2Cc2cnn(-c3ccccc3)c21,0,0
C1=C2CCCC(Cc3cccs3)C2Cc2cnn(-c3ccccc3)c21,0,0
C1=C2CCC3(OC(c4ccccc4)C(c4ccccc4)O3)C2Cc2cnn(-c3ccccc3)c21,0,0
c1ccc(-n2ncc3cc(OCc4ccc5c(c4)OCCO5)ccc32)cc1,5,1
c1ccc(-n2ncc3cc(OCc4cnc5ccccc5c4)ccc32)cc1,0,0
c1ccc(-n2ncc3cc(OCc4ccc5c(c4)OCOC5)ccc32)cc1,12,1
c1ccc(-n2ncc3cc(OCc4ccc5c(c4)COCO5)ccc32)cc1,4,1
c1ccc(-n2ncc3cc(OCc4ccc5ccccc5c4)ccc32)cc1,0,0
c1ccc(CCCCc2cc3cc(N4CCOCC4)ncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3nc(-c4ccccc4)ncc3[nH]2)cc1,3,1
c1ccc(CCCCc2cc3cc(-c4ccccc4)ncc3[nH]2)cc1,4,1
c1ccc(CCCCc2cc3nc(-c4cccnc4)ncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3nc(N4CCOCC4)ncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3cc(-c4ccccc4)nnc3[nH]2)cc1,0,0
O=S1(=O)CCN(c2ncc3[nH]c(CCCCc4ccccc4)cc3n2)CC1,0,0
c1ccc(-n2ncc3cc(OCc4ccc5c(c4)OCC5)ccc32)cc1,0,0
C1=C2CCC3(OCCO3)C2Cc2cnn(-c3ccccc3)c21,0,0
C1=C2CCCC3(OC(c4ccccc4)C(c4ccccc4)O3)C2Cc2cnn(-c3ccccc3)c21,0,0
O=S(=O)(Cc1ccccc1)Nc1ccc(-c2ccc3c(cnn3-c3ccccc3)c2)cc1,0,0
C1=CC2(CCCCCC2Cc2ccccc2)Cc2cnn(-c3ccccc3)c21,0,0
C1=C2CCCC3(OCCO3)C2Cc2cnn(-c3ccccc3)c21,0,0
C1=C2CCC3(OCCCO3)C2Cc2cnn(-c3ccccc3)c21,0,0
C1=CC2(CCCCCC2c2ccccc2)Cc2cnn(-c3ccccc3)c21,0,0
c1ccc(-c2ccc3c(cnn3-c3ccccc3)c2)cc1,24,1
O=C(Oc1ccc2c(c1)C(=O)CC1CC(c3ccccc3)CCC21)c1ccccc1,0,0
c1ccc(C2CCC3c4ccc(OCc5cccnc5)cc4CCC3C2)cc1,0,0
C1=C2CCCC3(OCCCO3)C2Cc2cnn(-c3ccccc3)c21,0,0
O=S(=O)(Nc1ccc(-c2ccc3c(cnn3-c3ccccc3)c2)cc1)c1ccsc1,0,0
C1=C2CCC3C4CCCC4CCC3C2Cc2cnn(C3CCCCC3)c21,0,0
C1=C2CCC3C4CCCC4CCC3C2Cc2cnn(-c3ccccc3)c21,0,0
O=C(Nc1ccc2c(c1)OCO2)OC1CNc2ccc(-c3cccc4cc[nH]c34)cc2C1,0,0
c1ccc(COc2ccc3c(cnn3-c3ccns3)c2)cc1,0,0
C1=CC2(CCCCC2c2ccccc2)Cc2cnn(-c3ccccc3)c21,0,0
C1=CC2(CCCC=C2c2ccccc2)Cc2cnn(-c3ccccc3)c21,0,0
O=C1CNc2ccc(-c3cccs3)cc2C1,0,0
O=C1CNc2ccc(-c3cnoc3)cc2C1,0,0
c1ccc2c(-c3ccc4c(c3)CCCN4)c[nH]c2c1,1,1
C1=Nc2ccc(-c3ccccc3)cc2C12CCCCC2,0,0
C1=C2CCCC(Cc3cc4ccccc4s3)C2Cc2cnn(-c3ccccc3)c21,0,0
S=c1[nH]c2ccc(-c3ccc[nH]3)cc2n1C1CCCC1,0,0
c1ccc2c(c1)CCC1CC(c3nccs3)CCC21,0,0
