unique_scaffold_recall,count_of_occurance,uniq_occurance
O=S(=O)(NCCOc1ccc2c(cnn2-c2ccccc2)c1)c1ccccc1,27,1
c1ccc(CN(Cc2ccc(Oc3ccccc3)cc2)c2ccccc2)cc1,0,0
c1ccc(CN(Cc2ccccc2)c2ccccc2)cc1,3,1
O=C1OCc2cc(NC(=O)C(CCc3ccccc3)Cc3ccccc3)ccc21,0,0
O=C1OCc2cc(NC(=O)C(CCc3ccccc3)CC3CCCCC3)ccc21,0,0
O=C1OCc2cc(NCC(CCc3ccccc3)Cc3ccccc3)ccc21,0,0
O=C1CC(C(=O)N2CCCC(OC(=O)c3ccc(OCc4ccccc4)cc3)C2)CO1,0,0
O=C1CC(C(=O)N2CCCC(NC(=O)c3ccc(OCc4ccccc4)cn3)C2)CO1,0,0
O=C1CCC(C(=O)N2CCCC(NC(=O)c3ccc(OCc4ccccc4)cn3)C2)O1,0,0
O=C1CC(C(=O)N2CCCC(NC(=O)c3ccc(OCc4ccccc4)cc3)C2)CO1,0,0
O=C(NCC(Oc1ccc2c(cnn2-c2ccccc2)c1)c1ccccc1)C1CC1,0,0
O=S(=O)(NCC(Oc1ccc2c(cnn2-c2ccccc2)c1)c1ccccc1)C1CC1,0,0
O=C(NCC(Oc1ccc2c(cnn2-c2ccccc2)c1)c1cccnc1)C1CC1,0,0
O=C(CCCc1ccc(Oc2ccc(CN(Cc3ccccc3)c3ccccc3)cc2)cc1)NCCOC1CCC2C(CCC3C4CCCC4CCC23)C1,0,0
O=C(Nc1ccc2c(=O)oncc2c1)C(CCc1ccccc1)CC1CCCCC1,0,0
O=C(Nc1ccc2c(=O)oncc2c1)C(CCc1ccccc1)Cc1ccccc1,0,0
O=C1CC(C(=O)N2CCCC(OC(=O)c3ccc(OC(CNC(=O)C4CCCO4)c4ccc(C5CC5)cc4)cc3)C2)CO1,0,0
O=C(NCC(Oc1ccc2c(cnn2-c2ccccc2)c1)c1ccccc1)c1ncon1,0,0
O=C(NCC(Oc1ccc2c(cnn2-c2ccccc2)c1)c1ccccc1)c1nnco1,0,0
O=C(Nc1cccnc1)c1ccc2c(c1)CCC1C2CCC2CCCC21,0,0
O=C(c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCCO5)ccc32)c1)N1CCCC1,0,0
O=C(c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCOC5)ccc32)c1)N1CCCC1,0,0
O=C(NCCCNC(=O)c1cnn(-c2ccccc2)c1)c1ccc2[nH]ccc2c1,0,0
O=C(NC1CCS(=O)(=O)C1)c1cccc(-n2ncc3cc(OCc4ccccc4)ccc32)c1,0,0
O=C(NC1CCOC1=O)c1cccc(-n2ncc3cc(OCc4ccccc4)ccc32)c1,0,0
O=C1CC(C(=O)N2CCCC(OC(=O)c3ccc(OCc4ccc(C5CC5)cc4)cc3)C2)CO1,0,0
O=C(CCC1(C2CCCC2)CCCc2ccccc21)Nc1ccc2c(=O)oncc2c1,0,0
c1ccc(CCC(Oc2ccc3c(cnn3-c3ccccc3)c2)c2cccnc2)cc1,0,0
O=C(c1cccc(-n2ncc3cc(OCc4ccccc4)ccc32)c1)N1CCCC1,0,0
O=C(CCCc1cccc(CN(Cc2ccc(Oc3ccccc3)cc2)c2ccccc2)c1)NCCOC1CCC2C(CCC3C4CCCC4CCC23)C1,0,0
O=C(NCCCC1(C2CCCC2)CCCc2ccccc21)c1cnn(-c2ccccc2)c1,0,0
O=C(NCC(Oc1ccc2c(cnn2-c2ccccc2)c1)c1ccccc1)c1ccccc1,0,0
O=C(NCc1ccccc1)OC1CNc2ccc(-c3cccc4cc[nH]c34)cc2C1,0,0
c1ccc(CCC(Cc2cc3ccncc3[nH]2)C2CCCC2)cc1,0,0
