unique_scaffold_recall,count_of_occurrence,unique_indicator
O=S(=O)(NCCn1ccc2ccccc21)c1ccccc1,0,0
c1ccc(CCCCn2ccc3ncccc32)cc1,0,0
O=S(=O)(NCCc1c[nH]c2ccccc12)c1ccccc1,0,0
c1ccc(CCCCn2cnc3ccccc32)cc1,0,0
O=S(=O)(NCCNc1cccc2c1cnn2-c1ccccc1)C1CC1,0,0
O=S(=O)(NCCNc1cccc2c1cnn2-c1ccccc1)c1cnn(C2CCCC2)c1,0,0
O=S(=O)(NCCNc1cccc2c1cnn2-c1cccnc1)c1cnn(C2CCCC2)c1,0,0
O=S(=O)(NCCNc1cccc2c1cnn2-c1cncnc1)c1cnn(C2CCCC2)c1,0,0
c1ccc2c(c1)CCCC2CCCNc1cccc2ncccc12,0,0
c1ccc2c(c1)CCCC2CCCNc1cccc2cnccc12,0,0
c1cc(CCCCc2cc3ccncc3[nH]2)c2c(c1)CCO2,0,0
c1cc(CCCCc2cc3ccccc3[nH]2)c2c(c1)CCO2,0,0
c1cc(CCCCc2cc3ncncc3[nH]2)c2c(c1)CCO2,0,0
O=C(CCC1CCCc2ccccc21)Nc1ccc2c(=O)oncc2c1,0,0
O=C(CCC1CCOc2ccccc21)Nc1ccc2c(=O)oncc2c1,0,0
O=C(NCCCNC(=O)c1cnn(-c2ccccc2)c1)c1ccccc1,0,0
O=C(NCCCNS(=O)(=O)c1ccccc1)c1cnn(-c2ccccc2)c1,0,0
O=C(NCCCNC(=O)c1cnn(-c2ccccc2)c1)c1cccnc1,0,0
c1ccc(CCCCc2cc3ccccc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3cnncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3cnccc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3ccncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3cncnc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3ncncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3nnccc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3ccncc3s2)cc1,0,0
c1ccc(CCCCc2cc3cccnc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3ccncc3o2)cc1,0,0
c1ccc(CCCCc2cc3nccnc3[nH]2)cc1,0,0
O=S(=O)(NCCNc1cccc2c1cnn2-c1ccccc1)c1ccccc1,0,0
O=S(=O)(NCCNc1cccc2c1cnn2-c1cccnc1)c1ccccc1,0,0
O=S(=O)(NCCNc1cccc2c1cnn2-c1cncnc1)c1ccccc1,0,0
O=S(=O)(NCCSc1cccc2c1cnn2-c1ccccc1)c1ccccc1,0,0
O=S(=O)(NCCCc1cccc2c1cnn2-c1ccccc1)c1ccccc1,0,0
O=S(=O)(NCCOc1cccc2c1cnn2-c1ccccc1)c1ccccc1,0,0
c1ccc(CNc2cccc3ncccc23)cc1,0,0
O=S(=O)(NCCc1ccccc1)c1ccccc1,0,0
c1ccc(CCCCc2ccccc2)cc1,0,0
O=C1CCN(CCCCc2ccccc2)CC1,0,0
c1ccc(CCCCN2CCOCC2)cc1,0,0
