unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1C=CC2C(=C1)CCC1C2CCC2C(OC(=O)NC3CCCC3)CCC21,4,1
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5nccs5)CCC43)C2CC1,18,1
O=C(COc1ccc2ccccc2n1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(CSc1cnc2ccccc2n1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,1,1
O=C(CSc1ccc2ccccc2c1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(COc1ccc2ccccc2c1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(CSc1ccc2ccccc2n1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,1,1
O=C(COc1cnc2ccccc2n1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(CSc1nc2ccccc2c(=O)[nH]1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccccc1)OCC1C(C#Cc2ccccc2)CCC31,0,0
O=C(CSc1ccccn1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(CSc1ncccn1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(CSc1ccccn1)C1CCC2C1CCC1C3Cc4cnn(C5CCCCC5)c4C=C3CCC12,0,0
c1ccc(OCc2cnc(C3CC3)nc2)cc1,0,0
O=C(CSc1nccc2ccccc12)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,1,1
O=C(NCc1ccccc1)c1cnc2[nH]ncc2c1,6,1
O=C(NCc1cccnc1)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCCO5)ccc32)c1,1,1
O=C(NCc1cccnc1)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCOC5)ccc32)c1,0,0
O=C(NCc1ccccc1)c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCOC5)ccc32)c1,0,0
O=C(Nc1cccnc1)c1ccc2c(c1)CCC1C2CCC2CCCC21,60,1
O=C(c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCCO5)ccc32)c1)N1CCCC1,7,1
O=C(c1cccc(-n2ncc3cc(OCc4ccc5c(c4)OCOC5)ccc32)c1)N1CCCC1,1,1
O=C(NCCCNC(=O)c1cnn(-c2ccccc2)c1)c1ccc2[nH]ccc2c1,0,0
O=C(NC1CCS(=O)(=O)C1)c1cccc(-n2ncc3cc(OCc4ccccc4)ccc32)c1,0,0
O=C(NC1CCOC1=O)c1cccc(-n2ncc3cc(OCc4ccccc4)ccc32)c1,3,1
O=C1CC(C(=O)N2CCCC(OC(=O)c3ccc(OCc4ccc(C5CC5)cc4)cc3)C2)CO1,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccc(NCCOC2CCC4C(CCC5C6CCCC6CCC45)C2)cc1)CC1CCCC13,0,0
