unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSCCNC(=S)NCCNC(=O)c3cc(NC(=O)c4cc(NC(=O)c5ncc[nH]5)c[nH]4)c[nH]3)CCC21,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3nc4ccccc4o3)CCC21,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3nc4ccccc4s3)CCC21,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3nc4ncccc4o3)CCC21,0,0
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5nc6ccccc6s5)CCC43)C2CC1,0,0
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5nc6ccccc6o5)CCC43)C2CC1,0,0
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5nc6ncccc6s5)CCC43)C2CC1,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3nc4ccccc4[nH]3)CCC21,0,0
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5nc6ccccc6[nH]5)CCC43)C2CC1,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3nc4ncccc4[nH]3)CCC21,0,0
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5nc6ncccc6o5)CCC43)C2CC1,0,0
O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,1712,1
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,1209,1
O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,56,1
O=C1C=CC2C(=C1)CCC1C2CCC2C1CCC2(OC(=O)c1ccco1)C(=O)CSc1nc2ccccc2s1,0,0
O=C1C=C2CCC3C(CCC4C3CCC4(OC(=O)c3ccco3)C(=O)CSc3nc4ccccc4s3)C2CC1,0,0
O=C1C=C2CCC3C(CCC4C3CCC4(OC(=O)c3ccco3)C(=O)CSc3nc4ccccc4o3)C2CC1,0,0
O=C1C=C2CCC3C(CCC4C3CCC4(OC(=O)c3ccco3)C(=O)CSc3nc4ccccc4[nH]3)C2CC1,0,0
O=C1C=C2CCC3C(CCC4C3CCC4(OC(=O)c3ccco3)C(=O)CSc3nc4ncccc4s3)C2CC1,0,0
c1ccc(CNCc2[nH]c3ccccc3c2-c2ccccc2)cc1,0,0
O=C(COc1nc2ccccc2s1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(COc1nc2ccccc2[nH]1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(CSc1nc2ncccc2o1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(CSc1nc2ccccc2[nH]1)C1CCC2C1CCC1C3Cc4cnn(-c5ccccc5)c4C=C3CCC12,0,0
O=C(CSc1nc2ccccc2o1)C1CCC2C1CCC1C3Cc4cnn(C5CCCCC5)c4C=C3CCC12,0,0
O=C(CSc1nc2ccccc2s1)C1CCC2C1CCC1C3Cc4cnn(C5CCOCC5)c4C=C3CCC12,0,0
c1ccc2c(c1)CCC1CCCCC21,777,1
c1ccc2c(c1)COc1ccccc1-2,336,1
O=C(Nc1ccccc1)OC1CNc2ccc(-c3cccc4cc[nH]c34)cc2C1,13,1
O=C(NC1CCCCC1)OC1CNc2ccc(-c3cccc4cc[nH]c34)cc2C1,0,0
O=S(=O)(NCCOc1ccc2c(cnn2-c2ccccc2)c1)c1ccccc1,2,1
