unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12C(=O)CSC1CCOC1=O,0,0
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5cnc6ccccc6n5)CCC43)C2CC1,119,1
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5ccc6ccccc6n5)CCC43)C2CC1,13,1
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3cnc4ccccc4n3)CCC21,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3ccc4ccccc4n3)CCC21,8,1
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3ncc4ccccc4n3)CCC21,0,0
C1=Cc2c(ccc3c2COc2ccccc2-3)NC1,32,1
c1cncc(COc2ccc3c(c2)CCC2CCCCC32)c1,0,0
c1cc(COc2ccc3c(c2)CCC2CCCCC32)ccn1,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3nnc(-c4ccccc4)o3)CCC21,0,0
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5nnc(-c6ccccc6)o5)CCC43)C2CC1,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3nccc4ccccc34)CCC21,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3ncnc4ccccc34)CCC21,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(OC(=O)NCc3ccccc3)CCC21,0,0
O=S(=O)(Nc1ccc2c(c1)C(c1ccccc1)Oc1ccccc1-2)c1cccs1,0,0
O=C(CCC1(C2CCCC2)CCCc2ccccc21)Nc1ccc2c(=O)oncc2c1,0,0
c1ccc(CCC(Oc2ccc3c(cnn3-c3ccccc3)c2)c2cccnc2)cc1,0,0
O=C(c1cccc(-n2ncc3cc(OCc4ccccc4)ccc32)c1)N1CCCC1,139,1
O=C(CCCc1cccc(CN(Cc2ccc(Oc3ccccc3)cc2)c2ccccc2)c1)NCCOC1CCC2C(CCC3C4CCCC4CCC23)C1,0,0
O=C1C=C2CCC3C(=CCC4CCCC43)C2(Cc2ccccc2)CC1,57,1
c1csc(C2Oc3ccccc3-c3ccccc32)c1,173,1
c1ccc2c(c1)OC(c1ccsc1)c1ccccc1-2,0,0
C1=Cc2c(ccc3c2C(=Cc2cccc4c2OCOC4)Oc2ccccc2-3)NC1,0,0
C1=Cc2c(ccc3c2C(=Cc2cccc(-c4ccsc4)c2)Oc2ccccc2-3)NC1,0,0
O=C1C=C2CCC3C4CCCC4CC(OCc4ccccc4)C3C2CC1,0,0
C1=Cc2c(ccc3c2C(=Cc2cccc(Oc4ccccc4)c2)Oc2ccccc2-3)NC1,0,0
c1ccc(Cc2[nH]c3ccccc3c2-c2ccccc2)cc1,1,1
O=C1OCC2Cc3cc4c(cc3C(c3ccccc3)C12)OCO4,0,0
c1ccc(-c2ccc3c(cnn3-c3ccccc3)c2)cc1,213,1
O=C(Oc1ccc2c(c1)C(=O)CC1CC(c3ccccc3)CCC21)c1ccccc1,0,0
c1ccc(C2CCC3c4ccc(OCc5cccnc5)cc4CCC3C2)cc1,0,0
C1=C2CCCC3(OCCCO3)C2Cc2cnn(-c3ccccc3)c21,0,0
O=S(=O)(Nc1ccc(-c2ccc3c(cnn3-c3ccccc3)c2)cc1)c1ccsc1,0,0
C1=C2CCC3C4CCCC4CCC3C2Cc2cnn(C3CCCCC3)c21,0,0
C1=C2CCC3C4CCCC4CCC3C2Cc2cnn(-c3ccccc3)c21,0,0
O=C(Nc1ccc2c(c1)OCO2)OC1CNc2ccc(-c3cccc4cc[nH]c34)cc2C1,0,0
c1ccc(COc2ccc3c(cnn3-c3ccns3)c2)cc1,0,0
O=C(CCCc1ccccc1)Nc1ccc2c(c1)COC2=O,1320,1
O=c1ccn(CCCC2CCCc3ccccc32)c2ccccc12,8,1
c1ccc2c(c1)CCCC2CCCc1ccnc2ccccc12,1,1
O=C(NC1CCCCC1)c1ccc(OCc2ccccc2)cn1,0,0
O=C(Nc1ccccc1)c1ccc(OCc2ccccc2)cn1,0,0
O=S(=O)(NCCc1ccc2ccccc2c1)c1ccccc1,0,0
O=S(=O)(NCCSc1ccccc1)c1ccccc1,0,0
O=S(=O)(NCCCc1ccccc1)c1ccccc1,8,1
O=S(=O)(NCCOc1ccccc1)c1ccccc1,19,1
O=S(=O)(NCCNc1ccccc1)c1ccccc1,34,1
c1ccc(CCC(Cc2cc3cnccc3[nH]2)C2CC2)cc1,1,1
c1ccc(CCC(Cc2cc3ccncc3[nH]2)C2CC2)cc1,10,1
c1ccc(CON=C2CCNc3ccc(-c4cccc5cc[nH]c45)cc32)cc1,0,0
C1=C(CSCCc2ccccc2)c2cc(-c3ccccc3)ccc2NC1,0,0
