unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1C=C2CCC3C(CCC4C3CCC4(OC(=O)c3ccco3)C(=O)CSc3nccs3)C2CC1,15,1
O=C1C=C2CCC3C(CCC4C3CCC4(OC(=O)c3ccco3)C(=O)CSc3cnc4ccccc4n3)C2CC1,0,0
O=C1C=C2CCC3C(CCC4C3CCC4(OC(=O)c3ccco3)C(=O)CSc3ccc4ccccc4n3)C2CC1,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C1CCC2(OC(=O)c1ccco1)C(=O)CSc1ncccn1,0,0
O=C1C=C2CCC3C(CCC4C3CCC4(OC(=O)c3ccco3)C(=O)CSc3ncccn3)C2CC1,0,0
C(=NOCc1ccccc1)c1c(-c2cccc3cc[nH]c23)ccc2c1CCCN2,0,0
O=C(NCc1ccc(-c2cnoc2)cc1)c1cnc2[nH]ncc2c1,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(OC(=O)c3ccco3)CCC21,0,0
O=S(=O)(NC1CCN(c2cccc3c2cnn3-c2ccccc2)C1)c1ccccc1,0,0
C1=C2CCCC(CCCC3CC3)C2Cc2cnn(-c3ccccc3)c21,0,0
O=C(NCCCC1(C2CCCC2)CCCc2ccccc21)c1cnn(-c2ccccc2)c1,0,0
O=C(NCC(Oc1ccc2c(cnn2-c2ccccc2)c1)c1ccccc1)c1ccccc1,0,0
O=C(NCc1ccccc1)OC1CNc2ccc(-c3cccc4cc[nH]c34)cc2C1,3,1
c1ccc(CCC(Cc2cc3ccncc3[nH]2)C2CCCC2)cc1,1,1
O=C1C=C2CCC3C4CCC(C#CC5CC5)C4CC(c4ccccc4)C3C2CC1,4,1
O=C1C=C2COC3C(=C2CC1)C(c1ccccc1)CC1C(C#CC2CC2)CCC31,0,0
O=C1C=C2CCC3C(=C2CC1)C(c1ccc(-c2ccc(OCCOC4CCC5C(CCC6C7CCCC7CCC56)C4)cc2)cc1)CC1CCCC13,0,0
O=C1C=C2C=CC3C4CCCC4CCC3C2C2CC12,0,0
C=C1CCOC12CCC1C3CCC4=CC(=O)CCC4=C3C(c3ccccc3)OCC12,0,0
O=C(c1ccsc1C=C1Oc2ccccc2-c2ccc3c(c21)C=CCN3)N1CCCCC1,0,0
C=C1OC=NC12CCC1C3CCC4=CC(=O)CCC4=C3C(c3ccccc3)CC12,0,0
C1=Cc2c(ccc3c2C(=Cc2ccccc2-c2ccccc2)Oc2ccccc2-3)NC1,0,0
C1=Cc2c(ccc3c2C(=Cc2ccc(-c4ccccc4)cc2)Oc2ccccc2-3)NC1,2,1
C1=CC2(CCCCC2c2ccccc2)Cc2cnn(-c3ccccc3)c21,0,0
C1=CC2(CCCC=C2c2ccccc2)Cc2cnn(-c3ccccc3)c21,0,0
O=C1CNc2ccc(-c3cccs3)cc2C1,0,0
O=C1CNc2ccc(-c3cnoc3)cc2C1,4,1
c1ccc2c(-c3ccc4c(c3)CCCN4)c[nH]c2c1,1,1
C1=Nc2ccc(-c3ccccc3)cc2C12CCCCC2,0,0
C1=C2CCCC(Cc3cc4ccccc4s3)C2Cc2cnn(-c3ccccc3)c21,0,0
S=c1[nH]c2ccc(-c3ccc[nH]3)cc2n1C1CCCC1,0,0
c1ccc2c(c1)CCC1CC(c3nccs3)CCC21,0,0
O=c1ccn(CCCCc2cccc3c2OCC3)cc1,78,1
O=C(CCCc1cccc2c1OCC2)Nc1ccc2c(=O)oncc2c1,0,0
O=C(NCCCC1CCCc2ccccc21)c1ccn[nH]1,0,0
O=S(=O)(NCCNc1cccc2c1cnn2-c1cccc(NC2CC2)c1)c1ccccc1,0,0
O=C1OCc2cc(NC(=O)C(CCc3ccccc3)CCc3ccccc3)ccc21,3,1
O=C(CCC1CCCCc2ccccc21)Nc1ccc2c(=O)oncc2c1,2,1
c1ccc(ON=C2CCNc3ccc(-c4cccc5cc[nH]c45)cc32)cc1,0,0
O=C(NCCCCc1ccccc1)c1cnn(-c2ccccc2)c1,21,1
