unique_scaffold_recall,count_of_occurance,uniq_occurance
c1ccc(CN2Cc3ccccc3-c3ccccc32)cc1,141,1
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSCCNC(=S)NCCCNCCCNC(=O)CCNC(=O)c3cc(NC(=O)c4ncc[nH]4)c[nH]3)CCC21,0,0
O=C(Nc1cnccn1)c1ccc2c(c1)CCC1CCCCC21Cc1ccccc1,0,0
O=C(Nc1cccnc1)c1ccc2c(c1)C(=O)CC1CCCCC21Cc1ccccc1,0,0
O=C(Nc1cccnc1)c1ccc2c(c1)CCC1CCCCC21Cc1ccccc1,0,0
O=C(Nc1ccc[nH+]c1)c1ccc2c(c1)CCC1CCCCC21Cc1ccccc1,0,0
O=C(Nc1cncnc1)c1ccc2c(c1)CCC1CCCCC21Cc1ccccc1,0,0
O=C(Nc1cccnc1)c1ccc2c(c1)C=CC1CCCCC21Cc1ccccc1,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(OC(=O)NC34CC5CC(CC(C5)C3)C4)CCC21,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3ccccn3)CCC21,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(OC(=O)NC3CCCCC3)CCC21,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSc3ncccn3)CCC21,0,0
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5ccccn5)CCC43)C2CC1,21,1
O=C1C=C2CCC3C(CCC4C(C(=O)CSc5ccccc5)CCC43)C2CC1,144,1
O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12SC1CCOC1=O,0,0
O=C1C=C2CCC3C(CCC4C3CC3OCOC34SC3CCOC3=O)C2CC1,0,0
O=C(NCc1cccnc1)c1ccc2c(c1)CCC1CCCCC21Cc1ccccc1,0,0
O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)CSCCNC(=S)NCCNC(=O)c3cc(NC(=O)c4cnc[nH]4)c[nH]3)CCC21,0,0
O=C(NCC(Oc1ccc2c(cnn2-c2ccccc2)c1)c1ccccc1)C1CC1,199,1
