name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ACR,CwASo
Molpher_mean,sim,murcko,0.0,0.11980827231961211,-,0.5221422307032506,0.4186678800044022,0.39122883195831515,1.0000000000000002,0.46767922235722964
REINVENT_mean,sim,murcko,0.8098734640535146,0.0,-,0.19360954501209507,0.9826690363984892,0.02246718865995262,0.0,0.0
DrugEx_GT_epsilon_0.1_mean,sim,murcko,0.5723246903470882,0.08352511124554063,-,0.2929279787203284,0.8096741235469103,0.9095569593657641,0.20759193357058126,1.0
DrugEx_GT_epsilon_0.6_mean,sim,murcko,1.0,0.5144527709665825,-,1.0,0.9999999999999999,0.38835740198618907,0.6204033214709374,0.5368570271364925
DrugEx_RNN_epsilon_0.1_mean,sim,murcko,0.3975435414579438,0.18187542652197042,-,0.08187450005300642,0.6738443040199478,0.05486532293081953,0.0,0.06605913325232887
DrugEx_RNN_epsilon_0.6_mean,sim,murcko,,0.42070081999857933,-,0.8905779628184,0.700471591963718,0.2368719622371941,,
GB_GA_mut_r_0.01_mean,sim,murcko,,0.8416653570513635,-,0.7899574984820885,0.4027948928117952,1.0,,
GB_GA_mut_r_0.5_mean,sim,murcko,,0.7468154820209554,-,0.831274178159424,0.3820129798665876,0.9872116313924334,,
GB_GA_log_p_mut_r_0.01_mean,sim,murcko,,0.9998471517481748,-,0.20672063684814138,0.6620518767586142,0.0,,
GB_GA_log_p_mut_r_0.5_mean,sim,murcko,,0.9997330537573763,-,0.1711026300825936,0.5379303831048196,0.1713893518972448,,
addcarbon_mean,sim,murcko,,1.0,-,0.0,0.0,0.19015869903211796,,
