TSNE1,TSNE2,set_label
59.11949,-58.8956,IS
63.74445,-75.14454,IS
76.228485,-60.818478,IS
62.22962,-59.79335,IS
51.363075,-71.702675,IS
59.492287,-59.140068,IS
62.571804,-76.65777,IS
71.21268,-28.699142,IS
61.77169,-60.312294,IS
52.247295,-47.347713,IS
59.460617,-52.136635,IS
75.51345,-60.77804,IS
74.01983,-62.893875,IS
73.66753,-61.977905,IS
27.467524,-52.96693,IS
76.36622,-59.958344,IS
61.867863,-59.304535,IS
71.02812,-26.974993,IS
70.61071,-40.834923,IS
72.23839,-62.213856,IS
63.754852,-75.58988,IS
64.51652,-77.20314,IS
70.82035,-26.781815,IS
76.73829,-44.75961,IS
26.759426,-55.792915,IS
60.494297,-56.995007,IS
57.685234,-54.367706,IS
74.10131,-61.371086,IS
85.200325,-38.504772,IS
57.533886,-54.65748,IS
70.16734,-40.728535,IS
52.544292,-51.48888,IS
75.136894,-44.154327,IS
70.170685,-40.731205,IS
71.190125,-27.001152,IS
28.030897,-52.091125,IS
74.75688,-44.795094,IS
60.256115,-71.812294,IS
75.14448,-44.25582,IS
26.880075,-60.61608,IS
56.749046,-49.620243,IS
48.386673,-68.65733,IS
47.81158,-62.876293,IS
32.692883,-68.53048,IS
78.32812,-34.178974,IS
27.56262,-54.737446,IS
57.601566,-72.94367,IS
57.78976,-72.936134,IS
60.207672,-57.290478,IS
52.4435,-65.22209,IS
70.96547,-26.967052,IS
26.809381,-61.261265,IS
51.794086,-64.30395,IS
90.30789,-40.683693,IS
87.590355,-38.786053,IS
51.79697,-66.11797,IS
75.13578,-44.15429,IS
33.10215,-68.304565,IS
71.73432,-25.957901,IS
86.165825,-36.855812,IS
60.3782,-56.879383,IS
56.85947,-54.20959,IS
87.51197,-38.76546,IS
47.81138,-62.87565,IS
71.25458,-68.60428,IS
58.93911,-72.25976,IS
58.12545,-72.72889,IS
90.76023,-42.721596,IS
72.19368,-46.608055,IS
90.42562,-40.740154,IS
27.466227,-52.967495,IS
89.813126,-40.033524,IS
32.79649,-68.17952,IS
91.02108,-41.400097,IS
51.79258,-64.29904,IS
23.509954,-54.7332,IS
71.21423,-28.698751,IS
87.104515,-39.0316,IS
90.2274,-40.55526,IS
26.879765,-60.617287,IS
90.108376,-40.792652,IS
91.818085,-41.055607,IS
36.902313,-79.86346,IS
27.23515,-52.19988,IS
27.56244,-54.736294,IS
56.270576,-49.99332,IS
87.32008,-37.394146,IS
78.327354,-34.179523,IS
33.355118,-68.36068,IS
86.033745,-40.091022,IS
33.30817,11.512427,IS
71.447136,-48.350956,IS
91.47725,-40.59609,IS
57.70356,-72.89283,IS
56.173325,-50.992035,IS
71.6724,-48.566593,IS
85.94806,-40.01232,IS
49.759796,-69.03787,IS
53.109077,-48.653316,IS
23.672623,-54.368095,IS
53.933983,-49.006947,IS
23.508917,-54.73473,IS
56.850067,-67.544556,IS
48.385822,-68.658585,IS
23.672709,-54.368774,IS
50.455666,-68.63361,IS
54.749046,-50.453148,IS
86.06889,-40.04105,IS
70.77738,-44.439045,IS
26.807138,-61.263203,IS
59.65781,-51.72895,IS
41.181522,-78.598625,IS
41.159145,-78.37883,IS
43.88919,-85.72885,IS
52.876488,-48.164543,IS
44.98984,-86.20872,IS
22.388792,-56.315517,IS
42.82831,-80.76104,IS
43.907967,-84.795555,IS
67.17247,-31.678946,IS
44.197388,-86.20283,IS
40.890896,-79.22332,IS
22.276262,-63.23822,IS
20.969233,-56.967876,IS
30.479574,-60.020126,IS
66.44348,-31.09368,IS
42.408703,-73.64966,IS
71.38305,-47.15936,IS
52.86094,-60.58945,IS
20.44374,-56.056297,IS
20.926945,-56.850433,IS
32.66557,-53.27662,IS
27.467985,-52.967216,IS
22.27552,-63.23626,IS
56.578453,-54.114998,IS
35.22794,-65.841415,IS
25.31375,-63.046055,IS
34.75587,-64.98762,IS
53.85844,-60.14977,IS
63.753822,-75.58707,IS
66.7058,-31.546482,IS
21.526598,-55.488323,IS
30.212496,-60.077442,IS
20.570587,-56.721626,IS
26.8088,-61.265644,IS
29.748217,-56.88775,IS
31.022713,-58.27217,IS
20.779215,-65.36574,IS
41.049534,-25.2918,IS
27.561108,-54.737114,IS
29.739622,-57.513283,IS
29.60465,-57.665096,IS
32.665833,-53.27307,IS
30.626709,-62.75503,IS
60.18144,-71.18867,IS
74.0979,-61.370255,IS
22.892643,-61.832935,IS
59.539143,-51.87164,IS
56.536774,-48.336384,IS
64.83418,-75.89545,IS
60.17941,-71.1826,IS
50.795235,-71.81194,IS
26.880697,-60.61808,IS
44.882122,11.462459,IS
54.8785,8.2065,IS
58.171535,-13.451708,IS
54.645084,6.446259,IS
56.487476,-13.530584,IS
40.693886,10.95236,IS
46.613453,12.70872,IS
62.988064,-13.465882,IS
67.64465,9.156961,IS
67.44834,9.346562,IS
42.842903,-28.501959,IS
68.34184,5.903905,IS
43.60197,-27.809448,IS
56.84782,-2.581574,IS
38.786427,19.912487,IS
43.672176,-27.20307,IS
42.693233,25.804434,IS
38.63997,20.219013,IS
42.863354,26.110508,IS
42.32963,24.365572,IS
52.57919,25.109045,IS
42.237633,24.400093,IS
42.229362,24.36113,IS
52.287632,26.471788,IS
42.92,23.944149,IS
43.090324,24.985643,IS
42.6703,23.851042,IS
42.529915,23.85416,IS
42.293446,22.738552,IS
41.53125,19.252312,IS
55.308132,-2.118005,IS
52.511677,29.130428,IS
54.176037,-9.971715,IS
51.621292,-9.939446,IS
64.66312,-40.407757,IS
58.319355,-39.545673,IS
64.189354,-46.767063,IS
64.066635,-46.85817,IS
22.782833,-52.53257,IS
58.405884,-34.165535,IS
64.143616,-47.852932,IS
60.906967,-42.239815,IS
63.22007,-40.85185,IS
21.843771,-51.728256,IS
21.258163,-52.333237,IS
63.55673,-44.26988,IS
64.090866,-42.84073,IS
20.340837,-51.7873,IS
62.440357,-33.352283,IS
62.4447,-32.434036,IS
58.527683,-41.68821,IS
65.3564,-36.56677,IS
-44.73162,87.71474,IS
-44.612385,87.01812,IS
-48.73619,73.28064,IS
-49.555183,84.90695,IS
-49.002514,85.31814,IS
-44.534157,87.16133,IS
-45.1701,87.35716,IS
-46.792576,80.81479,IS
-48.61859,85.07522,IS
-50.998905,88.56879,IS
-48.42629,84.93173,IS
-49.09999,88.55649,IS
-44.748623,85.811905,IS
-45.07025,83.22749,IS
