TSNE1,TSNE2,set_label
58.12602,27.826889,IS
49.513916,43.32263,IS
54.387012,26.42855,IS
47.7316,42.752388,IS
56.204956,23.770466,IS
51.01294,22.578142,IS
49.41881,24.882317,IS
47.058613,42.797737,IS
52.509495,26.037918,IS
54.667362,29.077791,IS
51.810673,23.938522,IS
54.11826,29.043972,IS
53.582123,23.436264,IS
48.349564,41.15719,IS
60.90841,31.64989,IS
-61.00297,-72.74458,IS
-64.210655,-60.796043,IS
-59.11365,-65.81436,IS
-64.57602,-65.27785,IS
-60.746025,-67.153725,IS
-56.128216,-78.44493,IS
-53.482944,-75.49557,IS
-51.259354,-84.18922,IS
-39.845367,-59.087425,IS
-52.925297,-60.425163,IS
-49.158157,-61.142338,IS
76.963486,49.3447,IS
75.18866,49.90839,IS
73.77401,49.103264,IS
69.78312,43.046806,IS
72.99155,51.810085,IS
-66.41081,-47.985294,IS
35.29742,-105.77356,IS
47.970592,79.55096,IS
47.08159,80.437904,IS
48.838146,81.093994,IS
58.351433,78.42624,IS
62.309002,77.22382,IS
49.411022,90.60706,IS
49.760445,80.87506,IS
49.618027,77.7635,IS
51.412037,83.05785,IS
60.415115,78.30045,IS
49.51758,90.71942,IS
64.09349,76.83756,IS
47.291615,89.455246,IS
-84.509476,47.026264,IS
-55.025047,76.93387,IS
47.459812,61.290707,IS
-14.581077,-96.62637,IS
-45.177242,-82.37998,IS
43.94113,-53.442875,IS
43.113605,-52.387897,IS
28.514404,-65.25197,IS
-41.47442,-83.49588,IS
-44.150967,-85.1983,IS
-28.242393,-94.893936,IS
-28.95017,-95.04834,IS
-39.6088,-99.94559,IS
-31.484201,-89.1527,IS
-27.845047,-97.68544,IS
-30.255228,-92.83242,IS
-32.394714,-95.73129,IS
-30.996244,-99.35456,IS
-39.609863,-99.94637,IS
-27.237595,-94.55233,IS
-38.450947,-93.58118,IS
-43.8092,-87.6244,IS
-39.88248,-85.48543,IS
-36.61065,-94.58739,IS
-33.206314,-82.097824,IS
-33.655838,-91.127625,IS
-31.754208,-80.72316,IS
70.6351,41.265667,IS
49.577057,-93.13294,IS
49.686726,-92.118484,IS
50.734642,-95.383675,IS
50.733,-95.38181,IS
49.54238,-95.6743,IS
-27.799978,-74.101776,IS
-19.949184,-75.94297,IS
-18.51202,-75.66576,IS
-25.876245,-75.71563,IS
-21.408924,-74.98532,IS
-23.693954,-84.31549,IS
-14.591603,-77.82722,IS
-24.663536,-84.348656,IS
-28.574638,-80.06052,IS
56.33004,-67.11521,IS
15.70245,98.88064,IS
67.554634,41.495735,IS
70.47096,53.87208,IS
69.27832,53.529114,IS
59.708584,86.88328,IS
56.190712,87.36526,IS
56.39534,94.00517,IS
25.06872,96.650955,IS
76.96417,-55.53016,IS
-20.757517,-78.791595,IS
-91.42399,-4.554274,IS
-69.4758,53.692097,IS
89.64555,57.074432,IS
-11.460973,-88.60957,IS
-20.833435,-79.14055,IS
59.76004,35.750202,IS
63.37146,37.94552,IS
66.84318,34.833496,IS
-22.727116,-94.26386,IS
77.10775,44.675472,IS
15.701316,-98.852745,IS
16.775936,-100.27849,IS
16.236494,-100.876396,IS
16.814724,-100.03572,IS
16.430666,-99.74207,IS
-41.481895,87.06626,IS
-38.93693,84.8442,IS
-34.57667,88.14915,IS
-33.32681,89.11408,IS
-80.26193,-29.694464,IS
-78.91763,-30.749966,IS
-78.91576,-30.750671,IS
33.165783,-75.7266,IS
-75.846504,-49.684345,IS
-87.06132,-51.81214,IS
-82.013664,-51.647167,IS
-81.813644,-52.266712,IS
-87.3635,-51.72068,IS
-79.48748,-43.261467,IS
-83.471695,-43.81405,IS
-81.93141,-44.09411,IS
28.64685,89.971535,IS
-31.276451,93.14043,IS
-30.21774,96.0628,IS
-31.361715,79.045135,IS
-31.093996,83.447395,IS
-5.952467,98.4635,IS
44.587925,-31.56047,IS
-42.850124,84.90082,IS
-41.512806,85.32838,IS
-41.507195,86.92593,IS
-38.79909,84.84546,IS
-93.180466,-21.751375,IS
-95.23855,-22.306816,IS
3.3587902,97.90287,IS
-0.5700918,104.94509,IS
0.0028124987,105.91563,IS
-4.738745,104.674515,IS
-5.140794,105.00576,IS
1.6080524,105.347694,IS
-0.9898343,86.38596,IS
20.669971,-63.006077,IS
22.484068,-69.00509,IS
23.122149,-66.67247,IS
-21.732496,88.25325,IS
-20.239853,88.76546,IS
-15.434383,98.07137,IS
-21.734028,88.25329,IS
-14.063644,98.062805,IS
-17.47185,89.61911,IS
-17.974833,89.354034,IS
-6.0493,86.62305,IS
-7.037369,89.659706,IS
10.941469,86.79285,IS
56.229122,-82.40956,IS
56.233727,-82.40982,IS
56.229122,-82.40956,IS
55.863472,-75.68328,IS
53.91562,-77.40983,IS
-28.410646,97.69349,IS
-28.823523,96.54677,IS
-7.878962,93.754745,IS
-9.332565,93.35066,IS
16.132145,-103.1233,IS
17.50694,-98.90224,IS
-99.756744,-1.6000445,IS
-31.5998,79.03401,IS
-31.109478,83.434616,IS
-76.20923,-57.9051,IS
-80.583046,-60.00049,IS
-80.47257,-60.42719,IS
-79.04578,-56.37384,IS
-77.520424,-49.544563,IS
-80.25714,-52.32312,IS
