UMAP1,UMAP2,set_label
7.171673,8.200404,IS
7.591074,9.619197,IS
6.8643227,9.337901,IS
7.1963835,8.226551,IS
7.234592,8.937044,IS
6.990265,8.302729,IS
7.5478024,9.562548,IS
5.566254,8.751925,IS
7.2535167,8.2714615,IS
7.033981,7.8877883,IS
6.5728693,8.452674,IS
6.7871704,9.400008,IS
6.716444,9.246839,IS
6.6967335,9.288137,IS
7.3610077,7.235046,IS
6.901014,9.322283,IS
7.1186676,8.219538,IS
5.520452,8.810688,IS
6.093853,8.646526,IS
6.7510023,9.302232,IS
7.6071734,9.555597,IS
7.583301,9.526758,IS
5.447766,8.902643,IS
6.206226,9.067148,IS
7.385175,7.1295996,IS
7.1416826,8.343452,IS
6.866663,8.5182495,IS
6.741245,9.388195,IS
5.6734085,9.137965,IS
6.845349,8.491547,IS
6.17334,8.653044,IS
6.8041787,7.947213,IS
6.1920676,9.124209,IS
6.1564045,8.640255,IS
5.42671,8.859983,IS
7.343659,7.3065653,IS
6.1499887,9.278703,IS
7.3857613,9.27049,IS
6.1439195,9.185108,IS
7.4921975,7.272657,IS
6.625528,8.208737,IS
7.2712235,8.745825,IS
6.7429237,8.961282,IS
7.309776,8.777111,IS
5.9093895,8.846881,IS
7.27733,7.2727885,IS
7.397121,9.282571,IS
7.434317,9.305334,IS
7.1879416,8.24452,IS
7.064052,8.833436,IS
5.434568,8.816296,IS
7.440684,7.3036113,IS
7.071452,8.735631,IS
5.615825,9.047777,IS
5.5949736,9.135922,IS
7.14528,8.87757,IS
6.1472073,9.158965,IS
7.3804374,8.907182,IS
5.456104,8.838514,IS
5.6245217,9.105457,IS
7.115654,8.289431,IS
6.855714,8.606022,IS
5.5635543,9.262488,IS
6.782037,9.08639,IS
6.88525,8.821858,IS
7.460105,9.320334,IS
7.4009395,9.295037,IS
5.642699,9.0176115,IS
6.190377,8.739423,IS
5.650804,9.0313,IS
7.3176003,7.25891,IS
5.767533,9.031742,IS
7.2591043,8.741997,IS
5.71592,8.985107,IS
7.0718484,8.755786,IS
7.2640047,7.0365205,IS
5.5482807,8.718982,IS
5.6117177,9.075171,IS
5.6189885,9.011042,IS
7.4709673,7.2829766,IS
5.7034254,8.996719,IS
5.689958,8.993928,IS
7.763937,8.628936,IS
7.3699517,7.2907767,IS
7.255421,7.3613424,IS
6.693084,8.008186,IS
5.5958815,9.157588,IS
5.862014,8.814439,IS
7.352498,8.835591,IS
5.698868,9.090669,IS
6.0794315,5.662959,IS
