UMAP1,UMAP2,set_label
8.793897,10.212315,IS
9.48782,11.439488,IS
9.654166,10.786134,IS
8.533516,10.399665,IS
9.111025,11.226092,IS
8.808343,10.261256,IS
9.48132,11.403919,IS
10.634715,9.679608,IS
8.558008,10.309619,IS
8.571229,9.7935705,IS
9.198373,10.009951,IS
9.5778675,10.791609,IS
9.637709,10.833685,IS
9.591188,10.781272,IS
8.169573,9.25952,IS
9.641568,10.8325615,IS
8.654697,10.254863,IS
10.710826,9.713925,IS
9.826088,10.088146,IS
9.535368,10.770474,IS
9.549773,11.489952,IS
9.437342,11.404816,IS
10.732748,9.743419,IS
10.08824,10.369449,IS
8.0678625,8.945048,IS
8.777527,10.182018,IS
9.091036,10.3822565,IS
9.599254,10.83357,IS
10.884495,10.074312,IS
8.90721,10.35976,IS
9.632397,10.166749,IS
8.787101,10.178938,IS
10.0959,10.3342,IS
9.690185,10.206418,IS
10.686808,9.675219,IS
8.09063,9.339923,IS
10.077386,10.315531,IS
9.2205925,11.107637,IS
10.039296,10.294706,IS
7.989724,9.522969,IS
8.980724,9.839188,IS
8.988043,10.706802,IS
9.154703,10.550938,IS
9.109935,11.591592,IS
10.381232,9.926096,IS
8.189768,9.201494,IS
9.228847,11.1496,IS
9.201584,11.176586,IS
8.692471,10.268896,IS
8.936247,10.781207,IS
10.674247,9.709599,IS
8.081116,9.439273,IS
8.991506,10.651037,IS
10.842334,10.216018,IS
10.929853,10.204646,IS
8.877711,10.821991,IS
10.069562,10.287795,IS
9.161451,11.644281,IS
10.7126255,9.706905,IS
10.851532,10.105194,IS
8.714994,10.267619,IS
9.257154,10.340437,IS
10.864769,10.154193,IS
9.306429,10.497874,IS
9.531321,10.788142,IS
9.19914,11.115436,IS
9.190686,11.161297,IS
10.672475,10.299266,IS
9.867861,10.1114435,IS
10.80124,10.192647,IS
8.171565,9.259569,IS
10.770727,10.222222,IS
9.087683,11.642962,IS
10.820543,10.256759,IS
9.022727,10.614179,IS
8.512386,9.168725,IS
10.645042,9.663856,IS
10.88735,10.117539,IS
10.858506,10.194733,IS
8.033707,9.461349,IS
10.820712,10.204259,IS
10.775372,10.220027,IS
8.35191,11.147218,IS
8.138354,9.325313,IS
8.21263,9.194406,IS
8.993797,9.807472,IS
10.788909,10.113407,IS
10.444169,9.914002,IS
9.116497,11.611424,IS
10.877816,10.009429,IS
9.105409,7.8188853,IS
9.736461,10.195882,IS
10.735441,10.171705,IS
9.201932,11.165562,IS
8.754804,9.858404,IS
9.81768,10.15749,IS
10.785221,10.080561,IS
8.984187,10.729543,IS
8.616929,9.700876,IS
8.432459,9.03973,IS
8.732799,9.683802,IS
8.543328,9.205057,IS
8.955493,11.112351,IS
9.001989,10.676745,IS
8.412919,9.038327,IS
9.030812,10.538831,IS
8.6942005,9.723283,IS
10.90097,10.084788,IS
9.710259,10.222655,IS
8.109506,9.468527,IS
9.130756,9.937173,IS
8.330467,11.197668,IS
8.337047,11.275331,IS
8.269583,11.640257,IS
8.606235,9.702779,IS
8.272619,11.501467,IS
8.348759,9.197086,IS
8.431931,11.253466,IS
8.358292,11.509626,IS
9.99606,9.500862,IS
8.261113,11.534511,IS
8.396923,11.275077,IS
8.032188,9.167261,IS
8.338083,9.097495,IS
8.120275,9.593679,IS
10.0073595,9.583336,IS
8.567937,11.075023,IS
9.728597,10.256462,IS
9.602194,10.375501,IS
8.402696,9.138674,IS
8.354646,9.160035,IS
8.266063,9.365699,IS
8.192057,9.230678,IS
8.028145,9.126974,IS
9.300038,10.41227,IS
8.870631,10.56877,IS
8.041187,9.254462,IS
8.945407,10.585376,IS
9.4174795,10.448503,IS
9.472128,11.397261,IS
9.914759,9.535972,IS
8.398634,9.111517,IS
8.236399,9.470936,IS
8.355822,9.117873,IS
8.075088,9.452954,IS
8.186579,9.429796,IS
8.378015,9.347561,IS
7.83005,8.972434,IS
