unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)C3CCCC23)CC1,466,1
C1CCC(CCCC2CCC3CCCC23)CC1,84,1
C1CCC(C2CC(CCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,471,1
C1CCC(C2CC(CCCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,348,1
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCC4C3)CC2)CC1,100,1
C1CCC(C2CCC(C3CCCCC3CCC34CC(C3)C4)CC2)CC1,1,1
C1CCC(CCCC2CCC(CCCCC3CCC4CCCCC34)CC2)CC1,11,1
C1CCC(C2CCCCC2CCC2CC3CCCCC3C2)CC1,51,1
C1CCC(CCCCC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,564,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCC3C4)CC2)CC1,27,1
C1CCC(CCC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,1683,1
C1CCC(CCCC2CCC3CCC23)CC1,43,1
C1CCC(CCCCC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,338,1
C1CCC(C2CC(CCC3CCC(C4CC4)CC3)C(C3CCCCC3)C3CCCC23)CC1,15,1
C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)CC2)CC1,299,1
C1CCC(CCCC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,926,1
C1CCC(C2CCC(C3CCCCC3CC3CCC(C4CC4)CC3)CC2)CC1,16,1
C1CCC(CCCC2CCC3C(CCC4CCCCC4)CC23)CC1,3,1
C1CCC(CCCC2CCC3C(CC4CCC5CCCCC5C4)CCC23)CC1,0,0
C1CCC(C2CC(CCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,926,1
C1CCC(CCCC2CCCC3CCC23)CC1,624,1
C1CCC(C2CCC(CC3CCCCC3C3CCC(C4CCCCC4)CC3)CC2)CC1,63,1
C1CCC(CCCC2CCC3C(CC4CCCC5CCCCC54)CCC23)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CCC3CCCC3)C3CCCC23)CC1,729,1
C1CCC(CCCCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,881,1
C1CCC(C2CCC(C3CCCCC3CCC3CCCC3)CC2)CC1,522,1
C1CCC(C2CC2CCCCC2CCCC2)CC1,4,1
C1CCC(CCCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,1159,1
C1CCC(C2CC(CCCC3CC3)C(C3CCCCC3)C3CCCC23)CC1,118,1
C1CCC(CCC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,938,1
C1CCC(CCCC2C(CCC3CCCC3)CC3CCC32)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCCC4C3)CC2)CC1,68,1
C1CCC(C2CCC(C3CCCCC3CC3CCC3)CC2)CC1,151,1
C1CCC(C2CCC(C3CCCCC3CCC3CC3)C3CCCC23)CC1,127,1
C1CCC(CCCCC2CCC3CCCC23)CC1,60,1
C1CCC(C2CCC(C3CCCCC3CCC3CCC3)C3CCCC23)CC1,175,1
C1CCC(CCCC2C(CC3CCCCC3)CC3CCC32)CC1,1,1
C1CCC(C2CC(CCC3CC3)C(C3CCCCC3)C3CCCC23)CC1,98,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCC(C4)C3)CC2)CC1,5,1
C1CCC(C2CCC(C3CCCCC3CC3CCC(C4CCCCC4)C3)CC2)CC1,30,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCCC4C3)CC2)CC1,43,1
C1CCC(CCCC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,605,1
C1CCC(C2CC(CCCCC3CC3)C(C3CCCCC3)C3CCCC23)CC1,85,1
C1CCC(CCCC2CCC(CCCC3CCC(CCCCC4CCC5CCCCC45)CC3)CC2)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CCC3CC3)CC2)CC1,77,1
