unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)C3CCCC23)CC1,319,1
C1CCC(CCCC2CCC3CCCC23)CC1,2,1
C1CCC(C2CC(CCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,1329,1
C1CCC(C2CC(CCCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,88,1
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCC4C3)CC2)CC1,196,1
C1CCC(C2CCC(C3CCCCC3CCC34CC(C3)C4)CC2)CC1,3,1
C1CCC(CCCC2CCC(CCCCC3CCC4CCCCC34)CC2)CC1,0,0
C1CCC(C2CCCCC2CCC2CC3CCCCC3C2)CC1,0,0
C1CCC(CCCCC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,29,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCC3C4)CC2)CC1,59,1
C1CCC(CCC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,286,1
C1CCC(CCCC2CCC3CCC23)CC1,0,0
C1CCC(CCCCC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,91,1
C1CCC(C2CC(CCC3CCC(C4CC4)CC3)C(C3CCCCC3)C3CCCC23)CC1,3,1
C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)CC2)CC1,715,1
C1CCC(CCCC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,190,1
C1CCC(C2CCC(C3CCCCC3CC3CCC(C4CC4)CC3)CC2)CC1,13,1
C1CCC(CCCC2CCC3C(CCC4CCCCC4)CC23)CC1,0,0
C1CCC(CCCC2CCC3C(CC4CCC5CCCCC5C4)CCC23)CC1,0,0
C1CCC(C2CC(CCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,127,1
C1CCC(CCCC2CCCC3CCC23)CC1,0,0
C1CCC(C2CCC(CC3CCCCC3C3CCC(C4CCCCC4)CC3)CC2)CC1,68,1
C1CCC(CCCC2CCC3C(CC4CCCC5CCCCC54)CCC23)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CCC3CCCC3)C3CCCC23)CC1,221,1
C1CCC(CCCCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,249,1
C1CCC(C2CCC(C3CCCCC3CCC3CCCC3)CC2)CC1,350,1
C1CCC(C2CC2CCCCC2CCCC2)CC1,1,1
C1CCC(CCCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,1288,1
C1CCC(C2CC(CCCC3CC3)C(C3CCCCC3)C3CCCC23)CC1,159,1
C1CCC(CCC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,430,1
C1CCC(CCCC2C(CCC3CCCC3)CC3CCC32)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCCC4C3)CC2)CC1,94,1
C1CCC(C2CCC(C3CCCCC3CC3CCC3)CC2)CC1,416,1
C1CCC(C2CCC(C3CCCCC3CCC3CC3)C3CCCC23)CC1,29,1
C1CCC(CCCCC2CCC3CCCC23)CC1,1,1
C1CCC(C2CCC(C3CCCCC3CCC3CCC3)C3CCCC23)CC1,28,1
C1CCC(CCCC2C(CC3CCCCC3)CC3CCC32)CC1,0,0
C1CCC(C2CC(CCC3CC3)C(C3CCCCC3)C3CCCC23)CC1,201,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCC(C4)C3)CC2)CC1,11,1
C1CCC(C2CCC(C3CCCCC3CC3CCC(C4CCCCC4)C3)CC2)CC1,99,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCCC4C3)CC2)CC1,43,1
C1CCC(CCCC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,491,1
C1CCC(C2CC(CCCCC3CC3)C(C3CCCCC3)C3CCCC23)CC1,8,1
C1CCC(CCCC2CCC(CCCC3CCC(CCCCC4CCC5CCCCC45)CC3)CC2)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CCC3CC3)CC2)CC1,122,1
