name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
Molpher_mean,dis,csk,1601325.6,-,0.7329559,0.1261672,0.0056259
REINVENT_mean,dis,csk,678055.0,-,0.5921459,0.1234293,0.005135
DrugEx_GT_epsilon_0.1_mean,dis,csk,873782.0,-,0.7267593,0.1950852,0.0196195
DrugEx_GT_epsilon_0.6_mean,dis,csk,898840.6,-,0.7798549,0.257924,0.019139
DrugEx_RNN_epsilon_0.1_mean,dis,csk,873267.6,-,0.6753971,0.0759723,0.0447551
DrugEx_RNN_epsilon_0.6_mean,dis,csk,881881.0,-,0.8058932,0.1002208,0.0333628
GB_GA_mut_r_0.01_mean,dis,csk,957859.6,-,0.7706175,0.0461856,0.0455477
GB_GA_mut_r_0.5_mean,dis,csk,917856.4,-,0.7342002,0.0348628,0.0628617
GB_GA_log_p_mut_r_0.01_mean,dis,csk,896237.6,-,0.3644029,0.0615757,0.0141952
GB_GA_log_p_mut_r_0.5_mean,dis,csk,811545.2,-,0.4354047,0.0533897,0.0145559
addcarbon_mean,dis,csk,1000000.0,-,0.1379206,0.00093,0.004028
